SEARCH,MANUAL_URL,OLD_URL,ADDRESS,STABR,NCESSCH,SCH_NAME
"Richland Two Charter High 750 Old Clemson Road, Columbia, SC 29229",https://www.richland2.org/charterhigh/,https://www.richland2.org/charterhigh,"750 Old Clemson Road, Columbia, SC 29229",SC,450339001554,Richland Two Charter High
"POLK STATE COLLEGE COLLEGIATE HIGH SCHOOL 3425 WINTER LK RD LAC1200, WINTER HAVEN, FL 33881",https://www.polk.edu/lakeland-gateway-to-college-high-school/,https://www.polk.edu/charter-high-schools/,"3425 WINTER LK RD LAC1200, WINTER HAVEN, FL 33881",FL,120159004186,POLK STATE COLLEGE COLLEGIATE HIGH SCHOOL
"River City Scholars Charter Academy 944 Evergreen Street, Grand Rapids, MI 49507",https://www.nhaschools.com/schools/rivercity/Pages/default.aspx,https://www.nhaschools.com/schools/rivercity/Pages/default.aspx,"944 Evergreen Street, Grand Rapids, MI 49507",MI,260103108338,River City Scholars Charter Academy
"Detroit Enterprise Academy 11224 KERCHEVAL ST, DETROIT, MI 48214",https://www.nhaschools.com/schools/detroitenterprise,http://www.heritageacademies.com/,"11224 KERCHEVAL ST, DETROIT, MI 48214",MI,260030201738,Detroit Enterprise Academy
"MINISINAAKWAANG LEADERSHIP ACADEMY 20930 367TH LN, MCGREGOR, MN 55760",https://www.minisacademy.org,http://www.mlacademy.org/#!contact-us/c2q4,"20930 367TH LN, MCGREGOR, MN 55760",MN,270030003730,MINISINAAKWAANG LEADERSHIP ACADEMY
"Lighthouse Community Sch Inc 6100 Desmond St, Cincinnati, OH 45227",https://www.lys.org/services/lighthouse-community-school/,https://www.lys.org/,"6100 Desmond St, Cincinnati, OH 45227",OH,390007703387,Lighthouse Community Sch Inc
"Westlake Charter Middle 1985 Pebblewood Dr., Sacramento, CA 95834",https://westlakecharter.com,http://www.westlakecharter.com/,"1985 Pebblewood Dr., Sacramento, CA 95834",CA,60003612980,Westlake Charter Middle
"Van Gogh Charter 17160 Van Gogh St., Granada Hills, CA 91344",https://vangoghcs-lausd-ca.schoolloop.com/,https://vangoghcs-lausd-ca.schoolloop.com/,"17160 Van Gogh St., Granada Hills, CA 91344",CA,62271003419,Van Gogh Charter
"Summit Academy Transition High School Dayton 251 Erdiel Dr, Dayton, OH 45415",https://summitacademies.org/schools/dayton-high/,https://summitacademies.org/,"251 Erdiel Dr, Dayton, OH 45415",OH,390034804885,Summit Academy Transition High School Dayton
"WESTCHESTER ACADEMY FOR INTERNATIONAL STUDIES 901 YORKCHESTER, HOUSTON, TX 77079",https://cms.springbranchisd.com/wais/,http://www.springbranchisd.com/schools/wais/waisindex.htm,"901 YORKCHESTER, HOUSTON, TX 77079",TX,484110008831,WESTCHESTER ACADEMY FOR INTERNATIONAL STUDIES
"CITY ACADEMY 555 E 200 S, SALT LAKE CITY, UT 84102",https://cityacademy.org/,http://www.cityacademyslc.org/,"555 E 200 S, SALT LAKE CITY, UT 84102",UT,490000900742,CITY ACADEMY
"CITY ACADEMY 958 JESSIE ST, SAINT PAUL, MN 55101",https://cityacademy.org/,https://cityacademy.org/,"958 JESSIE ST, SAINT PAUL, MN 55101",MN,270895500016,CITY ACADEMY
"BYRNEVILLE ELEMENTARY SCHOOL, INC. 1600 BYRNEVILLE RD, CENTURY, FL 32535",https://byrnes-ecsd-fl.schoolloop.com/,https://byrnes-ecsd-fl.schoolloop.com/,"1600 BYRNEVILLE RD, CENTURY, FL 32535",FL,120051003847,"BYRNEVILLE ELEMENTARY SCHOOL, INC."
"Acacia Middle Charter 1016 E. Bianchi Rd., Stockton, CA 95210",https://acaciamiddle.org/,https://acaciamiddle.org/,"1016 E. Bianchi Rd., Stockton, CA 95210",CA,62703013727,Acacia Middle Charter
