SEARCH,MANUAL_URL,ADDRESS,TRUE_URL,CONFIRMED_CLOSED,SCH_NAME,OLD_URL,NCESSCH,STABR
"21st Century Charter Sch of Gary 556 Washington St, Gary, IN 46402",,"556 Washington St, Gary, IN 46402",http://www.21cchartergary.org/,0,21st Century Charter Sch of Gary,http://www.21ccharter.org/,1.80E+11,IN
"21st Century Cyber CS 126 Wallace Ave., Downingtown, PA 19335",,"126 Wallace Ave., Downingtown, PA 19335",http://www.21cccs.org/,0,21st Century Cyber CS,http://www.21cccs.org/,4.20E+11,PA
"21st Century eSchool 2429 Clark St, Middleton, WI 53562",,"2429 Clark St, Middleton, WI 53562",http://www.mcpasd.k12.wi.us/21st-century-eschool/,0,21st Century eSchool,https://sites.google.com/a/mcpasd.k12.wi.us/21st-century-eschool/home,5.51E+11,WI
"21st Century Preparatory School 1220 Mound Ave, Racine, WI 53404",,"1220 Mound Ave, Racine, WI 53404",http://www.21stprepschool.org/,0,21st Century Preparatory School,http://www.21stprepschool.org/,5.50E+11,WI
"7 Rivers Community High School 807 East Ave S, La Crosse, WI 54601",,"807 East Ave S, La Crosse, WI 54601",https://www.lacrosseschools.org/7-rivers-high,0,7 Rivers Community High School,,5.51E+11,WI
"8 Points Charter School 352 Franklin Dr, Jacksonville, IL 62650",,"352 Franklin Dr, Jacksonville, IL 62650",0,1,8 Points Charter School,https://www.facebook.com/8-Points-Charter-School-109950722407971/,1.72E+11,IL
"A W BROWN - F L A EARLY CHILDHOOD CAMPUS 6901 S WESTMORELAND RD, DALLAS, TX 75237",,"6901 S WESTMORELAND RD, DALLAS, TX 75237",http://www.awbrown.org/,0,A W BROWN - F L A EARLY CHILDHOOD CAMPUS,,4.80E+11,TX
"A.C.E. Academy 7807 Caldwell Road, Harrisburg, NC 28075",,"7807 Caldwell Road, Harrisburg, NC 28075",http://www.aceacademycharter.org/,0,A.C.E. Academy,www.aceacademycharter.org,3.70E+11,NC
"A+ ACADEMY 10327 RYLIE RD, DALLAS, TX 75217",,"10327 RYLIE RD, DALLAS, TX 75217",http://www.apluscharterschools.org/,0,A+ ACADEMY,http://www.usnews.com/education/best-high-schools/texas/districts/a-academy/a-academy-18450,4.80E+11,TX
"A+ Arts Academy 270 S Napoleon Ave, Columbus, OH 43213",,"270 S Napoleon Ave, Columbus, OH 43213",http://www.aplusarts.com/,0,A+ Arts Academy,http://www.aplusarts.com/,3.90E+11,OH
"A+ Children's Academy 100 Obetz Rd, Columbus, OH 43207",,"100 Obetz Rd, Columbus, OH 43207",http://www.apluschildrensacademy.org/,0,A+ Children's Academy,http://www.apluschildrensacademy.org/,3.90E+11,OH
"AAEC - Paradise Valley 17811 North 32nd Street, Phoenix, AZ 85032",,"17811 North 32nd Street, Phoenix, AZ 85032",http://aaechighschools.com/,0,AAEC - Paradise Valley,http://www.aaechighschools.com/,4.00E+10,AZ
"AAEC - SMCC Campus 7050 S. 24th Street, Phoenix, AZ 85042",,"7050 S. 24th Street, Phoenix, AZ 85042",http://www.aaechighschools.com/,0,AAEC - SMCC Campus,http://www.aaechighschools.com/,4.00E+10,AZ
"Abby Kelley Foster Charter Public School 10 New Bond Street, Worcester, MA 1606",,"10 New Bond Street, Worcester, MA 1606",http://www.akfcs.org/,0,Abby Kelley Foster Charter Public School,http://www.akfcs.org/,2.50E+11,MA
"ABQ CHARTER ACADEMY 1500 INDIAN SCH RD, ALBUQUERQUE, NM 87104",,"1500 INDIAN SCH RD, ALBUQUERQUE, NM 87104",http://www.abqcharteracademy.org/,0,ABQ CHARTER ACADEMY,,3.50E+11,NM
"ABQ SCHOOL OF EXCELLENCE 13201 LOMAS BLVD NE, ALBUQUERQUE, NM 87112",,"13201 LOMAS BLVD NE, ALBUQUERQUE, NM 87112",http://www.abqse.org/,0,ABQ SCHOOL OF EXCELLENCE,http://www.charterschool.com/,3.50E+11,NM
