,NCESSCH,URL
1,20000100329.0,http://ayaprun.lksd.org/
5,20018000178.0,https://familypartnership.asdk12.org/
12,20018000732.0,https://rilkeschule.asdk12.org/
16,20039000274.0,http://auroraborealis.blogs.kpbsd.k12.ak.us/
28,20057000323.0,http://nome.nosd.schoolaccess.net/~acsa/
32,20060000464.0,http://ekc.k12northstar.org/
146,40007402185.0,http://kaolaz.org/calendar.html
149,40007700918.0,
266,40012501619.0,0
304,40014101657.0,0
396,40020903364.0,http://www.canyonviewprep.org/contact-us
401,40021401980.0,0
461,40024102029.0,http://www.pecschools.org/
462,40024102957.0,http://pecschools.org/
540,40029602209.0,0
543,40029902099.0,0
587,40031802203.0,0
614,40033002206.0,http://www.compasshighschool.com/
615,40033202165.0,https://www.crownpoinths.net/
689,40038102319.0,0
690,40038102866.0,0
704,40039302297.0,0
720,40039802308.0,
752,40041802446.0,
787,40060903117.0,http://bradleycreemos.org/
805,40062103161.0,http://www.pinnacleonlinehighschool.com/contact.html
829,40063702032.0,0
854,40065001846.0,http://www.integrityeducationcentre.com/
919,40079703230.0,0
964,40082603207.0,0
965,40082603303.0,
989,40084503338.0,http://www.leadingedgeacademy.com/san-tan/
1027,40088303411.0,http://caminomontessori.com/
1073,40093103501.0,0
1074,40093203474.0,0
1222,50041501612.0,http://ozarkcca.org/
1229,50303001597.0,https://www.pearidgemba.com/
1259,60000113793.0,http://www.scaleacademy.org/
1260,60000113811.0,
1270,60000113840.0,
1299,60001312302.0,http://www.mmcharter.org/
1334,60003612980.0,
1386,60133204148.0,https://smythek6-trusd_ca.schoolloop.com/
1414,60141112672.0,
1432,60142912498.0,
1436,60143213940.0,0
1450,60171013723.0,http://www.taylionhighdesert.com/
1470,60231013844.0,
1472,60261013858.0,http://goalsacademy.us/
1529,60570013716.0,
1676,61371012613.0,http://www.ipakanni.com/
1705,61455011588.0,
1706,61455011846.0,http://www.sierracharter.org/
1718,61495010422.0,
1720,61495012118.0,
1792,61914008596.0,http://www.juliancharterschool.org/
1811,61989004566.0,
1816,62079010631.0,http://www.baronaindiancharterschool.com/
1925,62271007521.0,http://haynescharter.com/
1956,62271010846.0,http://wearesynergy.org/
2018,62271011659.0,
2042,62271012035.0,
2046,62271012120.0,0
2129,62271012905.0,
2132,62271012924.0,
2144,62271013067.0,
2148,62271013099.0,
2208,62274013026.0,http://www.foundationspublicschools.org/
2229,62400011479.0,http://mwcharter.org/
2256,62586012947.0,
2262,62610012759.0,http://www.mycpms.net/
2266,62610013068.0,
2268,62610013140.0,
2270,62610013186.0,
2276,62646013077.0,
2284,62688012922.0,
2289,62703012945.0,http://www.mantecachristianpreschool.com/
2290,62703013064.0,http://ablecharter.net/
2296,62703013713.0,http://www.acaciaelementary.org/about
2297,62703013727.0,https://acaciamiddle.org/
2393,62805013864.0,0
2395,62805013889.0,
2410,62853012966.0,
2477,63072012722.0,
2481,63099011832.0,
2484,63132004864.0,http://edline.pusd.org/pages/PUSD
2485,63132012112.0,http://www.pusd.org/seeo/
2491,63186007420.0,
2541,63324013909.0,
2548,63384005261.0,
2567,63417010364.0,https://www.palcenter.org/
2579,63417013063.0,http://woodwardleadershipacademy.com/
2580,63417013181.0,0
2581,63417013709.0,0
2592,63432005339.0,http://www.mcgillschoolofsuccess.org/
2646,63432013033.0,
2717,63501013176.0,http://www.aacacademy.com/
2736,63581005444.0,
2746,63583011483.0,http://www.rhouseinc.org/abraxis-charter-school.html
2761,63660008391.0,https://www.shastacharteracademy.org/
2779,63738006320.0,http://ib.sbusd.org/
2780,63738006321.0,http://nestor.sbusd.org/pages/Nestor_Language_Academy_Charte
2832,64059013743.0,http://www.kairospublicschools.org/
2836,64071013696.0,http://www.taylionsandiego.com/
2857,64119012930.0,http://www.guajome.net/guajome-learning-centers
2858,64119013667.0,http://www.bellamentecharter.org/
2867,64200013027.0,
2874,64221013118.0,0
2875,64221013956.0,
2877,64230010513.0,0
2890,64251012655.0,0
2905,64356011884.0,http://www.inlandleaders.com/
2907,69100113745.0,0
2910,69100211953.0,
2929,69100713018.0,
2994,69103511441.0,
3008,69103512575.0,
3010,69103512654.0,
3048,69104613754.0,http://www.foothillleadership.com
3077,69107810853.0,0
3087,69107812925.0,0
3111,80002006305.0,http://www.caprockacademy.org/
3172,80258001729.0,https://www.bromleyeastcs.org/
3216,80336001862.0,http://www.chscharter.org/
3272,80336006652.0,0
3308,80387002000.0,http://www.rmcacs.org/
3379,80579001660.0,http://www.passagecharter.org/
3389,80615000632.0,http://www.theconnectschool.net/
3393,80666001749.0,http://www.northroutt.com/
3394,80675001669.0,0
3430,90003101405.0,http://stamfordacademy.org/
3459,100001000079.0,
3469,100002300253.0,
3473,100004700336.0,
3477,100005100340.0,
3577,110003000504.0,
3657,110004300274.0,
3692,110005700431.0,
3695,110006000310.0,
3712,110007600408.0,
3724,110008800461.0,
3728,110009200471.0,
3804,120015003297.0,
3823,120015008175.0,
3852,120018003688.0,
3886,120018004469.0,
3906,120018006975.0,
3916,120018007265.0,
3950,120018007799.0,
3970,120018007876.0,
3984,120018007904.0,
3997,120018007978.0,
4000,120018008070.0,
4001,120018008071.0,
4008,120018008092.0,
4031,120018008172.0,
4047,120018008263.0,
4072,120018008473.0,
4097,120033008257.0,
4261,120039007271.0,
4302,120039007473.0,
4418,120039007938.0,
4427,120039008132.0,
4469,120039008409.0,
4495,120048003172.0,
4531,120048007902.0,
4545,120048008011.0,
4572,120048008108.0,
4598,120048008350.0,
4603,120048008399.0,
4639,120054007724.0,
4646,120081004084.0,
4647,120081008193.0,
4648,120081008214.0,
4650,120087003187.0,
4657,120087003589.0,
4697,120087007789.0,
4723,120087008342.0,
4778,120108005604.0,
4788,120108007768.0,
4790,120108007850.0,
4808,120111008356.0,
4833,120123008208.0,
4847,120132007956.0,
4852,120138003088.0,
4876,120144007442.0,
4902,120144008066.0,
4958,120147008141.0,
4982,120150003639.0,
4987,120150003768.0,
4990,120150003771.0,
4997,120150003907.0,
5023,120150005968.0,
5060,120150008239.0,
5067,120150008261.0,
5069,120150008269.0,
5084,120150008393.0,
5113,120153008374.0,
5141,120156007946.0,
5147,120156008099.0,
5163,120156008255.0,
5169,120156008267.0,
5175,120156008435.0,
5211,120159007906.0,
5231,120168003508.0,
5238,120168004203.0,
5260,120174007189.0,
5263,120174008107.0,
5282,120192003939.0,
5294,120192008075.0,
5297,120198004458.0,
5298,120198008030.0,
5310,130012003031.0,
5320,130012004083.0,
5337,130022904027.0,
5398,130246001083.0,
5406,130255004169.0,
5420,150003000066.0,
5426,150003000265.0,
5456,160000401035.0,
5504,160017300765.0,
5516,160096001045.0,
5556,170993003539.0,
5575,170993005798.0,
5579,170993005889.0,
5585,170993005986.0,
5590,170993006103.0,
5591,170993006113.0,
5595,170993006221.0,
5600,170993006238.0,
5608,170993006315.0,
5619,172028006190.0,
5639,180002701815.0,
5651,180004502137.0,
5680,180007402426.0,
5681,180007502428.0,
5687,180008402447.0,
5722,180014402578.0,
5734,180016202575.0,
5827,220003501494.0,
5923,220015001378.0,
6037,220026200932.0,
6066,220084000638.0,
6067,220084000653.0,
6070,220084002346.0,
6072,220084002419.0,
6076,220108002365.0,
6077,220111002359.0,
6080,220117000880.0,
6106,231480823134.0,
6133,240009001538.0,
6157,240009001705.0,
6164,240033001712.0,
6202,250004500817.0,
6205,250004901245.0,
6255,250052102685.0,
6262,250052802711.0,
6266,250053202712.0,
6276,250053902720.0,
6300,260007400502.0,
6359,260012600776.0,
6361,260012801438.0,
6410,260014501652.0,
6451,260016907866.0,
6500,260021201146.0,
6541,260024101664.0,
6548,260024401214.0,
6554,260024801218.0,
6586,260027201483.0,
6599,260027301308.0,
6615,260029001645.0,
6634,260030007820.0,
6700,260095207946.0,
6701,260095208134.0,
