SEARCH16,URL,NCESSCH,SCHNAM16,ADDRESS16,SY_STATUS16,SY_STATUS15,LEVEL,STABR,WEBSITE,YEAR_CLOSED,SCH_NAME,YEAR_OPENED
"AYAPRUN ELITNAURVIK  1010 Fourth Avenue , Bethel AK 99559.0 ",https://education.alaska.gov/DOE_Rolodex/SchoolCalendar/Home/SchoolDetails/319010,20000100329.0,AYAPRUN ELITNAURVIK," 1010 Fourth Avenue , Bethel AK 99559.0 ",1.0,1.0,1,AK,http://www.lksd.org/lksd/,,,1999.0
"FAMILY PARTNERSHIP CHARTER SCHOOL  401 E Fireweed Lane Suite 100 , Anchorage AK 99503.0 ",https://education.alaska.gov/DOE_Rolodex/SchoolCalendar/Home/SchoolDetails/56010,20018000178.0,FAMILY PARTNERSHIP CHARTER SCHOOL," 401 E Fireweed Lane Suite 100 , Anchorage AK 99503.0 ",1.0,1.0,4,AK,"http://www.asdk12.org/aboutschools/fpcs/schoolname,3131,en.html",,,1998.0
"RILKE SCHULE CHARTER SCHOOL  650 W International Airport Rd , Anchorage AK 99507.0 ",https://education.alaska.gov/DOE_Rolodex/SchoolCalendar/Home/SchoolDetails/59090,20018000732.0,RILKE SCHULE CHARTER SCHOOL," 650 W International Airport Rd , Anchorage AK 99507.0 ",1.0,1.0,1,AK,"http://www.asdk12.org/aboutschools/rilkeschule/schoolname,3128,en.html",,,2007.0
"AURORA BOREALIS CHARTER SCHOOL  705 Frontage Rd Suite A , Kenai AK 99611.0 ",https://education.alaska.gov/DOE_Rolodex/SchoolCalendar/Home/SchoolDetails/249010,20039000274.0,AURORA BOREALIS CHARTER SCHOOL," 705 Frontage Rd Suite A , Kenai AK 99611.0 ",1.0,1.0,1,AK,http://www.kpbsd.k12.ak.us/,,,1998.0
"ANVIL CITY SCIENCE ACADEMY  Mile 3.5 Nome-Teller Highway , Nome AK 99762.0 ",http://nome.nosd.schoolaccess.net/~acsa/,20057000323.0,ANVIL CITY SCIENCE ACADEMY," Mile 3.5 Nome-Teller Highway , Nome AK 99762.0 ",1.0,1.0,2,AK,http://nome.nosd.schoolaccess.net/~acsa/,,,1998.0
"EFFIE KOKRINE CHARTER SCHOOL  601 Loftus Road , Fairbanks AK 99709.0 ",http://ekc.k12northstar.org/,20060000464.0,EFFIE KOKRINE CHARTER SCHOOL," 601 Loftus Road , Fairbanks AK 99709.0 ",1.0,1.0,3,AK,http://www.k12northstar.org,,,2005.0
"KINGMAN ACADEMY OF LEARNING - HIGH SCHOOL  3420 N. Burbank Ave. , Kingman AZ 86409.0 ",http://kaolaz.org/calendar.html,40007402185.0,KINGMAN ACADEMY OF LEARNING - HIGH SCHOOL," 3420 N. Burbank Ave. , Kingman AZ 86409.0 ",1.0,1.0,3,AZ,http://www.kaolaz.org,,KINGMAN ACADEMY OF LEARNING - HIGH SCHOOL,2000.0
"CANYON VIEW PREP ACADEMY  9030 E Florentine Road , Prescott Valley AZ 86314.0 ",http://www.canyonviewprep.org/,40020903364.0,CANYON VIEW PREP ACADEMY," 9030 E Florentine Road , Prescott Valley AZ 86314.0 ",1.0,1.0,3,AZ,canyonviewprep.org,,,2013.0
"PARADISE EDUCATION CENTER  15533 W. Paradise Ln. , Surprise AZ 85374.0 ",http://www.pecschools.org/,40024102029.0,PARADISE EDUCATION CENTER," 15533 W. Paradise Ln. , Surprise AZ 85374.0 ",1.0,1.0,1,AZ,paradiseschools.org,,,1999.0
"PARADISE HONORS HIGH SCHOOL  12775 N. 175th Avenue , Surprise AZ 85374.0 ",http://pecschools.org/,40024102957.0,PARADISE HONORS HIGH SCHOOL," 12775 N. 175th Avenue , Surprise AZ 85374.0 ",1.0,1.0,3,AZ,http://www.paradiseschools.org,,,2008.0
"COMPASS HIGH SCHOOL  8250 E.  22nd St. 128 , Tucson AZ 85710.0 ",http://www.compasshighschool.com/,40033002206.0,COMPASS HIGH SCHOOL," 8250 E.  22nd St. 128 , Tucson AZ 85710.0 ",1.0,1.0,3,AZ,http://www.compasshighschool.com,,,2000.0
"CROWN POINT HIGH SCHOOL  3830 North 67th Avenue , Phoenix AZ 85033.0 ",https://www.crownpoinths.net/,40033202165.0,CROWN POINT HIGH SCHOOL," 3830 North 67th Avenue , Phoenix AZ 85033.0 ",1.0,1.0,3,AZ,,,,2000.0
"BRADLEY ACADEMY OF EXCELLENCE  200 North Dysart Road , Avondale AZ 85323.0 ",http://bradleycreemos.org/,40060903117.0,BRADLEY ACADEMY OF EXCELLENCE," 200 North Dysart Road , Avondale AZ 85323.0 ",1.0,1.0,1,AZ,,,,2003.0
"PINNACLE ONLINE HIGH SCHOOL  4700 S. McClintock Dr. Unit 140 , Tempe AZ 85282.0 ",http://www.pinnacleonlinehighschool.com/,40062103161.0,PINNACLE ONLINE HIGH SCHOOL," 4700 S. McClintock Dr. Unit 140 , Tempe AZ 85282.0 ",1.0,1.0,4,AZ,,,,2003.0
"INTEGRITY EDUCATION CENTRE  515 E. Continental Dr. , Tempe AZ 85281.0 ",http://www.integrityeducationcentre.com/,40065001846.0,INTEGRITY EDUCATION CENTRE," 515 E. Continental Dr. , Tempe AZ 85281.0 ",1.0,1.0,4,AZ,www.integrityeducationcentre.org,,,2004.0
"LEADING EDGE ACADEMY SAN TAN  7377 W. Hunt Hwy. , Queen Creek AZ 85142.0 ",http://www.leadingedgeacademy.com/san-tan/,40084503338.0,LEADING EDGE ACADEMY SAN TAN," 7377 W. Hunt Hwy. , Queen Creek AZ 85142.0 ",1.0,1.0,4,AZ,www.leadingedgeacademy.com,,LEADING EDGE ACADEMY SAN TAN,2012.0
"CAMINO MONTESSORI  44301 West Maricopa/Casa Grand , Maricopa AZ 85138.0 ",http://caminomontessori.com/,40088303411.0,CAMINO MONTESSORI," 44301 West Maricopa/Casa Grand , Maricopa AZ 85138.0 ",1.0,1.0,1,AZ,http://www.caminomontessori.org,,,2014.0
"OZARK MONTESSORI ACADEMY SPRINGDALE  301 S HOLCOMB ST , SPRINGDALE AR 72764.0 ",http://ozarkcca.org/,50041501612.0,OZARK MONTESSORI ACADEMY SPRINGDALE," 301 S HOLCOMB ST , SPRINGDALE AR 72764.0 ",1.0,3.0,1,AR,http://ozark.cca.org/ozark-montessori.academy,,,2015.0
"PEA RIDGE MANUFACTURING & BUSINESS ACADEMY  781 WEST PICKENS RD , PEA RIDGE AR 72751.0 ",https://www.pearidgemba.com/,50303001597.0,PEA RIDGE MANUFACTURING & BUSINESS ACADEMY," 781 WEST PICKENS RD , PEA RIDGE AR 72751.0 ",1.0,1.0,3,AR,http://www.prs.k12.ar.us,,,2014.0
"SCALE LEADERSHIP ACADEMY  32248 Crown Valley Rd. , Acton CA CA 93510.0 ",http://www.scaleacademy.org/,60000113793.0,SCALE LEADERSHIP ACADEMY," 32248 Crown Valley Rd. , Acton CA CA 93510.0 ",1.0,1.0,4,CA,www.scaleacademy.org,,,2014.0
"MARIA MONTESSORI CHARTER ACADEMY  1850 Wildcat Blvd. , Rocklin CA 95765.0 ",http://www.mmcharter.org/,60001312302.0,MARIA MONTESSORI CHARTER ACADEMY," 1850 Wildcat Blvd. , Rocklin CA 95765.0 ",1.0,1.0,1,CA,www.mmcharter.org,,,2008.0
"SMYTHE ACADEMY OF ARTS AND SCIENCES  2781 N.gate Blvd. , Sacramento CA 95833.0 ",https://smythek6-trusd_ca.schoolloop.com/,60133204148.0,SMYTHE ACADEMY OF ARTS AND SCIENCES," 2781 N.gate Blvd. , Sacramento CA 95833.0 ",1.0,1.0,1,CA,www.twinriversusd.org,,,2009.0
"TAYLION HIGH DESERT ACADEMY/ADELANTO  11336 Bartlett Ave. #9 , Adelanto CA 92301.0 ",http://www.taylionhighdesert.com/,60171013723.0,TAYLION HIGH DESERT ACADEMY/ADELANTO," 11336 Bartlett Ave. #9 , Adelanto CA 92301.0 ",1.0,1.0,4,CA,www.taylion.com,,TAYLION HIGH DESERT ACADEMY/ADELANTO,2013.0
"GOALS ACADEMY  412 W. Carl Karcher Way , Anaheim CA 92801.0 ",http://goalsacademy.us/,60261013858.0,GOALS ACADEMY," 412 W. Carl Karcher Way , Anaheim CA 92801.0 ",1.0,3.0,1,CA,www.goalsacademy.us,,,2015.0
"IPAKANNI EARLY COLLEGE CHARTER  1459 Downer St. , Oroville CA 95966.0 ",http://www.ipakanni.com/,61371012613.0,IPAKANNI EARLY COLLEGE CHARTER," 1459 Downer St. , Oroville CA 95966.0 ",1.0,1.0,4,CA,www.ipakanni.com,,,2010.0
