SEARCH16,URL,NCESSCH,SCHNAM16,ADDRESS16,SY_STATUS16,SY_STATUS15,LEVEL,STABR,WEBSITE,YEAR_CLOSED,SCH_NAME,YEAR_OPENED
"NORTHERN AZ ACADEMY FOR CAREER DEV. - WINSLOW  502 Airport Road , Winslow AZ 86047.0 ",,40007700918.0,NORTHERN AZ ACADEMY FOR CAREER DEV. - WINSLOW," 502 Airport Road , Winslow AZ 86047.0 ",2.0,1.0,3,AZ,http://www.naacharter.org/,2016.0,,1998.0
"PEPE BARRON ACADEMY  2797 North Introspect Drive , Tucson AZ 85745.0 ",,40012501619.0,PEPE BARRON ACADEMY," 2797 North Introspect Drive , Tucson AZ 85745.0 ",1.0,1.0,3,AZ,,,,1998.0
"DISCOVERY PLUS ACADEMY  852 West 250 North , Pima AZ 85543.0 ",,40014101657.0,DISCOVERY PLUS ACADEMY," 852 West 250 North , Pima AZ 85543.0 ",1.0,1.0,1,AZ,http://myweb.cableone.net/discplus1/,,,1998.0
"THE SHELBY SCHOOL  249 W. Standage Drive , Payson AZ 85541.0 ",,40021401980.0,THE SHELBY SCHOOL," 249 W. Standage Drive , Payson AZ 85541.0 ",1.0,1.0,4,AZ,,,,1999.0
"PEPE BARRON MIDDLE SCHOOL  2797 N. Introspect Drive , Tucson AZ 85745.0 ",,40029602209.0,PEPE BARRON MIDDLE SCHOOL," 2797 N. Introspect Drive , Tucson AZ 85745.0 ",1.0,1.0,1,AZ,,,,2000.0
"VISIONS UNLIMITED ACADEMY  1275 East Barney Lane , Benson AZ 85602.0 ",,40029902099.0,VISIONS UNLIMITED ACADEMY," 1275 East Barney Lane , Benson AZ 85602.0 ",1.0,1.0,1,AZ,VisionsUnlimitedAcademy.com,,,2000.0
"SOUTHSIDE COMMUNITY SCHOOL  2701 S. Campbell Ave , Tucson AZ 85713.0 ",,40031802203.0,SOUTHSIDE COMMUNITY SCHOOL," 2701 S. Campbell Ave , Tucson AZ 85713.0 ",1.0,1.0,4,AZ,,,,2000.0
"CARPE DIEM COLLEGIATE HIGH SCHOOL DBA CARPE DIEM E-LEARNING  3777 W. 22nd Lane , Yuma AZ 85364.0 ",,40038102319.0,CARPE DIEM COLLEGIATE HIGH SCHOOL DBA CARPE DIEM E-LEARNING," 3777 W. 22nd Lane , Yuma AZ 85364.0 ",1.0,1.0,4,AZ,,,,2002.0
"ISCHOOL2020  3777 W 22nd Lane , Yuma AZ 85364.0 ",,40038102866.0,ISCHOOL2020," 3777 W 22nd Lane , Yuma AZ 85364.0 ",1.0,1.0,3,AZ,,,,2007.0
"LIFELONG LEARNING ACADEMY  3295 W. Orange Grove , Tucson AZ 85741.0 ",,40039302297.0,LIFELONG LEARNING ACADEMY," 3295 W. Orange Grove , Tucson AZ 85741.0 ",1.0,1.0,1,AZ,,,,2002.0
"JEFFERSON ACADEMY OF ADVANCED LEARNING  40 South 11th Street , Show Low AZ 85901.0 ",,40039802308.0,JEFFERSON ACADEMY OF ADVANCED LEARNING," 40 South 11th Street , Show Low AZ 85901.0 ",2.0,1.0,4,AZ,www.Jefferson-Academy.com,2016.0,,2002.0
"MOSAICA PREPARATORY ACADEMY OF CHANDLER  5835 West Ray Road , Chandler AZ 85226.0 ",,40041802446.0,MOSAICA PREPARATORY ACADEMY OF CHANDLER," 5835 West Ray Road , Chandler AZ 85226.0 ",2.0,1.0,4,AZ,,2016.0,,2004.0
"SEQUOIA REDWOOD CHARTER SCHOOL  6810 W. Thunderbird Rd. , Peoria AZ 85048.0 ",,40063702032.0,SEQUOIA REDWOOD CHARTER SCHOOL," 6810 W. Thunderbird Rd. , Peoria AZ 85048.0 ",1.0,1.0,1,AZ,azconservatory.org,,SEQUOIA REDWOOD CHARTER SCHOOL,2004.0
"ACADEMY DEL SOL - HOPE  7102 W. Valley Crest Pl , Tucson AZ 85757.0 ",,40079703230.0,ACADEMY DEL SOL - HOPE," 7102 W. Valley Crest Pl , Tucson AZ 85757.0 ",1.0,1.0,1,AZ,,,,2010.0
