LEANM,SEARCH PARAMS,URL,WGET INDEX,ADDRESS,SCHOOL ID,RDM #,WAYBACK URL,LEVEL,SURVYEAR,NCESSCH,FIPST,LEAID,SCHNO,STID,SEASCH,LEANM,SCHNAM,PHONE,MSTREE,MCITY,MSTATE,MZIP,MZIP4,LSTREE,LCITY,LSTATE,LZIP,LZIP4,TYPE,STATUS,UNION,ULOCAL,LATCOD,LONCOD,CONUM,CONAME,CDCODE,BIES,RECONSTY,RECONSTF,SMEMPUP,ISMEMPUP,SFTEPUP,ISFTEPUP,SFLE,ISFLE,SPFEMALE,ISPFEMALE,SPWHITE,ISPWHITE,SPELM,ISPELM,FTE,GSLO,GSHI,PKOFFRD,KGOFFRD,G01OFFRD,G02OFFRD,G03OFFRD,G04OFFRD,G05OFFRD,G06OFFRD,G07OFFRD,G08OFFRD,G09OFFRD,G10OFFRD,G11OFFRD,G12OFFRD,UGOFFRD,LEVEL,TITLEISTAT,TITLEI,STITLI,MAGNET,CHARTR,SHARED,FRELCH,REDLCH,TOTFRL,PK,AMPKM,AMPKF,ASPKM,ASPKF,HIPKM,HIPKF,BLPKM,BLPKF,WHPKM,WHPKF,HPPKM,HPPKF,TRPKM,TRPKF,KG,AMKGM,AMKGF,ASKGM,ASKGF,HIKGM,HIKGF,BLKGM,BLKGF,WHKGM,WHKGF,HPKGM,HPKGF,TRKGM,TRKGF,G01,AM01M,AM01F,AS01M,AS01F,HI01M,HI01F,BL01M,BL01F,WH01M,WH01F,HP01M,HP01F,TR01M,TR01F,G02,AM02M,AM02F,AS02M,AS02F,HI02M,HI02F,BL02M,BL02F,WH02M,WH02F,HP02M,HP02F,TR02M,TR02F,G03,AM03M,AM03F,AS03M,AS03F,HI03M,HI03F,BL03M,BL03F,WH03M,WH03F,HP03M,HP03F,TR03M,TR03F,G04,AM04M,AM04F,AS04M,AS04F,HI04M,HI04F,BL04M,BL04F,WH04M,WH04F,HP04M,HP04F,TR04M,TR04F,G05,AM05M,AM05F,AS05M,AS05F,HI05M,HI05F,BL05M,BL05F,WH05M,WH05F,HP05M,HP05F,TR05M,TR05F,G06,AM06M,AM06F,AS06M,AS06F,HI06M,HI06F,BL06M,BL06F,WH06M,WH06F,HP06M,HP06F,TR06M,TR06F,G07,AM07M,AM07F,AS07M,AS07F,HI07M,HI07F,BL07M,BL07F,WH07M,WH07F,HP07M,HP07F,TR07M,TR07F,G08,AM08M,AM08F,AS08M,AS08F,HI08M,HI08F,BL08M,BL08F,WH08M,WH08F,HP08M,HP08F,TR08M,TR08F,G09,AM09M,AM09F,AS09M,AS09F,HI09M,HI09F,BL09M,BL09F,WH09M,WH09F,HP09M,HP09F,TR09M,TR09F,G10,AM10M,AM10F,AS10M,AS10F,HI10M,HI10F,BL10M,BL10F,WH10M,WH10F,HP10M,HP10F,TR10M,TR10F,G11,AM11M,AM11F,AS11M,AS11F,HI11M,HI11F,BL11M,BL11F,WH11M,WH11F,HP11M,HP11F,TR11M,TR11F,G12,AM12M,AM12F,AS12M,AS12F,HI12M,HI12F,BL12M,BL12F,WH12M,WH12F,HP12M,HP12F,TR12M,TR12F,UG,AMUGM,AMUGF,ASUGM,ASUGF,HIUGM,HIUGF,BLUGM,BLUGF,WHUGM,WHUGF,HPUGM,HPUGF,TRUGM,TRUGF,MEMBER,AM,AMALM,AMALF,ASIAN,ASALM,ASALF,HISP,HIALM,HIALF,BLACK,BLALM,BLALF,WHITE,WHALM,WHALF,PACIFIC,HPALM,HPALF,TR,TRALM,TRALF,TOTETH,VIRTUALSTAT,NSLPSTATUS,CHARTAUTH1,CHARTAUTH2
RICHLAND 02,"RICHLAND TWO CHARTER HIGH 750 OLD CLEMSON RD, COLUMBIA, SC",https://www.richland2.org/charterhigh/,1,"750 OLD CLEMSON RD, COLUMBIA, SC",SC600,0.934345634,https://web.archive.org/web/*/https://www.richland2.org/charterhigh,3,2013,4.50E+11,45,4503390,1554,4002,600,RICHLAND 02,RICHLAND TWO CHARTER HIGH,8034191348,750 OLD CLEMSON ROAD,COLUMBIA,SC,29229,0,750 OLD CLEMSON RD,COLUMBIA,SC,29229,0,1,1,0,21,34.1231,-80.8626,45079,RICHLAND COUNTY,4502,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,1,9,12,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,6,2,N,2,1,2,12,4,16,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7,0,0,0,1,1,0,1,3,1,0,0,0,0,0,28,0,0,0,0,0,1,7,9,3,6,0,0,0,2,31,0,0,0,0,0,3,7,10,4,6,0,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,69,0,0,0,1,0,1,5,1,4,39,16,23,21,8,13,0,0,0,3,1,2,69,VIRTUALNO,M,4002,M
POLK,"POLK STATE COLLEGE COLLEGIATE HIGH SCHOOL 3425 WINTER LK RD LAC1200, WINTER HAVEN, FL",https://www.polk.edu/lakeland-gateway-to-college-high-school/,2,"3425 WINTER LK RD LAC1200, WINTER HAVEN, FL",FL8131,0.014053368,https://web.archive.org/web/*/https://www.polk.edu/charter-high-schools/,3,2013,1.20E+11,12,1201590,4186,53,8131,POLK,POLK STATE COLLEGE COLLEGIATE HIGH SCHOOL,8636692322,3425 WINTER LAKE RD,LAKELAND,FL,33803,9765,3425 WINTER LK RD LAC1200,WINTER HAVEN,FL,33881,9765,1,1,0,41,27.9974,-81.8905,12105,POLK COUNTY,1215,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,9,11,12,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,6,2,N,2,1,2,42,1,43,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,132,0,0,2,3,10,14,3,12,27,58,0,0,0,3,139,0,0,0,3,9,15,6,24,36,43,0,0,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,271,0,0,0,8,2,6,48,19,29,45,9,36,164,63,101,0,0,0,6,0,6,271,VIRTUALNO,NSLPWOPRO,1201590,M
RIVER CITY SCHOLARS CHARTER ACADEMY,"RIVER CITY SCHOLARS CHARTER ACADEMY 944 EVERGREEN ST, GRAND RAPIDS, MI",https://www.nhaschools.com/schools/rivercity/Pages/default.aspx,3,"944 EVERGREEN ST, GRAND RAPIDS, MI",MI1395,0.638198972,https://web.archive.org/web/*/https://www.nhaschools.com/schools/rivercity/Pages/default.aspx,1,2013,2.60E+11,26,2601031,8338,41928,1395,RIVER CITY SCHOLARS CHARTER ACADEMY,RIVER CITY SCHOLARS CHARTER ACADEMY,6162483390,944 EVERGREEN STREET,GRAND RAPIDS,MI,49507,2051,944 EVERGREEN ST,GRAND RAPIDS,MI,49507,2051,1,1,0,12,42.9355,-85.6445,26081,KENT COUNTY,2603,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,31.3,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,5,1,1,2,1,2,437,31,468,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,0,0,0,0,9,8,39,29,4,4,0,0,3,3,77,0,0,0,0,9,6,24,29,6,3,0,0,0,0,79,0,0,0,0,7,2,27,34,5,1,0,0,1,2,75,1,0,0,0,5,5,25,30,3,3,0,0,2,1,74,0,0,0,0,8,2,28,28,2,3,0,0,1,2,52,0,0,0,0,2,3,22,21,2,1,0,0,1,0,45,0,1,0,0,2,4,19,14,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,2,1,1,0,0,0,72,42,30,369,184,185,40,25,15,0,0,0,18,10,8,501,VIRTUALNO,NSLPCEO,666817,M
DETROIT ENTERPRISE ACADEMY,"DETROIT ENTERPRISE ACADEMY 11224 KERCHEVAL ST, DETROIT, MI",https://www.nhaschools.com/schools/detroitenterprise,4,"11224 KERCHEVAL ST, DETROIT, MI",MI9462,0.234031776,https://web.archive.org/web/*/http://www.heritageacademies.com/,1,2013,2.60E+11,26,2600302,1738,82979,9462,DETROIT ENTERPRISE ACADEMY,DETROIT ENTERPRISE ACADEMY,3138235799,11224 KERCHEVAL ST,DETROIT,MI,48214,3323,11224 KERCHEVAL ST,DETROIT,MI,48214,3323,1,1,0,11,42.3688,-82.9729,26163,WAYNE COUNTY,2614,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,32,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,5,1,1,2,1,2,473,18,491,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,38,0,0,0,0,0,0,18,19,0,0,0,0,0,1,54,0,0,0,0,0,0,26,27,1,0,0,0,0,0,69,0,0,0,0,0,0,40,28,0,0,0,0,0,1,56,0,0,0,0,0,0,33,22,0,0,0,0,1,0,61,0,0,0,0,0,0,25,36,0,0,0,0,0,0,57,0,0,0,0,0,0,22,34,0,0,0,0,1,0,56,0,0,0,0,0,0,28,27,0,0,0,0,1,0,66,0,0,0,0,0,0,31,34,0,0,0,0,1,0,70,0,0,0,0,0,0,31,39,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,520,254,266,1,1,0,0,0,0,6,4,2,527,VIRTUALNO,NSLPCEO,2268,M
LIGHTHOUSE COMMUNITY SCH INC,"LIGHTHOUSE COMMUNITY SCH INC 6100 DESMOND ST, CINCINNATI, OH",https://www.lys.org/services/lighthouse-community-school/,5,"6100 DESMOND ST, CINCINNATI, OH",OH133389,0.387232574,https://web.archive.org/web/*/https://www.lys.org/,3,2013,3.90E+11,39,3900077,3387,133389,133389,LIGHTHOUSE COMMUNITY SCH INC,LIGHTHOUSE COMMUNITY SCH INC,5135617888,6100 DESMOND ST,CINCINNATI,OH,45227,1897,6100 DESMOND ST,CINCINNATI,OH,45227,1897,2,1,0,11,39.1631,-84.3899,39061,HAMILTON COUNTY,3902,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,5,7,12,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,5,1,1,N,1,2,55,0,55,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,1,0,9,0,0,0,0,0,0,3,5,0,0,0,0,0,1,16,0,0,0,0,0,0,8,5,3,0,0,0,0,0,14,0,0,0,0,0,0,5,7,2,0,0,0,0,0,12,0,0,0,0,1,0,2,6,0,2,0,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,58,0,0,0,0,0,0,1,1,0,46,22,24,8,5,3,0,0,0,3,2,1,58,VIRTUALNO,NSLPCEO,43752,M
NATOMAS UNIFIED,"WESTLAKE CHARTER MIDDLE 1985 PEBBLEWOOD DR, SACRAMENTO, CA",https://westlakecharter.com,6,"1985 PEBBLEWOOD DR, SACRAMENTO, CA",CA124594,0.78560783,https://web.archive.org/web/*/http://www.westlakecharter.com/,2,2013,60003612980,6,600036,12980,3475283,124594,NATOMAS UNIFIED,WESTLAKE CHARTER MIDDLE,9165675760,3800 DEL PASO RD.,SACRAMENTO,CA,95834,2599,1985 PEBBLEWOOD DR,SACRAMENTO,CA,95834,2599,1,1,0,11,38.6207,-121.5069,6067,SACRAMENTO COUNTY,606,2,N,2,1,FA,2,PS,2,PS,2,PS,2,PS,2,PS,6.34,6,8,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,6,2,N,2,1,M,45,8,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,81,2,0,12,6,7,10,3,10,9,7,2,0,7,6,71,1,0,7,8,16,3,7,11,6,4,1,0,4,3,60,0,1,6,2,11,4,9,8,10,4,1,1,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,212,4,3,1,41,25,16,51,34,17,48,19,29,40,25,15,5,4,1,23,11,12,212,N,NSLPNO,600036,M
LOS ANGELES UNIFIED,"VAN GOGH CHARTER 17160 VAN GOGH ST, GRANADA HILLS, CA",https://vangoghcs-lausd-ca.schoolloop.com/,7,"17160 VAN GOGH ST, GRANADA HILLS, CA",CA6019673,0.656906833,https://web.archive.org/web/*/https://vangoghcs-lausd-ca.schoolloop.com/,1,2013,62271003419,6,622710,3419,1964733,6019673,LOS ANGELES UNIFIED,VAN GOGH CHARTER,8183602141,17160 VAN GOGH ST.,GRANADA HILLS,CA,91344,1217,17160 VAN GOGH ST,GRANADA HILLS,CA,91344,1217,1,1,0,11,34.3056,-118.5058,6037,LOS ANGELES COUNTY,630,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,20,KG,5,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,6,2,N,2,1,M,80,35,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,0,0,7,4,12,3,1,1,21,12,0,2,0,0,74,0,0,9,6,18,7,0,2,15,17,0,0,0,0,114,1,0,9,8,20,19,5,2,32,18,0,0,0,0,74,0,0,13,3,7,14,2,2,18,14,1,0,0,0,98,0,0,3,6,20,23,1,4,20,21,0,0,0,0,72,0,0,2,8,14,15,1,1,15,16,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,495,1,1,0,78,43,35,172,91,81,22,10,12,219,121,98,3,1,2,0,0,0,495,N,NSLPNO,622710,M
SUMMIT ACADEMY TRANSITION HIGH SCHOOL DAYTON,"SUMMIT ACADEMY TRANSITION HIGH SCHOOL DAYTON 1407 EAST 3RD ST, DAYTON, OH",https://summitacademies.org/schools/dayton-high/,8,"1407 EAST 3RD ST, DAYTON, OH",OH621,0.569926586,https://web.archive.org/web/*/https://summitacademies.org/,3,2013,3.90E+11,39,3900348,4885,621,621,SUMMIT ACADEMY TRANSITION HIGH SCHOOL DAYTON,SUMMIT ACADEMY TRANSITION HIGH SCHOOL DAYTON,9372233154,1407 E 3RD ST,DAYTON,OH,45403,1818,1407 EAST 3RD ST,DAYTON,OH,45403,1818,2,1,0,12,39.7629,-84.1725,39113,MONTGOMERY COUNTY,3910,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,18,9,12,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,5,1,1,N,1,2,66,8,74,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,32,0,0,0,0,0,0,6,4,16,6,0,0,0,0,24,0,0,0,0,1,0,4,2,14,2,0,0,1,0,21,0,0,0,0,3,0,3,2,7,5,0,0,1,0,22,0,0,0,0,0,1,5,1,12,1,0,0,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,0,0,0,0,0,0,5,4,1,27,18,9,63,49,14,0,0,0,4,4,0,99,VIRTUALNO,NSLPWOPRO,8303,M
SPRING BRANCH ISD,"WESTCHESTER ACADEMY FOR INTERNATIONAL STUDIES 901 YORKCHESTER, HOUSTON, TX",https://cms.springbranchisd.com/wais/,9,"901 YORKCHESTER, HOUSTON, TX",TX101920014,0.240250644,https://web.archive.org/web/*/http://www.springbranchisd.com/schools/wais/waisindex.htm,4,2013,4.84E+11,48,4841100,8831,101920,101920014,SPRING BRANCH ISD,WESTCHESTER ACADEMY FOR INTERNATIONAL STUDIES,7132511800,901 YORKCHESTER,HOUSTON,TX,77079,0,901 YORKCHESTER,HOUSTON,TX,77079,0,1,1,0,11,29.7809,-95.5835,48201,HARRIS COUNTY,4807,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,73.2,6,12,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,4,4,1,1,2,1,M,477,74,551,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,140,0,0,8,4,49,54,1,6,7,10,0,0,1,0,139,0,0,1,2,37,58,2,2,22,14,0,0,1,0,138,0,0,2,6,45,48,3,4,16,12,0,0,1,1,138,0,0,7,3,51,38,3,4,17,15,0,0,0,0,131,0,0,7,3,30,53,0,1,22,14,0,0,0,1,136,2,0,5,7,39,33,3,4,22,16,0,0,2,3,114,0,0,3,5,41,34,1,5,10,12,0,0,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,936,2,2,0,63,33,30,610,292,318,39,13,26,209,116,93,0,0,0,13,7,6,936,N,M,101920,M
CITY ACADEMY,"CITY ACADEMY 958 JESSIE ST, SAINT PAUL, MN",https://cityacademy.org/,10,"958 JESSIE ST, SAINT PAUL, MN",MN74000010,0.964213307,https://web.archive.org/web/*/https://cityacademy.org/,3,2013,2.71E+11,27,2708955,16,74000,74000010,CITY ACADEMY,CITY ACADEMY,6512984624,958 JESSIE ST,SAINT PAUL,MN,55101,4058,958 JESSIE ST,SAINT PAUL,MN,55101,4058,1,1,0,11,44.9698,-93.0769,27123,RAMSEY COUNTY,2704,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,8.2,10,12,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,5,1,1,2,1,2,106,0,106,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,10,2,1,0,1,0,0,1,0,0,0,1,92,0,0,43,23,2,2,4,9,1,1,0,0,3,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,109,0,0,0,79,53,26,5,3,2,14,5,9,3,1,2,0,0,0,8,3,5,109,VIRTUALNO,NSLPNO,2.40E+11,M
