###############################################################
#
# TLD:            COM
# Script:         Bamum
# Version Number: 1.2
# Effective Date: October 25th, 2014
# Registry:       Verisign, Inc.
# Address:        12061 Bluemont Way, Reston VA 20190, USA
# Telephone:      +1 (703) 925-6999
# Email:          info@verisign-grs.com
# URL:            http://www.verisigninc.com
#
###############################################################


###############################################################
#
# Codepoints allowed from the Bamum script.
#
###############################################################
U+A6A0	# BAMUM LETTER A
U+A6A1	# BAMUM LETTER KA
U+A6A2	# BAMUM LETTER U
U+A6A3	# BAMUM LETTER KU
U+A6A4	# BAMUM LETTER EE
U+A6A5	# BAMUM LETTER REE
U+A6A6	# BAMUM LETTER TAE
U+A6A7	# BAMUM LETTER O
U+A6A8	# BAMUM LETTER NYI
U+A6A9	# BAMUM LETTER I
U+A6AA	# BAMUM LETTER LA
U+A6AB	# BAMUM LETTER PA
U+A6AC	# BAMUM LETTER RII
U+A6AD	# BAMUM LETTER RIEE
U+A6AE	# BAMUM LETTER LEEEE
U+A6AF	# BAMUM LETTER MEEEE
U+A6B0	# BAMUM LETTER TAA
U+A6B1	# BAMUM LETTER NDAA
U+A6B2	# BAMUM LETTER NJAEM
U+A6B3	# BAMUM LETTER M
U+A6B4	# BAMUM LETTER SUU
U+A6B5	# BAMUM LETTER MU
U+A6B6	# BAMUM LETTER SHII
U+A6B7	# BAMUM LETTER SI
U+A6B8	# BAMUM LETTER SHEUX
U+A6B9	# BAMUM LETTER SEUX
U+A6BA	# BAMUM LETTER KYEE
U+A6BB	# BAMUM LETTER KET
U+A6BC	# BAMUM LETTER NUAE
U+A6BD	# BAMUM LETTER NU
U+A6BE	# BAMUM LETTER NJUAE
U+A6BF	# BAMUM LETTER YOQ
U+A6C0	# BAMUM LETTER SHU
U+A6C1	# BAMUM LETTER YUQ
U+A6C2	# BAMUM LETTER YA
U+A6C3	# BAMUM LETTER NSHA
U+A6C4	# BAMUM LETTER KEUX
U+A6C5	# BAMUM LETTER PEUX
U+A6C6	# BAMUM LETTER NJEE
U+A6C7	# BAMUM LETTER NTEE
U+A6C8	# BAMUM LETTER PUE
U+A6C9	# BAMUM LETTER WUE
U+A6CA	# BAMUM LETTER PEE
U+A6CB	# BAMUM LETTER FEE
U+A6CC	# BAMUM LETTER RU
U+A6CD	# BAMUM LETTER LU
U+A6CE	# BAMUM LETTER MI
U+A6CF	# BAMUM LETTER NI
U+A6D0	# BAMUM LETTER REUX
U+A6D1	# BAMUM LETTER RAE
U+A6D2	# BAMUM LETTER KEN
U+A6D3	# BAMUM LETTER NGKWAEN
U+A6D4	# BAMUM LETTER NGGA
U+A6D5	# BAMUM LETTER NGA
U+A6D6	# BAMUM LETTER SHO
U+A6D7	# BAMUM LETTER PUAE
U+A6D8	# BAMUM LETTER FU
U+A6D9	# BAMUM LETTER FOM
U+A6DA	# BAMUM LETTER WA
U+A6DB	# BAMUM LETTER NA
U+A6DC	# BAMUM LETTER LI
U+A6DD	# BAMUM LETTER PI
U+A6DE	# BAMUM LETTER LOQ
U+A6DF	# BAMUM LETTER KO
U+A6E0	# BAMUM LETTER MBEN
U+A6E1	# BAMUM LETTER REN
U+A6E2	# BAMUM LETTER MEN
U+A6E3	# BAMUM LETTER MA
U+A6E4	# BAMUM LETTER TI
U+A6E5	# BAMUM LETTER KI
U+A6F0	# BAMUM COMBINING MARK KOQNDON
U+A6F1	# BAMUM COMBINING MARK TUKWENTIS
U+16800	# BAMUM LETTER PHASE-A NGKUE MFON
U+16801	# BAMUM LETTER PHASE-A GBIEE FON
U+16802	# BAMUM LETTER PHASE-A PON MFON PIPAEMGBIEE
U+16803	# BAMUM LETTER PHASE-A PON MFON PIPAEMBA
U+16804	# BAMUM LETTER PHASE-A NAA MFON
U+16805	# BAMUM LETTER PHASE-A SHUENSHUET
U+16806	# BAMUM LETTER PHASE-A TITA MFON
U+16807	# BAMUM LETTER PHASE-A NZA MFON
U+16808	# BAMUM LETTER PHASE-A SHINDA PA NJI
U+16809	# BAMUM LETTER PHASE-A PON PA NJI PIPAEMGBIEE
