#
# IDN Table for Korean
# Copyright 2015 CentralNic Ltd
#
# Table ID: ko
# Table type: Language
# Version: 1.0
# Published: 2011-05-12
# Referral URL: https://www.centralnic.com
#
# Policy Statement:
#
# No remarks.
#

U+002D # - HYPHEN-MINUS
U+0030 # 0 DIGIT ZERO
U+0031 # 1 DIGIT ONE
U+0032 # 2 DIGIT TWO
U+0033 # 3 DIGIT THREE
U+0034 # 4 DIGIT FOUR
U+0035 # 5 DIGIT FIVE
U+0036 # 6 DIGIT SIX
U+0037 # 7 DIGIT SEVEN
U+0038 # 8 DIGIT EIGHT
U+0039 # 9 DIGIT NINE
U+0061 # a LATIN SMALL LETTER A
U+0062 # b LATIN SMALL LETTER B
U+0063 # c LATIN SMALL LETTER C
U+0064 # d LATIN SMALL LETTER D
U+0065 # e LATIN SMALL LETTER E
U+0066 # f LATIN SMALL LETTER F
U+0067 # g LATIN SMALL LETTER G
U+0068 # h LATIN SMALL LETTER H
U+0069 # i LATIN SMALL LETTER I
U+006A # j LATIN SMALL LETTER J
U+006B # k LATIN SMALL LETTER K
U+006C # l LATIN SMALL LETTER L
U+006D # m LATIN SMALL LETTER M
U+006E # n LATIN SMALL LETTER N
U+006F # o LATIN SMALL LETTER O
U+0070 # p LATIN SMALL LETTER P
U+0071 # q LATIN SMALL LETTER Q
U+0072 # r LATIN SMALL LETTER R
U+0073 # s LATIN SMALL LETTER S
U+0074 # t LATIN SMALL LETTER T
U+0075 # u LATIN SMALL LETTER U
U+0076 # v LATIN SMALL LETTER V
U+0077 # w LATIN SMALL LETTER W
U+0078 # x LATIN SMALL LETTER X
U+0079 # y LATIN SMALL LETTER Y
U+007A # z LATIN SMALL LETTER Z
U+AC00 # 가 HANGUL SYLLABLE GA
U+AC01 # 각 HANGUL SYLLABLE GAG
U+AC02 # 갂 HANGUL SYLLABLE GAGG
U+AC03 # 갃 HANGUL SYLLABLE GAGS
U+AC04 # 간 HANGUL SYLLABLE GAN
U+AC05 # 갅 HANGUL SYLLABLE GANJ
U+AC06 # 갆 HANGUL SYLLABLE GANH
U+AC07 # 갇 HANGUL SYLLABLE GAD
U+AC08 # 갈 HANGUL SYLLABLE GAL
U+AC09 # 갉 HANGUL SYLLABLE GALG
U+AC0A # 갊 HANGUL SYLLABLE GALM
U+AC0B # 갋 HANGUL SYLLABLE GALB
U+AC0C # 갌 HANGUL SYLLABLE GALS
U+AC0D # 갍 HANGUL SYLLABLE GALT
U+AC0E # 갎 HANGUL SYLLABLE GALP
U+AC0F # 갏 HANGUL SYLLABLE GALH
U+AC10 # 감 HANGUL SYLLABLE GAM
U+AC11 # 갑 HANGUL SYLLABLE GAB
U+AC12 # 값 HANGUL SYLLABLE GABS
U+AC13 # 갓 HANGUL SYLLABLE GAS
U+AC14 # 갔 HANGUL SYLLABLE GASS
U+AC15 # 강 HANGUL SYLLABLE GANG
U+AC16 # 갖 HANGUL SYLLABLE GAJ
U+AC17 # 갗 HANGUL SYLLABLE GAC
U+AC18 # 갘 HANGUL SYLLABLE GAK
U+AC19 # 같 HANGUL SYLLABLE GAT
U+AC1A # 갚 HANGUL SYLLABLE GAP
U+AC1B # 갛 HANGUL SYLLABLE GAH
U+AC1C # 개 HANGUL SYLLABLE GAE
U+AC1D # 객 HANGUL SYLLABLE GAEG
U+AC1E # 갞 HANGUL SYLLABLE GAEGG
U+AC1F # 갟 HANGUL SYLLABLE GAEGS
U+AC20 # 갠 HANGUL SYLLABLE GAEN
U+AC21 # 갡 HANGUL SYLLABLE GAENJ
U+AC22 # 갢 HANGUL SYLLABLE GAENH
U+AC23 # 갣 HANGUL SYLLABLE GAED
U+AC24 # 갤 HANGUL SYLLABLE GAEL
U+AC25 # 갥 HANGUL SYLLABLE GAELG
U+AC26 # 갦 HANGUL SYLLABLE GAELM
U+AC27 # 갧 HANGUL SYLLABLE GAELB
U+AC28 # 갨 HANGUL SYLLABLE GAELS
U+AC29 # 갩 HANGUL SYLLABLE GAELT
U+AC2A # 갪 HANGUL SYLLABLE GAELP
U+AC2B # 갫 HANGUL SYLLABLE GAELH
U+AC2C # 갬 HANGUL SYLLABLE GAEM
U+AC2D # 갭 HANGUL SYLLABLE GAEB
U+AC2E # 갮 HANGUL SYLLABLE GAEBS
U+AC2F # 갯 HANGUL SYLLABLE GAES
U+AC30 # 갰 HANGUL SYLLABLE GAESS
U+AC31 # 갱 HANGUL SYLLABLE GAENG
U+AC32 # 갲 HANGUL SYLLABLE GAEJ
U+AC33 # 갳 HANGUL SYLLABLE GAEC
U+AC34 # 갴 HANGUL SYLLABLE GAEK
U+AC35 # 갵 HANGUL SYLLABLE GAET
U+AC36 # 갶 HANGUL SYLLABLE GAEP
U+AC37 # 갷 HANGUL SYLLABLE GAEH
U+AC38 # 갸 HANGUL SYLLABLE GYA
U+AC39 # 갹 HANGUL SYLLABLE GYAG
U+AC3A # 갺 HANGUL SYLLABLE GYAGG
U+AC3B # 갻 HANGUL SYLLABLE GYAGS
U+AC3C # 갼 HANGUL SYLLABLE GYAN
U+AC3D # 갽 HANGUL SYLLABLE GYANJ
U+AC3E # 갾 HANGUL SYLLABLE GYANH
U+AC3F # 갿 HANGUL SYLLABLE GYAD
U+AC40 # 걀 HANGUL SYLLABLE GYAL
U+AC41 # 걁 HANGUL SYLLABLE GYALG
U+AC42 # 걂 HANGUL SYLLABLE GYALM
U+AC43 # 걃 HANGUL SYLLABLE GYALB
U+AC44 # 걄 HANGUL SYLLABLE GYALS
U+AC45 # 걅 HANGUL SYLLABLE GYALT
U+AC46 # 걆 HANGUL SYLLABLE GYALP
U+AC47 # 걇 HANGUL SYLLABLE GYALH
U+AC48 # 걈 HANGUL SYLLABLE GYAM
U+AC49 # 걉 HANGUL SYLLABLE GYAB
U+AC4A # 걊 HANGUL SYLLABLE GYABS
U+AC4B # 걋 HANGUL SYLLABLE GYAS
U+AC4C # 걌 HANGUL SYLLABLE GYASS
U+AC4D # 걍 HANGUL SYLLABLE GYANG
U+AC4E # 걎 HANGUL SYLLABLE GYAJ
U+AC4F # 걏 HANGUL SYLLABLE GYAC
U+AC50 # 걐 HANGUL SYLLABLE GYAK
U+AC51 # 걑 HANGUL SYLLABLE GYAT
U+AC52 # 걒 HANGUL SYLLABLE GYAP
U+AC53 # 걓 HANGUL SYLLABLE GYAH
U+AC54 # 걔 HANGUL SYLLABLE GYAE
U+AC55 # 걕 HANGUL SYLLABLE GYAEG
U+AC56 # 걖 HANGUL SYLLABLE GYAEGG
U+AC57 # 걗 HANGUL SYLLABLE GYAEGS
U+AC58 # 걘 HANGUL SYLLABLE GYAEN
U+AC59 # 걙 HANGUL SYLLABLE GYAENJ
U+AC5A # 걚 HANGUL SYLLABLE GYAENH
U+AC5B # 걛 HANGUL SYLLABLE GYAED
U+AC5C # 걜 HANGUL SYLLABLE GYAEL
U+AC5D # 걝 HANGUL SYLLABLE GYAELG
U+AC5E # 걞 HANGUL SYLLABLE GYAELM
U+AC5F # 걟 HANGUL SYLLABLE GYAELB
U+AC60 # 걠 HANGUL SYLLABLE GYAELS
U+AC61 # 걡 HANGUL SYLLABLE GYAELT
U+AC62 # 걢 HANGUL SYLLABLE GYAELP
U+AC63 # 걣 HANGUL SYLLABLE GYAELH
U+AC64 # 걤 HANGUL SYLLABLE GYAEM
U+AC65 # 걥 HANGUL SYLLABLE GYAEB
U+AC66 # 걦 HANGUL SYLLABLE GYAEBS
U+AC67 # 걧 HANGUL SYLLABLE GYAES
U+AC68 # 걨 HANGUL SYLLABLE GYAESS
U+AC69 # 걩 HANGUL SYLLABLE GYAENG
U+AC6A # 걪 HANGUL SYLLABLE GYAEJ
U+AC6B # 걫 HANGUL SYLLABLE GYAEC
U+AC6C # 걬 HANGUL SYLLABLE GYAEK
U+AC6D # 걭 HANGUL SYLLABLE GYAET
U+AC6E # 걮 HANGUL SYLLABLE GYAEP
U+AC6F # 걯 HANGUL SYLLABLE GYAEH
U+AC70 # 거 HANGUL SYLLABLE GEO
U+AC71 # 걱 HANGUL SYLLABLE GEOG
U+AC72 # 걲 HANGUL SYLLABLE GEOGG
U+AC73 # 걳 HANGUL SYLLABLE GEOGS
U+AC74 # 건 HANGUL SYLLABLE GEON
U+AC75 # 걵 HANGUL SYLLABLE GEONJ
U+AC76 # 걶 HANGUL SYLLABLE GEONH
U+AC77 # 걷 HANGUL SYLLABLE GEOD
U+AC78 # 걸 HANGUL SYLLABLE GEOL
U+AC79 # 걹 HANGUL SYLLABLE GEOLG
U+AC7A # 걺 HANGUL SYLLABLE GEOLM
U+AC7B # 걻 HANGUL SYLLABLE GEOLB
U+AC7C # 걼 HANGUL SYLLABLE GEOLS
U+AC7D # 걽 HANGUL SYLLABLE GEOLT
U+AC7E # 걾 HANGUL SYLLABLE GEOLP
U+AC7F # 걿 HANGUL SYLLABLE GEOLH
U+AC80 # 검 HANGUL SYLLABLE GEOM
U+AC81 # 겁 HANGUL SYLLABLE GEOB
U+AC82 # 겂 HANGUL SYLLABLE GEOBS
U+AC83 # 것 HANGUL SYLLABLE GEOS
U+AC84 # 겄 HANGUL SYLLABLE GEOSS
U+AC85 # 겅 HANGUL SYLLABLE GEONG
U+AC86 # 겆 HANGUL SYLLABLE GEOJ
U+AC87 # 겇 HANGUL SYLLABLE GEOC
U+AC88 # 겈 HANGUL SYLLABLE GEOK
U+AC89 # 겉 HANGUL SYLLABLE GEOT
U+AC8A # 겊 HANGUL SYLLABLE GEOP
U+AC8B # 겋 HANGUL SYLLABLE GEOH
U+AC8C # 게 HANGUL SYLLABLE GE
U+AC8D # 겍 HANGUL SYLLABLE GEG
U+AC8E # 겎 HANGUL SYLLABLE GEGG
U+AC8F # 겏 HANGUL SYLLABLE GEGS
U+AC90 # 겐 HANGUL SYLLABLE GEN
U+AC91 # 겑 HANGUL SYLLABLE GENJ
U+AC92 # 겒 HANGUL SYLLABLE GENH
U+AC93 # 겓 HANGUL SYLLABLE GED
U+AC94 # 겔 HANGUL SYLLABLE GEL
U+AC95 # 겕 HANGUL SYLLABLE GELG
U+AC96 # 겖 HANGUL SYLLABLE GELM
U+AC97 # 겗 HANGUL SYLLABLE GELB
U+AC98 # 겘 HANGUL SYLLABLE GELS
U+AC99 # 겙 HANGUL SYLLABLE GELT
U+AC9A # 겚 HANGUL SYLLABLE GELP
U+AC9B # 겛 HANGUL SYLLABLE GELH
U+AC9C # 겜 HANGUL SYLLABLE GEM
U+AC9D # 겝 HANGUL SYLLABLE GEB
U+AC9E # 겞 HANGUL SYLLABLE GEBS
U+AC9F # 겟 HANGUL SYLLABLE GES
U+ACA0 # 겠 HANGUL SYLLABLE GESS
U+ACA1 # 겡 HANGUL SYLLABLE GENG
U+ACA2 # 겢 HANGUL SYLLABLE GEJ
U+ACA3 # 겣 HANGUL SYLLABLE GEC
U+ACA4 # 겤 HANGUL SYLLABLE GEK
U+ACA5 # 겥 HANGUL SYLLABLE GET
U+ACA6 # 겦 HANGUL SYLLABLE GEP
U+ACA7 # 겧 HANGUL SYLLABLE GEH
U+ACA8 # 겨 HANGUL SYLLABLE GYEO
U+ACA9 # 격 HANGUL SYLLABLE GYEOG
U+ACAA # 겪 HANGUL SYLLABLE GYEOGG
U+ACAB # 겫 HANGUL SYLLABLE GYEOGS
U+ACAC # 견 HANGUL SYLLABLE GYEON
U+ACAD # 겭 HANGUL SYLLABLE GYEONJ
U+ACAE # 겮 HANGUL SYLLABLE GYEONH
U+ACAF # 겯 HANGUL SYLLABLE GYEOD
U+ACB0 # 결 HANGUL SYLLABLE GYEOL
U+ACB1 # 겱 HANGUL SYLLABLE GYEOLG
U+ACB2 # 겲 HANGUL SYLLABLE GYEOLM
U+ACB3 # 겳 HANGUL SYLLABLE GYEOLB
U+ACB4 # 겴 HANGUL SYLLABLE GYEOLS
U+ACB5 # 겵 HANGUL SYLLABLE GYEOLT
U+ACB6 # 겶 HANGUL SYLLABLE GYEOLP
U+ACB7 # 겷 HANGUL SYLLABLE GYEOLH
U+ACB8 # 겸 HANGUL SYLLABLE GYEOM
