# TLD: .ikano
# Script: Thai
# Version Number: 1.0
# Effective Date: 08-25-2016
# Registry: Ikano S.A., nic@ikano.lu, +352 26 4422

# Code   # Unicode   Specimen  Name
# point  # script    Glyph 
U+002D   # Common    -         HYPHEN-MINUS
U+0030   # Common    0         DIGIT ZERO
U+0031   # Common    1         DIGIT ONE
U+0032   # Common    2         DIGIT TWO
U+0033   # Common    3         DIGIT THREE
U+0034   # Common    4         DIGIT FOUR
U+0035   # Common    5         DIGIT FIVE
U+0036   # Common    6         DIGIT SIX
U+0037   # Common    7         DIGIT SEVEN
U+0038   # Common    8         DIGIT EIGHT
U+0039   # Common    9         DIGIT NINE
#
U+0E01   # Thai      ก         THAI CHARACTER KO KAI
U+0E02   # Thai      ข         THAI CHARACTER KHO KHAI
U+0E03   # Thai      ฃ         THAI CHARACTER KHO KHUAT
U+0E04   # Thai      ค         THAI CHARACTER KHO KHWAI
U+0E05   # Thai      ฅ         THAI CHARACTER KHO KHON
U+0E06   # Thai      ฆ         THAI CHARACTER KHO RAKHANG
U+0E07   # Thai      ง         THAI CHARACTER NGO NGU
U+0E08   # Thai      จ         THAI CHARACTER CHO CHAN
U+0E09   # Thai      ฉ         THAI CHARACTER CHO CHING
U+0E0A   # Thai      ช         THAI CHARACTER CHO CHANG
U+0E0B   # Thai      ซ         THAI CHARACTER SO SO
U+0E0C   # Thai      ฌ         THAI CHARACTER CHO CHOE
U+0E0D   # Thai      ญ         THAI CHARACTER YO YING
U+0E0E   # Thai      ฎ         THAI CHARACTER DO CHADA
U+0E0F   # Thai      ฏ         THAI CHARACTER TO PATAK
U+0E10   # Thai      ฐ         THAI CHARACTER THO THAN
U+0E11   # Thai      ฑ         THAI CHARACTER THO NANGMONTHO
U+0E12   # Thai      ฒ         THAI CHARACTER THO PHUTHAO
U+0E13   # Thai      ณ         THAI CHARACTER NO NEN
U+0E14   # Thai      ด         THAI CHARACTER DO DEK
U+0E15   # Thai      ต         THAI CHARACTER TO TAO
U+0E16   # Thai      ถ         THAI CHARACTER THO THUNG
U+0E17   # Thai      ท         THAI CHARACTER THO THAHAN
U+0E18   # Thai      ธ         THAI CHARACTER THO THONG
U+0E19   # Thai      น         THAI CHARACTER NO NU
U+0E1A   # Thai      บ         THAI CHARACTER BO BAIMAI
U+0E1B   # Thai      ป         THAI CHARACTER PO PLA
U+0E1C   # Thai      ผ         THAI CHARACTER PHO PHUNG
U+0E1D   # Thai      ฝ         THAI CHARACTER FO FA
U+0E1E   # Thai      พ         THAI CHARACTER PHO PHAN
U+0E1F   # Thai      ฟ         THAI CHARACTER FO FAN
U+0E20   # Thai      ภ         THAI CHARACTER PHO SAMPHAO
U+0E21   # Thai      ม         THAI CHARACTER MO MA
U+0E22   # Thai      ย         THAI CHARACTER YO YAK
U+0E23   # Thai      ร         THAI CHARACTER RO RUA
U+0E24   # Thai      ฤ         THAI CHARACTER RU
U+0E25   # Thai      ล         THAI CHARACTER LO LING
U+0E26   # Thai      ฦ         THAI CHARACTER LU
U+0E27   # Thai      ว         THAI CHARACTER WO WAEN
U+0E28   # Thai      ศ         THAI CHARACTER SO SALA
U+0E29   # Thai      ษ         THAI CHARACTER SO RUSI
U+0E2A   # Thai      ส         THAI CHARACTER SO SUA
U+0E2B   # Thai      ห         THAI CHARACTER HO HIP
U+0E2C   # Thai      ฬ         THAI CHARACTER LO CHULA
U+0E2D   # Thai      อ         THAI CHARACTER O ANG
U+0E2E   # Thai      ฮ         THAI CHARACTER HO NOKHUK
U+0E2F   # Thai      ฯ         THAI CHARACTER PAIYANNOI
U+0E30   # Thai      ะ         THAI CHARACTER SARA A
