###############################################################
#
# TLD:            NAME
# Script:         Canadian Aboriginal
# Version Number: 1.1
# Effective Date: July 1st, 2011
# Registry:       Verisign, Inc.
# Address:        12061 Bluemont Way, Reston VA 20190, USA
# Telephone:      +1 (703) 925-6999
# Email:          info@verisign-grs.com
# URL:            http://www.verisigninc.com
#
###############################################################


###############################################################
#
# Codepoints allowed from the Canadian Aboriginal script.
#
###############################################################
U+1401	# CANADIAN SYLLABICS E
U+1402	# CANADIAN SYLLABICS AAI
U+1403	# CANADIAN SYLLABICS I
U+1404	# CANADIAN SYLLABICS II
U+1405	# CANADIAN SYLLABICS O
U+1406	# CANADIAN SYLLABICS OO
U+1407	# CANADIAN SYLLABICS Y-CREE OO
U+1408	# CANADIAN SYLLABICS CARRIER EE
U+1409	# CANADIAN SYLLABICS CARRIER I
U+140A	# CANADIAN SYLLABICS A
U+140B	# CANADIAN SYLLABICS AA
U+140C	# CANADIAN SYLLABICS WE
U+140D	# CANADIAN SYLLABICS WEST-CREE WE
U+140E	# CANADIAN SYLLABICS WI
U+140F	# CANADIAN SYLLABICS WEST-CREE WI
U+1410	# CANADIAN SYLLABICS WII
U+1411	# CANADIAN SYLLABICS WEST-CREE WII
U+1412	# CANADIAN SYLLABICS WO
U+1413	# CANADIAN SYLLABICS WEST-CREE WO
U+1414	# CANADIAN SYLLABICS WOO
U+1415	# CANADIAN SYLLABICS WEST-CREE WOO
U+1416	# CANADIAN SYLLABICS NASKAPI WOO
U+1417	# CANADIAN SYLLABICS WA
U+1418	# CANADIAN SYLLABICS WEST-CREE WA
U+1419	# CANADIAN SYLLABICS WAA
U+141A	# CANADIAN SYLLABICS WEST-CREE WAA
U+141B	# CANADIAN SYLLABICS NASKAPI WAA
U+141C	# CANADIAN SYLLABICS AI
U+141D	# CANADIAN SYLLABICS Y-CREE W
U+141E	# CANADIAN SYLLABICS GLOTTAL STOP
U+141F	# CANADIAN SYLLABICS FINAL ACUTE
U+1420	# CANADIAN SYLLABICS FINAL GRAVE
U+1421	# CANADIAN SYLLABICS FINAL BOTTOM HALF RING
U+1422	# CANADIAN SYLLABICS FINAL TOP HALF RING
U+1423	# CANADIAN SYLLABICS FINAL RIGHT HALF RING
U+1424	# CANADIAN SYLLABICS FINAL RING
U+1425	# CANADIAN SYLLABICS FINAL DOUBLE ACUTE
U+1426	# CANADIAN SYLLABICS FINAL DOUBLE SHORT VERTICAL STROKES
U+1427	# CANADIAN SYLLABICS FINAL MIDDLE DOT
U+1428	# CANADIAN SYLLABICS FINAL SHORT HORIZONTAL STROKE
U+1429	# CANADIAN SYLLABICS FINAL PLUS
U+142A	# CANADIAN SYLLABICS FINAL DOWN TACK
U+142B	# CANADIAN SYLLABICS EN
U+142C	# CANADIAN SYLLABICS IN
U+142D	# CANADIAN SYLLABICS ON
U+142E	# CANADIAN SYLLABICS AN
U+142F	# CANADIAN SYLLABICS PE
U+1430	# CANADIAN SYLLABICS PAAI
U+1431	# CANADIAN SYLLABICS PI
U+1432	# CANADIAN SYLLABICS PII
U+1433	# CANADIAN SYLLABICS PO
U+1434	# CANADIAN SYLLABICS POO
U+1435	# CANADIAN SYLLABICS Y-CREE POO
U+1436	# CANADIAN SYLLABICS CARRIER HEE
U+1437	# CANADIAN SYLLABICS CARRIER HI
U+1438	# CANADIAN SYLLABICS PA
U+1439	# CANADIAN SYLLABICS PAA
U+143A	# CANADIAN SYLLABICS PWE
U+143B	# CANADIAN SYLLABICS WEST-CREE PWE
U+143C	# CANADIAN SYLLABICS PWI
U+143D	# CANADIAN SYLLABICS WEST-CREE PWI
U+143E	# CANADIAN SYLLABICS PWII
U+143F	# CANADIAN SYLLABICS WEST-CREE PWII
U+1440	# CANADIAN SYLLABICS PWO
U+1441	# CANADIAN SYLLABICS WEST-CREE PWO
U+1442	# CANADIAN SYLLABICS PWOO
U+1443	# CANADIAN SYLLABICS WEST-CREE PWOO
U+1444	# CANADIAN SYLLABICS PWA
U+1445	# CANADIAN SYLLABICS WEST-CREE PWA
U+1446	# CANADIAN SYLLABICS PWAA
U+1447	# CANADIAN SYLLABICS WEST-CREE PWAA
U+1448	# CANADIAN SYLLABICS Y-CREE PWAA
U+1449	# CANADIAN SYLLABICS P
U+144A	# CANADIAN SYLLABICS WEST-CREE P
U+144B	# CANADIAN SYLLABICS CARRIER H
U+144C	# CANADIAN SYLLABICS TE
U+144D	# CANADIAN SYLLABICS TAAI
U+144E	# CANADIAN SYLLABICS TI
U+144F	# CANADIAN SYLLABICS TII
U+1450	# CANADIAN SYLLABICS TO
U+1451	# CANADIAN SYLLABICS TOO
U+1452	# CANADIAN SYLLABICS Y-CREE TOO
U+1453	# CANADIAN SYLLABICS CARRIER DEE
U+1454	# CANADIAN SYLLABICS CARRIER DI
U+1455	# CANADIAN SYLLABICS TA
U+1456	# CANADIAN SYLLABICS TAA
U+1457	# CANADIAN SYLLABICS TWE
U+1458	# CANADIAN SYLLABICS WEST-CREE TWE
U+1459	# CANADIAN SYLLABICS TWI
U+145A	# CANADIAN SYLLABICS WEST-CREE TWI
U+145B	# CANADIAN SYLLABICS TWII
U+145C	# CANADIAN SYLLABICS WEST-CREE TWII
U+145D	# CANADIAN SYLLABICS TWO
U+145E	# CANADIAN SYLLABICS WEST-CREE TWO
U+145F	# CANADIAN SYLLABICS TWOO
U+1460	# CANADIAN SYLLABICS WEST-CREE TWOO
U+1461	# CANADIAN SYLLABICS TWA
U+1462	# CANADIAN SYLLABICS WEST-CREE TWA
U+1463	# CANADIAN SYLLABICS TWAA
U+1464	# CANADIAN SYLLABICS WEST-CREE TWAA
U+1465	# CANADIAN SYLLABICS NASKAPI TWAA
U+1466	# CANADIAN SYLLABICS T
U+1467	# CANADIAN SYLLABICS TTE
U+1468	# CANADIAN SYLLABICS TTI
U+1469	# CANADIAN SYLLABICS TTO
U+146A	# CANADIAN SYLLABICS TTA
U+146B	# CANADIAN SYLLABICS KE
U+146C	# CANADIAN SYLLABICS KAAI
U+146D	# CANADIAN SYLLABICS KI
U+146E	# CANADIAN SYLLABICS KII
U+146F	# CANADIAN SYLLABICS KO
U+1470	# CANADIAN SYLLABICS KOO
U+1471	# CANADIAN SYLLABICS Y-CREE KOO
U+1472	# CANADIAN SYLLABICS KA
U+1473	# CANADIAN SYLLABICS KAA
U+1474	# CANADIAN SYLLABICS KWE
U+1475	# CANADIAN SYLLABICS WEST-CREE KWE
U+1476	# CANADIAN SYLLABICS KWI
U+1477	# CANADIAN SYLLABICS WEST-CREE KWI
U+1478	# CANADIAN SYLLABICS KWII
U+1479	# CANADIAN SYLLABICS WEST-CREE KWII
U+147A	# CANADIAN SYLLABICS KWO
U+147B	# CANADIAN SYLLABICS WEST-CREE KWO
U+147C	# CANADIAN SYLLABICS KWOO
U+147D	# CANADIAN SYLLABICS WEST-CREE KWOO
U+147E	# CANADIAN SYLLABICS KWA
U+147F	# CANADIAN SYLLABICS WEST-CREE KWA
U+1480	# CANADIAN SYLLABICS KWAA
U+1481	# CANADIAN SYLLABICS WEST-CREE KWAA
U+1482	# CANADIAN SYLLABICS NASKAPI KWAA
U+1483	# CANADIAN SYLLABICS K
U+1484	# CANADIAN SYLLABICS KW
U+1485	# CANADIAN SYLLABICS SOUTH-SLAVEY KEH
U+1486	# CANADIAN SYLLABICS SOUTH-SLAVEY KIH
U+1487	# CANADIAN SYLLABICS SOUTH-SLAVEY KOH
U+1488	# CANADIAN SYLLABICS SOUTH-SLAVEY KAH
U+1489	# CANADIAN SYLLABICS CE
U+148A	# CANADIAN SYLLABICS CAAI
U+148B	# CANADIAN SYLLABICS CI
U+148C	# CANADIAN SYLLABICS CII
U+148D	# CANADIAN SYLLABICS CO
U+148E	# CANADIAN SYLLABICS COO
U+148F	# CANADIAN SYLLABICS Y-CREE COO
U+1490	# CANADIAN SYLLABICS CA
U+1491	# CANADIAN SYLLABICS CAA
U+1492	# CANADIAN SYLLABICS CWE
U+1493	# CANADIAN SYLLABICS WEST-CREE CWE
U+1494	# CANADIAN SYLLABICS CWI
U+1495	# CANADIAN SYLLABICS WEST-CREE CWI
U+1496	# CANADIAN SYLLABICS CWII
U+1497	# CANADIAN SYLLABICS WEST-CREE CWII
U+1498	# CANADIAN SYLLABICS CWO
U+1499	# CANADIAN SYLLABICS WEST-CREE CWO
U+149A	# CANADIAN SYLLABICS CWOO
U+149B	# CANADIAN SYLLABICS WEST-CREE CWOO
U+149C	# CANADIAN SYLLABICS CWA
U+149D	# CANADIAN SYLLABICS WEST-CREE CWA
U+149E	# CANADIAN SYLLABICS CWAA
U+149F	# CANADIAN SYLLABICS WEST-CREE CWAA
U+14A0	# CANADIAN SYLLABICS NASKAPI CWAA
U+14A1	# CANADIAN SYLLABICS C
U+14A2	# CANADIAN SYLLABICS SAYISI TH
U+14A3	# CANADIAN SYLLABICS ME
U+14A4	# CANADIAN SYLLABICS MAAI
U+14A5	# CANADIAN SYLLABICS MI
U+14A6	# CANADIAN SYLLABICS MII
U+14A7	# CANADIAN SYLLABICS MO
U+14A8	# CANADIAN SYLLABICS MOO
U+14A9	# CANADIAN SYLLABICS Y-CREE MOO
U+14AA	# CANADIAN SYLLABICS MA
U+14AB	# CANADIAN SYLLABICS MAA
U+14AC	# CANADIAN SYLLABICS MWE
U+14AD	# CANADIAN SYLLABICS WEST-CREE MWE
U+14AE	# CANADIAN SYLLABICS MWI
U+14AF	# CANADIAN SYLLABICS WEST-CREE MWI
U+14B0	# CANADIAN SYLLABICS MWII
U+14B1	# CANADIAN SYLLABICS WEST-CREE MWII
U+14B2	# CANADIAN SYLLABICS MWO
U+14B3	# CANADIAN SYLLABICS WEST-CREE MWO
U+14B4	# CANADIAN SYLLABICS MWOO
U+14B5	# CANADIAN SYLLABICS WEST-CREE MWOO
U+14B6	# CANADIAN SYLLABICS MWA
U+14B7	# CANADIAN SYLLABICS WEST-CREE MWA
U+14B8	# CANADIAN SYLLABICS MWAA
U+14B9	# CANADIAN SYLLABICS WEST-CREE MWAA
U+14BA	# CANADIAN SYLLABICS NASKAPI MWAA
U+14BB	# CANADIAN SYLLABICS M
U+14BC	# CANADIAN SYLLABICS WEST-CREE M
U+14BD	# CANADIAN SYLLABICS MH
U+14BE	# CANADIAN SYLLABICS ATHAPASCAN M
U+14BF	# CANADIAN SYLLABICS SAYISI M
U+14C0	# CANADIAN SYLLABICS NE
U+14C1	# CANADIAN SYLLABICS NAAI
U+14C2	# CANADIAN SYLLABICS NI
U+14C3	# CANADIAN SYLLABICS NII
U+14C4	# CANADIAN SYLLABICS NO
U+14C5	# CANADIAN SYLLABICS NOO
U+14C6	# CANADIAN SYLLABICS Y-CREE NOO
U+14C7	# CANADIAN SYLLABICS NA
U+14C8	# CANADIAN SYLLABICS NAA
U+14C9	# CANADIAN SYLLABICS NWE
U+14CA	# CANADIAN SYLLABICS WEST-CREE NWE
U+14CB	# CANADIAN SYLLABICS NWA
U+14CC	# CANADIAN SYLLABICS WEST-CREE NWA
U+14CD	# CANADIAN SYLLABICS NWAA
U+14CE	# CANADIAN SYLLABICS WEST-CREE NWAA
U+14CF	# CANADIAN SYLLABICS NASKAPI NWAA
U+14D0	# CANADIAN SYLLABICS N
U+14D1	# CANADIAN SYLLABICS CARRIER NG
U+14D2	# CANADIAN SYLLABICS NH
U+14D3	# CANADIAN SYLLABICS LE
U+14D4	# CANADIAN SYLLABICS LAAI
U+14D5	# CANADIAN SYLLABICS LI
U+14D6	# CANADIAN SYLLABICS LII
U+14D7	# CANADIAN SYLLABICS LO
U+14D8	# CANADIAN SYLLABICS LOO
U+14D9	# CANADIAN SYLLABICS Y-CREE LOO
U+14DA	# CANADIAN SYLLABICS LA
U+14DB	# CANADIAN SYLLABICS LAA
U+14DC	# CANADIAN SYLLABICS LWE
U+14DD	# CANADIAN SYLLABICS WEST-CREE LWE
U+14DE	# CANADIAN SYLLABICS LWI
U+14DF	# CANADIAN SYLLABICS WEST-CREE LWI
U+14E0	# CANADIAN SYLLABICS LWII
U+14E1	# CANADIAN SYLLABICS WEST-CREE LWII
U+14E2	# CANADIAN SYLLABICS LWO
U+14E3	# CANADIAN SYLLABICS WEST-CREE LWO
U+14E4	# CANADIAN SYLLABICS LWOO
U+14E5	# CANADIAN SYLLABICS WEST-CREE LWOO
U+14E6	# CANADIAN SYLLABICS LWA
U+14E7	# CANADIAN SYLLABICS WEST-CREE LWA
U+14E8	# CANADIAN SYLLABICS LWAA
U+14E9	# CANADIAN SYLLABICS WEST-CREE LWAA
U+14EA	# CANADIAN SYLLABICS L
U+14EB	# CANADIAN SYLLABICS WEST-CREE L
