###############################################################
#
# TLD:            NAME
# Script:         Ethiopic
# Version Number: 1.1
# Effective Date: July 1st, 2011
# Registry:       Verisign, Inc.
# Address:        12061 Bluemont Way, Reston VA 20190, USA
# Telephone:      +1 (703) 925-6999
# Email:          info@verisign-grs.com
# URL:            http://www.verisigninc.com
#
###############################################################


###############################################################
#
# Codepoints allowed from the Ethiopic script.
#
###############################################################
U+1200	# ETHIOPIC SYLLABLE HA
U+1201	# ETHIOPIC SYLLABLE HU
U+1202	# ETHIOPIC SYLLABLE HI
U+1203	# ETHIOPIC SYLLABLE HAA
U+1204	# ETHIOPIC SYLLABLE HEE
U+1205	# ETHIOPIC SYLLABLE HE
U+1206	# ETHIOPIC SYLLABLE HO
U+1207	# ETHIOPIC SYLLABLE HOA
U+1208	# ETHIOPIC SYLLABLE LA
U+1209	# ETHIOPIC SYLLABLE LU
U+120A	# ETHIOPIC SYLLABLE LI
U+120B	# ETHIOPIC SYLLABLE LAA
U+120C	# ETHIOPIC SYLLABLE LEE
U+120D	# ETHIOPIC SYLLABLE LE
U+120E	# ETHIOPIC SYLLABLE LO
U+120F	# ETHIOPIC SYLLABLE LWA
U+1210	# ETHIOPIC SYLLABLE HHA
U+1211	# ETHIOPIC SYLLABLE HHU
U+1212	# ETHIOPIC SYLLABLE HHI
U+1213	# ETHIOPIC SYLLABLE HHAA
U+1214	# ETHIOPIC SYLLABLE HHEE
U+1215	# ETHIOPIC SYLLABLE HHE
U+1216	# ETHIOPIC SYLLABLE HHO
U+1217	# ETHIOPIC SYLLABLE HHWA
U+1218	# ETHIOPIC SYLLABLE MA
U+1219	# ETHIOPIC SYLLABLE MU
U+121A	# ETHIOPIC SYLLABLE MI
U+121B	# ETHIOPIC SYLLABLE MAA
U+121C	# ETHIOPIC SYLLABLE MEE
U+121D	# ETHIOPIC SYLLABLE ME
U+121E	# ETHIOPIC SYLLABLE MO
U+121F	# ETHIOPIC SYLLABLE MWA
U+1220	# ETHIOPIC SYLLABLE SZA
U+1221	# ETHIOPIC SYLLABLE SZU
U+1222	# ETHIOPIC SYLLABLE SZI
U+1223	# ETHIOPIC SYLLABLE SZAA
U+1224	# ETHIOPIC SYLLABLE SZEE
U+1225	# ETHIOPIC SYLLABLE SZE
U+1226	# ETHIOPIC SYLLABLE SZO
U+1227	# ETHIOPIC SYLLABLE SZWA
U+1228	# ETHIOPIC SYLLABLE RA
U+1229	# ETHIOPIC SYLLABLE RU
U+122A	# ETHIOPIC SYLLABLE RI
U+122B	# ETHIOPIC SYLLABLE RAA
U+122C	# ETHIOPIC SYLLABLE REE
U+122D	# ETHIOPIC SYLLABLE RE
U+122E	# ETHIOPIC SYLLABLE RO
U+122F	# ETHIOPIC SYLLABLE RWA
U+1230	# ETHIOPIC SYLLABLE SA
U+1231	# ETHIOPIC SYLLABLE SU
U+1232	# ETHIOPIC SYLLABLE SI
U+1233	# ETHIOPIC SYLLABLE SAA
U+1234	# ETHIOPIC SYLLABLE SEE
U+1235	# ETHIOPIC SYLLABLE SE
U+1236	# ETHIOPIC SYLLABLE SO
U+1237	# ETHIOPIC SYLLABLE SWA
U+1238	# ETHIOPIC SYLLABLE SHA
U+1239	# ETHIOPIC SYLLABLE SHU
U+123A	# ETHIOPIC SYLLABLE SHI
U+123B	# ETHIOPIC SYLLABLE SHAA
U+123C	# ETHIOPIC SYLLABLE SHEE
U+123D	# ETHIOPIC SYLLABLE SHE
U+123E	# ETHIOPIC SYLLABLE SHO
U+123F	# ETHIOPIC SYLLABLE SHWA
U+1240	# ETHIOPIC SYLLABLE QA
U+1241	# ETHIOPIC SYLLABLE QU
U+1242	# ETHIOPIC SYLLABLE QI
U+1243	# ETHIOPIC SYLLABLE QAA
U+1244	# ETHIOPIC SYLLABLE QEE
U+1245	# ETHIOPIC SYLLABLE QE
U+1246	# ETHIOPIC SYLLABLE QO
U+1247	# ETHIOPIC SYLLABLE QOA
U+1248	# ETHIOPIC SYLLABLE QWA
U+124A	# ETHIOPIC SYLLABLE QWI
U+124B	# ETHIOPIC SYLLABLE QWAA
U+124C	# ETHIOPIC SYLLABLE QWEE
U+124D	# ETHIOPIC SYLLABLE QWE
U+1250	# ETHIOPIC SYLLABLE QHA
U+1251	# ETHIOPIC SYLLABLE QHU
U+1252	# ETHIOPIC SYLLABLE QHI
U+1253	# ETHIOPIC SYLLABLE QHAA
U+1254	# ETHIOPIC SYLLABLE QHEE
U+1255	# ETHIOPIC SYLLABLE QHE
U+1256	# ETHIOPIC SYLLABLE QHO
U+1258	# ETHIOPIC SYLLABLE QHWA
U+125A	# ETHIOPIC SYLLABLE QHWI
U+125B	# ETHIOPIC SYLLABLE QHWAA
U+125C	# ETHIOPIC SYLLABLE QHWEE
U+125D	# ETHIOPIC SYLLABLE QHWE
U+1260	# ETHIOPIC SYLLABLE BA
U+1261	# ETHIOPIC SYLLABLE BU
U+1262	# ETHIOPIC SYLLABLE BI
U+1263	# ETHIOPIC SYLLABLE BAA
U+1264	# ETHIOPIC SYLLABLE BEE
U+1265	# ETHIOPIC SYLLABLE BE
U+1266	# ETHIOPIC SYLLABLE BO
U+1267	# ETHIOPIC SYLLABLE BWA
U+1268	# ETHIOPIC SYLLABLE VA
U+1269	# ETHIOPIC SYLLABLE VU
U+126A	# ETHIOPIC SYLLABLE VI
U+126B	# ETHIOPIC SYLLABLE VAA
U+126C	# ETHIOPIC SYLLABLE VEE
U+126D	# ETHIOPIC SYLLABLE VE
U+126E	# ETHIOPIC SYLLABLE VO
U+126F	# ETHIOPIC SYLLABLE VWA
U+1270	# ETHIOPIC SYLLABLE TA
U+1271	# ETHIOPIC SYLLABLE TU
U+1272	# ETHIOPIC SYLLABLE TI
U+1273	# ETHIOPIC SYLLABLE TAA
U+1274	# ETHIOPIC SYLLABLE TEE
U+1275	# ETHIOPIC SYLLABLE TE
U+1276	# ETHIOPIC SYLLABLE TO
U+1277	# ETHIOPIC SYLLABLE TWA
U+1278	# ETHIOPIC SYLLABLE CA
U+1279	# ETHIOPIC SYLLABLE CU
U+127A	# ETHIOPIC SYLLABLE CI
U+127B	# ETHIOPIC SYLLABLE CAA
U+127C	# ETHIOPIC SYLLABLE CEE
U+127D	# ETHIOPIC SYLLABLE CE
U+127E	# ETHIOPIC SYLLABLE CO
U+127F	# ETHIOPIC SYLLABLE CWA
U+1280	# ETHIOPIC SYLLABLE XA
U+1281	# ETHIOPIC SYLLABLE XU
U+1282	# ETHIOPIC SYLLABLE XI
U+1283	# ETHIOPIC SYLLABLE XAA
U+1284	# ETHIOPIC SYLLABLE XEE
U+1285	# ETHIOPIC SYLLABLE XE
