###############################################################
#
# TLD:            NET
# Script:         Cuneiform
# Version Number: 1.2
# Effective Date: October 25th, 2014
# Registry:       Verisign, Inc.
# Address:        12061 Bluemont Way, Reston VA 20190, USA
# Telephone:      +1 (703) 925-6999
# Email:          info@verisign-grs.com
# URL:            http://www.verisigninc.com
#
###############################################################


###############################################################
#
# Codepoints allowed from the Cuneiform script.
#
###############################################################
U+12000	# CUNEIFORM SIGN A
U+12001	# CUNEIFORM SIGN A TIMES A
U+12002	# CUNEIFORM SIGN A TIMES BAD
U+12003	# CUNEIFORM SIGN A TIMES GAN2 TENU
U+12004	# CUNEIFORM SIGN A TIMES HA
U+12005	# CUNEIFORM SIGN A TIMES IGI
U+12006	# CUNEIFORM SIGN A TIMES LAGAR GUNU
U+12007	# CUNEIFORM SIGN A TIMES MUSH
U+12008	# CUNEIFORM SIGN A TIMES SAG
U+12009	# CUNEIFORM SIGN A2
U+1200A	# CUNEIFORM SIGN AB
U+1200B	# CUNEIFORM SIGN AB TIMES ASH2
U+1200C	# CUNEIFORM SIGN AB TIMES DUN3 GUNU
U+1200D	# CUNEIFORM SIGN AB TIMES GAL
U+1200E	# CUNEIFORM SIGN AB TIMES GAN2 TENU
U+1200F	# CUNEIFORM SIGN AB TIMES HA
U+12010	# CUNEIFORM SIGN AB TIMES IGI GUNU
U+12011	# CUNEIFORM SIGN AB TIMES IMIN
U+12012	# CUNEIFORM SIGN AB TIMES LAGAB
U+12013	# CUNEIFORM SIGN AB TIMES SHESH
U+12014	# CUNEIFORM SIGN AB TIMES U PLUS U PLUS U
U+12015	# CUNEIFORM SIGN AB GUNU
U+12016	# CUNEIFORM SIGN AB2
U+12017	# CUNEIFORM SIGN AB2 TIMES BALAG
U+12018	# CUNEIFORM SIGN AB2 TIMES GAN2 TENU
U+12019	# CUNEIFORM SIGN AB2 TIMES ME PLUS EN
U+1201A	# CUNEIFORM SIGN AB2 TIMES SHA3
U+1201B	# CUNEIFORM SIGN AB2 TIMES TAK4
U+1201C	# CUNEIFORM SIGN AD
U+1201D	# CUNEIFORM SIGN AK
U+1201E	# CUNEIFORM SIGN AK TIMES ERIN2
U+1201F	# CUNEIFORM SIGN AK TIMES SHITA PLUS GISH
U+12020	# CUNEIFORM SIGN AL
U+12021	# CUNEIFORM SIGN AL TIMES AL
U+12022	# CUNEIFORM SIGN AL TIMES DIM2
U+12023	# CUNEIFORM SIGN AL TIMES GISH
U+12024	# CUNEIFORM SIGN AL TIMES HA
U+12025	# CUNEIFORM SIGN AL TIMES KAD3
U+12026	# CUNEIFORM SIGN AL TIMES KI
U+12027	# CUNEIFORM SIGN AL TIMES SHE
U+12028	# CUNEIFORM SIGN AL TIMES USH
U+12029	# CUNEIFORM SIGN ALAN
U+1202A	# CUNEIFORM SIGN ALEPH
U+1202B	# CUNEIFORM SIGN AMAR
U+1202C	# CUNEIFORM SIGN AMAR TIMES SHE
U+1202D	# CUNEIFORM SIGN AN
U+1202E	# CUNEIFORM SIGN AN OVER AN
U+1202F	# CUNEIFORM SIGN AN THREE TIMES
U+12030	# CUNEIFORM SIGN AN PLUS NAGA OPPOSING AN PLUS NAGA
U+12031	# CUNEIFORM SIGN AN PLUS NAGA SQUARED
U+12032	# CUNEIFORM SIGN ANSHE
U+12033	# CUNEIFORM SIGN APIN
U+12034	# CUNEIFORM SIGN ARAD
U+12035	# CUNEIFORM SIGN ARAD TIMES KUR
U+12036	# CUNEIFORM SIGN ARKAB
U+12037	# CUNEIFORM SIGN ASAL2
U+12038	# CUNEIFORM SIGN ASH
U+12039	# CUNEIFORM SIGN ASH ZIDA TENU
U+1203A	# CUNEIFORM SIGN ASH KABA TENU
U+1203B	# CUNEIFORM SIGN ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP
U+1203C	# CUNEIFORM SIGN ASH OVER ASH OVER ASH
U+1203D	# CUNEIFORM SIGN ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH
U+1203E	# CUNEIFORM SIGN ASH2
U+1203F	# CUNEIFORM SIGN ASHGAB
U+12040	# CUNEIFORM SIGN BA
U+12041	# CUNEIFORM SIGN BAD
U+12042	# CUNEIFORM SIGN BAG3
