IDN Table for the Japanese Language

TLD: .sap

Language Tag: ja

Language Description: Japanese

Version: 1.0

Effective Date: 2012-03-29

Registry: SAP AG

The .sap Japanese Language IDN implementation provides a feature that mitigates homographic attacks by blocking a name from being registered if a similar name is already registered. For every registered Japanese language IDN, a canonical string will be computed and stored in the SRS database. The canonical string is produced by mapping every character in the IDN U-label to the corresponding canonical character as specified in the character table below. Once a Japanese language IDN is registered, other domain names that map to the same canonical string will be unavailable for registration.

The table below lists the characters allowed in the Unicode representation of IDNs associated with the Japanese language. The second column shows the canonical code point corresponding to the first column. Columns are delimited by semicolons. The "#" symbol denotes the start of a comment that continues to the end of line.

The table presented here is in compliance with the ICANN Guidelines for the Implementation of Internationalized Domain Names Version 3.0 and is intended for publication in the IANA Repository of TLD IDN Practices, for the information of prospective holders of domains in .sap and for the users of resources within those domains. To avoid user confusion due to differing practices across TLD registries, SAP AG is using this IDN table currently in use for the already existing TLD .tel, courtesy of Telnic Limited.


1. Pattern Syntax

The following character properties will be used in the patterns.

* {1} denotes the ASCII digits Zero - Nine (i.e., U+0030..U+0039)
* {A} denotes the ASCII characters A - Z (i.e., U+0061..U+007A)
* HYPHEN denotes the hyphen character (U+002D)
* {LDH} denotes the letter, digit, hyphen characters, i.e. {1}{A}{HYPHEN}
* CM denotes the ideographic closing mark (U+3006)
* PSM denotes the Katakana-Hiragana prolonged sound mark (U+30FC)
* {Ex} denotes the exception characters U+3005, U+3006, U+3007
* {Hir} denotes the Hiragana characters, i.e., U+3041..U+309E
* {Kat} denotes the Katakan characters, i.e., U+30A1..U+30FE
* {Han} denotes the Han characters or CJK unified ideographs, i.e., U+4E00..U+9FA0

In particular, the set of all allowed code points is partitioned into the sets {LDH}, {Ex}, {Hir}, {Kat}, and {Han}.

Apart from the character properties necessary for the Japanese characters, the used pattern syntax is defined by the following syntax elements which are based on the regular expression syntax.

* . denotes any character
* ^ denotes the beginning of the label
* $ denotes the end of the label
* | denotes an alternative
* (...) groups a subpattern
* an asterisk (*) denotes any number of occurrences, including zero
* U+XXXX denotes the Unicode character with the hexadecimal code point XXXX


2. Rules Describing Invalid Labels

If any of the following rules is matched, the respective domain label is rejected and may not be registered.

Comment:      ideographic closing mark requires at least one Han, Katakana or Hiragana code point
Look-behind:  ^ ({LDH}|{Ex})*
Pattern:      CM
Look-ahead:   ({LDH}|{Ex})* $
Action:       reject

Comment:      Katakana-Hiragana prolonged sound mark requires at least one Katakana or Hiragana code point
Look-behind:  ^ ({LDH}|{Ex}|{Han})*
Pattern:      PSM
Look-ahead:   ({LDH}|{Ex}|{Han})* $
Action:       reject


3. Character table

U+002D;U+002D # HYPHEN-MINUS
U+0030;U+0030 # DIGIT ZERO
U+0031;U+0031 # DIGIT ONE
U+0032;U+0032 # DIGIT TWO
U+0033;U+0033 # DIGIT THREE
U+0034;U+0034 # DIGIT FOUR
U+0035;U+0035 # DIGIT FIVE
U+0036;U+0036 # DIGIT SIX
U+0037;U+0037 # DIGIT SEVEN
U+0038;U+0038 # DIGIT EIGHT
U+0039;U+0039 # DIGIT NINE
U+0061;U+0061 # LATIN SMALL LETTER A
U+0062;U+0062 # LATIN SMALL LETTER B
U+0063;U+0063 # LATIN SMALL LETTER C
U+0064;U+0064 # LATIN SMALL LETTER D
U+0065;U+0065 # LATIN SMALL LETTER E
U+0066;U+0066 # LATIN SMALL LETTER F
U+0067;U+0067 # LATIN SMALL LETTER G
U+0068;U+0068 # LATIN SMALL LETTER H
U+0069;U+0069 # LATIN SMALL LETTER I
U+006A;U+006A # LATIN SMALL LETTER J
U+006B;U+006B # LATIN SMALL LETTER K
U+006C;U+006C # LATIN SMALL LETTER L
U+006D;U+006D # LATIN SMALL LETTER M
U+006E;U+006E # LATIN SMALL LETTER N
U+006F;U+006F # LATIN SMALL LETTER O
U+0070;U+0070 # LATIN SMALL LETTER P
U+0071;U+0071 # LATIN SMALL LETTER Q
U+0072;U+0072 # LATIN SMALL LETTER R
U+0073;U+0073 # LATIN SMALL LETTER S
U+0074;U+0074 # LATIN SMALL LETTER T
U+0075;U+0075 # LATIN SMALL LETTER U
U+0076;U+0076 # LATIN SMALL LETTER V
U+0077;U+0077 # LATIN SMALL LETTER W
U+0078;U+0078 # LATIN SMALL LETTER X
U+0079;U+0079 # LATIN SMALL LETTER Y
U+007A;U+007A # LATIN SMALL LETTER Z
U+3005;U+3005 # IDEOGRAPHIC ITERATION MARK
U+3006;U+3006 # IDEOGRAPHIC CLOSING MARK
U+3007;U+0030 # IDEOGRAPHIC NUMBER ZERO
U+3041;U+3041 # HIRAGANA LETTER SMALL A
U+3042;U+3042 # HIRAGANA LETTER A
U+3043;U+3043 # HIRAGANA LETTER SMALL I
U+3044;U+3044 # HIRAGANA LETTER I
U+3045;U+3045 # HIRAGANA LETTER SMALL U
U+3046;U+3046 # HIRAGANA LETTER U
U+3047;U+3047 # HIRAGANA LETTER SMALL E
U+3048;U+3048 # HIRAGANA LETTER E
U+3049;U+3049 # HIRAGANA LETTER SMALL O
U+304A;U+304A # HIRAGANA LETTER O
U+304B;U+304B # HIRAGANA LETTER KA
U+304C;U+304C # HIRAGANA LETTER GA
U+304D;U+304D # HIRAGANA LETTER KI
U+304E;U+304E # HIRAGANA LETTER GI
U+304F;U+304F # HIRAGANA LETTER KU
