
IDN Table for the Korean Language

TLD: .sap

Language Tag: ko

Language Description: Korean

Version: 1.0

Effective Date: 2012-03-29

Registry: SAP AG

The table below lists the characters allowed in the Unicode representation of IDNs associated with the Korean language. The "#" symbol denotes start of a comment that continues to the end of line.

The table presented here is in compliance with the ICANN Guidelines for the Implementation of Internationalized Domain Names Version 3.0 and is intended for publication in the IANA Repository of TLD IDN Practices, for the information of prospective holders of domains in .sap and for the users of resources within those domains. To avoid user confusion due to differing practices across TLD registries, SAP AG is using this IDN table currently in use for the already existing TLD .tel, courtesy of Telnic Limited.

U+002D # HYPHEN-MINUS
U+0030 # DIGIT ZERO
U+0031 # DIGIT ONE
U+0032 # DIGIT TWO
U+0033 # DIGIT THREE
U+0034 # DIGIT FOUR
U+0035 # DIGIT FIVE
U+0036 # DIGIT SIX
U+0037 # DIGIT SEVEN
U+0038 # DIGIT EIGHT
U+0039 # DIGIT NINE
U+0061 # LATIN SMALL LETTER A
U+0062 # LATIN SMALL LETTER B
U+0063 # LATIN SMALL LETTER C
U+0064 # LATIN SMALL LETTER D
U+0065 # LATIN SMALL LETTER E
U+0066 # LATIN SMALL LETTER F
U+0067 # LATIN SMALL LETTER G
U+0068 # LATIN SMALL LETTER H
U+0069 # LATIN SMALL LETTER I
U+006A # LATIN SMALL LETTER J
U+006B # LATIN SMALL LETTER K
U+006C # LATIN SMALL LETTER L
U+006D # LATIN SMALL LETTER M
U+006E # LATIN SMALL LETTER N
U+006F # LATIN SMALL LETTER O
U+0070 # LATIN SMALL LETTER P
U+0071 # LATIN SMALL LETTER Q
U+0072 # LATIN SMALL LETTER R
U+0073 # LATIN SMALL LETTER S
U+0074 # LATIN SMALL LETTER T
U+0075 # LATIN SMALL LETTER U
U+0076 # LATIN SMALL LETTER V
U+0077 # LATIN SMALL LETTER W
U+0078 # LATIN SMALL LETTER X
U+0079 # LATIN SMALL LETTER Y
U+007A # LATIN SMALL LETTER Z
U+AC00 # HANGUL SYLLABLE GA
U+AC01 # HANGUL SYLLABLE GAG
U+AC04 # HANGUL SYLLABLE GAN
U+AC07 # HANGUL SYLLABLE GAD
U+AC08 # HANGUL SYLLABLE GAL
U+AC09 # HANGUL SYLLABLE GALG
U+AC0A # HANGUL SYLLABLE GALM
U+AC10 # HANGUL SYLLABLE GAM
U+AC11 # HANGUL SYLLABLE GAB
U+AC12 # HANGUL SYLLABLE GABS
U+AC13 # HANGUL SYLLABLE GAS
U+AC14 # HANGUL SYLLABLE GASS
U+AC15 # HANGUL SYLLABLE GANG
U+AC16 # HANGUL SYLLABLE GAJ
U+AC17 # HANGUL SYLLABLE GAC
U+AC19 # HANGUL SYLLABLE GAT
U+AC1A # HANGUL SYLLABLE GAP
U+AC1B # HANGUL SYLLABLE GAH
U+AC1C # HANGUL SYLLABLE GAE
U+AC1D # HANGUL SYLLABLE GAEG
U+AC20 # HANGUL SYLLABLE GAEN
U+AC24 # HANGUL SYLLABLE GAEL
U+AC2C # HANGUL SYLLABLE GAEM
U+AC2D # HANGUL SYLLABLE GAEB
U+AC2F # HANGUL SYLLABLE GAES
U+AC30 # HANGUL SYLLABLE GAESS
U+AC31 # HANGUL SYLLABLE GAENG
U+AC38 # HANGUL SYLLABLE GYA
U+AC39 # HANGUL SYLLABLE GYAG
U+AC3C # HANGUL SYLLABLE GYAN
U+AC40 # HANGUL SYLLABLE GYAL
U+AC4B # HANGUL SYLLABLE GYAS
U+AC4D # HANGUL SYLLABLE GYANG
U+AC54 # HANGUL SYLLABLE GYAE
U+AC58 # HANGUL SYLLABLE GYAEN
U+AC5C # HANGUL SYLLABLE GYAEL
U+AC70 # HANGUL SYLLABLE GEO
U+AC71 # HANGUL SYLLABLE GEOG
U+AC74 # HANGUL SYLLABLE GEON
U+AC77 # HANGUL SYLLABLE GEOD
U+AC78 # HANGUL SYLLABLE GEOL
U+AC7A # HANGUL SYLLABLE GEOLM
U+AC80 # HANGUL SYLLABLE GEOM
U+AC81 # HANGUL SYLLABLE GEOB
U+AC83 # HANGUL SYLLABLE GEOS
U+AC84 # HANGUL SYLLABLE GEOSS
U+AC85 # HANGUL SYLLABLE GEONG
U+AC86 # HANGUL SYLLABLE GEOJ
U+AC89 # HANGUL SYLLABLE GEOT
U+AC8A # HANGUL SYLLABLE GEOP
U+AC8B # HANGUL SYLLABLE GEOH
U+AC8C # HANGUL SYLLABLE GE
U+AC90 # HANGUL SYLLABLE GEN
U+AC94 # HANGUL SYLLABLE GEL
U+AC9C # HANGUL SYLLABLE GEM
U+AC9D # HANGUL SYLLABLE GEB
U+AC9F # HANGUL SYLLABLE GES
U+ACA0 # HANGUL SYLLABLE GESS
U+ACA1 # HANGUL SYLLABLE GENG
U+ACA8 # HANGUL SYLLABLE GYEO
U+ACA9 # HANGUL SYLLABLE GYEOG
U+ACAA # HANGUL SYLLABLE GYEOGG
U+ACAC # HANGUL SYLLABLE GYEON
U+ACAF # HANGUL SYLLABLE GYEOD
U+ACB0 # HANGUL SYLLABLE GYEOL
U+ACB8 # HANGUL SYLLABLE GYEOM
U+ACB9 # HANGUL SYLLABLE GYEOB
U+ACBB # HANGUL SYLLABLE GYEOS
U+ACBC # HANGUL SYLLABLE GYEOSS
U+ACBD # HANGUL SYLLABLE GYEONG
U+ACC1 # HANGUL SYLLABLE GYEOT
U+ACC4 # HANGUL SYLLABLE GYE
U+ACC8 # HANGUL SYLLABLE GYEN
U+ACCC # HANGUL SYLLABLE GYEL
U+ACD5 # HANGUL SYLLABLE GYEB
U+ACD7 # HANGUL SYLLABLE GYES
U+ACE0 # HANGUL SYLLABLE GO
U+ACE1 # HANGUL SYLLABLE GOG
U+ACE4 # HANGUL SYLLABLE GON
U+ACE7 # HANGUL SYLLABLE GOD
U+ACE8 # HANGUL SYLLABLE GOL
U+ACEA # HANGUL SYLLABLE GOLM
U+ACEC # HANGUL SYLLABLE GOLS
U+ACEF # HANGUL SYLLABLE GOLH
U+ACF0 # HANGUL SYLLABLE GOM
U+ACF1 # HANGUL SYLLABLE GOB
U+ACF3 # HANGUL SYLLABLE GOS
U+ACF5 # HANGUL SYLLABLE GONG
U+ACF6 # HANGUL SYLLABLE GOJ
U+ACFC # HANGUL SYLLABLE GWA
U+ACFD # HANGUL SYLLABLE GWAG
U+AD00 # HANGUL SYLLABLE GWAN
U+AD04 # HANGUL SYLLABLE GWAL
U+AD06 # HANGUL SYLLABLE GWALM
U+AD0C # HANGUL SYLLABLE GWAM
U+AD0D # HANGUL SYLLABLE GWAB
U+AD0F # HANGUL SYLLABLE GWAS
U+AD11 # HANGUL SYLLABLE GWANG
U+AD18 # HANGUL SYLLABLE GWAE
U+AD1C # HANGUL SYLLABLE GWAEN
U+AD20 # HANGUL SYLLABLE GWAEL
U+AD29 # HANGUL SYLLABLE GWAEB
U+AD2C # HANGUL SYLLABLE GWAESS
U+AD2D # HANGUL SYLLABLE GWAENG
U+AD34 # HANGUL SYLLABLE GOE
U+AD35 # HANGUL SYLLABLE GOEG
U+AD38 # HANGUL SYLLABLE GOEN
U+AD3C # HANGUL SYLLABLE GOEL
U+AD44 # HANGUL SYLLABLE GOEM
U+AD45 # HANGUL SYLLABLE GOEB
U+AD47 # HANGUL SYLLABLE GOES
U+AD49 # HANGUL SYLLABLE GOENG
U+AD50 # HANGUL SYLLABLE GYO
U+AD54 # HANGUL SYLLABLE GYON
U+AD58 # HANGUL SYLLABLE GYOL
U+AD61 # HANGUL SYLLABLE GYOB
U+AD63 # HANGUL SYLLABLE GYOS
U+AD6C # HANGUL SYLLABLE GU
U+AD6D # HANGUL SYLLABLE GUG
U+AD70 # HANGUL SYLLABLE GUN
U+AD73 # HANGUL SYLLABLE GUD
U+AD74 # HANGUL SYLLABLE GUL
U+AD75 # HANGUL SYLLABLE GULG
U+AD76 # HANGUL SYLLABLE GULM
U+AD7B # HANGUL SYLLABLE GULH
U+AD7C # HANGUL SYLLABLE GUM
U+AD7D # HANGUL SYLLABLE GUB
U+AD7F # HANGUL SYLLABLE GUS
U+AD81 # HANGUL SYLLABLE GUNG
U+AD82 # HANGUL SYLLABLE GUJ
U+AD88 # HANGUL SYLLABLE GWEO
U+AD89 # HANGUL SYLLABLE GWEOG
U+AD8C # HANGUL SYLLABLE GWEON
U+AD90 # HANGUL SYLLABLE GWEOL
U+AD9C # HANGUL SYLLABLE GWEOSS
U+AD9D # HANGUL SYLLABLE GWEONG
