
IDN Table for the Chinese Language

TLD: .sap

Language Tag: zh

Language Description: Chinese

Version: 1.0

Effective Date: 2012-02-21

Registry: SAP AG

The .sap Chinese Language IDN implementation provides a feature that mitigates homographic attacks by blocking a name from being registered if a similar name is already registered. For every registered Chinese language IDN, a canonical string will be computed and stored in the SRS database. The canonical string is produced by mapping every character in the IDN U-label to the corresponding canonical character as specified in the character table below. Once a Chinese language IDN is registered, other domain names that map to the same canonical string will be unavailable for registration.

Many Chinese characters have a simplified form which is generally regarded as having the same meaning as its traditional counterpart. The Chinese-speaking communities recommend that these variants may be bundled at registration time in order to reduce user confusion.

Therefore, in addition to the blocking mechanism, it is possible to register up to 10 additional variant domain names.

The primary domain name together with the requested variants constitutes a bundle on which all operations are atomic. For example, if the registrant adds a name server to the primary domain name, all names in the bundle will be associated with that new name server.

The table below lists the characters allowed in the Unicode representation of IDNs associated with the Chinese language. The second column shows the canonical code point corresponding to the first column. The third column lists the other variants that also map to the same canonical character in the second column. Columns are delimited by semicolons. The "#" symbol denotes the start of a comment that continues to the end of line.

The table presented here is in compliance with the ICANN Guidelines for the Implementation of Internationalized Domain Names Version 3.0 and is intended for publication in the IANA Repository of TLD IDN Practices, for the information of prospective holders of domains in .sap and for the users of resources within those domains. To avoid user confusion due to differing practices across TLD registries, SAP AG is using this IDN table currently in use for the already existing TLD .tel, courtesy of Telnic Limited.

U+002D;U+002D # HYPHEN-MINUS
U+0030;U+0030 # DIGIT ZERO
U+0031;U+0031 # DIGIT ONE
U+0032;U+0032 # DIGIT TWO
U+0033;U+0033 # DIGIT THREE
U+0034;U+0034 # DIGIT FOUR
U+0035;U+0035 # DIGIT FIVE
U+0036;U+0036 # DIGIT SIX
U+0037;U+0037 # DIGIT SEVEN
U+0038;U+0038 # DIGIT EIGHT
U+0039;U+0039 # DIGIT NINE
U+0061;U+0061 # LATIN SMALL LETTER A
U+0062;U+0062 # LATIN SMALL LETTER B
U+0063;U+0063 # LATIN SMALL LETTER C
U+0064;U+0064 # LATIN SMALL LETTER D
U+0065;U+0065 # LATIN SMALL LETTER E
U+0066;U+0066 # LATIN SMALL LETTER F
U+0067;U+0067 # LATIN SMALL LETTER G
U+0068;U+0068 # LATIN SMALL LETTER H
U+0069;U+0069 # LATIN SMALL LETTER I
U+006A;U+006A # LATIN SMALL LETTER J
U+006B;U+006B # LATIN SMALL LETTER K
U+006C;U+006C # LATIN SMALL LETTER L
U+006D;U+006D # LATIN SMALL LETTER M
U+006E;U+006E # LATIN SMALL LETTER N
U+006F;U+006F # LATIN SMALL LETTER O
U+0070;U+0070 # LATIN SMALL LETTER P
U+0071;U+0071 # LATIN SMALL LETTER Q
U+0072;U+0072 # LATIN SMALL LETTER R
U+0073;U+0073 # LATIN SMALL LETTER S
U+0074;U+0074 # LATIN SMALL LETTER T
U+0075;U+0075 # LATIN SMALL LETTER U
U+0076;U+0076 # LATIN SMALL LETTER V
U+0077;U+0077 # LATIN SMALL LETTER W
U+0078;U+0078 # LATIN SMALL LETTER X
U+0079;U+0079 # LATIN SMALL LETTER Y
U+007A;U+007A # LATIN SMALL LETTER Z
U+3447;U+3447;U+3473 # CJK UNIFIED IDEOGRAPH-3447
U+3473;U+3447;U+3447 # CJK UNIFIED IDEOGRAPH-3473
U+359E;U+359E;U+558E # CJK UNIFIED IDEOGRAPH-359E
U+360E;U+360E;U+361A # CJK UNIFIED IDEOGRAPH-360E
U+361A;U+360E;U+360E # CJK UNIFIED IDEOGRAPH-361A
U+3918;U+3918;U+396E # CJK UNIFIED IDEOGRAPH-3918
U+396E;U+3918;U+3918 # CJK UNIFIED IDEOGRAPH-396E
U+39CF;U+39CF;U+6386 # CJK UNIFIED IDEOGRAPH-39CF
U+39D0;U+39D0;U+3A73 # CJK UNIFIED IDEOGRAPH-39D0
U+39DF;U+39DF;U+64D3 # CJK UNIFIED IDEOGRAPH-39DF
U+3A73;U+39D0;U+39D0 # CJK UNIFIED IDEOGRAPH-3A73
U+3B4E;U+3B4E;U+68E1 # CJK UNIFIED IDEOGRAPH-3B4E
U+3C6E;U+3C6E;U+6BA8 # CJK UNIFIED IDEOGRAPH-3C6E
U+3CE0;U+3CE0;U+6FBE # CJK UNIFIED IDEOGRAPH-3CE0
U+4056;U+4056;U+779C # CJK UNIFIED IDEOGRAPH-4056
U+415F;U+415F;U+7A47 # CJK UNIFIED IDEOGRAPH-415F
U+4337;U+4337;U+7D2C,U+7EF8,U+7DA2 # CJK UNIFIED IDEOGRAPH-4337
U+43AC;U+43AC;U+43B1 # CJK UNIFIED IDEOGRAPH-43AC
U+43B1;U+43AC;U+43AC # CJK UNIFIED IDEOGRAPH-43B1
U+43DD;U+43DD;U+819E # CJK UNIFIED IDEOGRAPH-43DD
U+44D6;U+44D6;U+85ED # CJK UNIFIED IDEOGRAPH-44D6
U+464C;U+464C;U+4661 # CJK UNIFIED IDEOGRAPH-464C
U+4661;U+464C;U+464C # CJK UNIFIED IDEOGRAPH-4661
U+4723;U+4723;U+8A22 # CJK UNIFIED IDEOGRAPH-4723
U+4729;U+4729;U+8B8C # CJK UNIFIED IDEOGRAPH-4729
U+477C;U+478D;U+478D # CJK UNIFIED IDEOGRAPH-477C
U+478D;U+478D;U+477C # CJK UNIFIED IDEOGRAPH-478D
U+4947;U+4982;U+4982 # CJK UNIFIED IDEOGRAPH-4947
U+497A;U+497A;U+91FE # CJK UNIFIED IDEOGRAPH-497A
U+497D;U+497D;U+93FA # CJK UNIFIED IDEOGRAPH-497D
U+4982;U+4982;U+4947 # CJK UNIFIED IDEOGRAPH-4982
U+4983;U+4983;U+942F # CJK UNIFIED IDEOGRAPH-4983
U+4985;U+4985;U+9425 # CJK UNIFIED IDEOGRAPH-4985
U+4986;U+4986;U+9481 # CJK UNIFIED IDEOGRAPH-4986
U+499B;U+49B6;U+49B6 # CJK UNIFIED IDEOGRAPH-499B
U+499F;U+49B7;U+49B7 # CJK UNIFIED IDEOGRAPH-499F
U+49B6;U+49B6;U+499B # CJK UNIFIED IDEOGRAPH-49B6
U+49B7;U+49B7;U+499F # CJK UNIFIED IDEOGRAPH-49B7
U+4C77;U+4CA3;U+4CA3 # CJK UNIFIED IDEOGRAPH-4C77
