Id,School name,Address,URL,Search parameters (name+address),Custom ID,
1,RICHLAND TWO CHARTER HIGH,"750 OLD CLEMSON RD, COLUMBIA, SC",https://www.richland2.org/charterhigh/,"RICHLAND TWO CHARTER HIGH 750 OLD CLEMSON RD, COLUMBIA, SC",SC600,
2,POLK STATE COLLEGE COLLEGIATE HIGH SCHOOL,"3425 WINTER LK RD LAC1200, WINTER HAVEN, FL",https://www.polk.edu/lakeland-gateway-to-college-high-school/,"POLK STATE COLLEGE COLLEGIATE HIGH SCHOOL 3425 WINTER LK RD LAC1200, WINTER HAVEN, FL",FL8131,
3,RIVER CITY SCHOLARS CHARTER ACADEMY,"944 EVERGREEN ST, GRAND RAPIDS, MI",https://www.nhaschools.com/schools/rivercity/Pages/default.aspx,"RIVER CITY SCHOLARS CHARTER ACADEMY 944 EVERGREEN ST, GRAND RAPIDS, MI",MI1395,
4,DETROIT ENTERPRISE ACADEMY,"11224 KERCHEVAL ST, DETROIT, MI",https://www.nhaschools.com/schools/detroitenterprise,"DETROIT ENTERPRISE ACADEMY 11224 KERCHEVAL ST, DETROIT, MI",MI9462,
5,LIGHTHOUSE COMMUNITY SCH INC,"6100 DESMOND ST, CINCINNATI, OH",https://www.lys.org/services/lighthouse-community-school/,"LIGHTHOUSE COMMUNITY SCH INC 6100 DESMOND ST, CINCINNATI, OH",OH133389,
6,WESTLAKE CHARTER MIDDLE,"1985 PEBBLEWOOD DR, SACRAMENTO, CA",https://westlakecharter.com,"WESTLAKE CHARTER MIDDLE 1985 PEBBLEWOOD DR, SACRAMENTO, CA",CA124594,
7,VAN GOGH CHARTER,"17160 VAN GOGH ST, GRANADA HILLS, CA",https://vangoghcs-lausd-ca.schoolloop.com/,"VAN GOGH CHARTER 17160 VAN GOGH ST, GRANADA HILLS, CA",CA6019673,
8,SUMMIT ACADEMY TRANSITION HIGH SCHOOL DAYTON,"1407 EAST 3RD ST, DAYTON, OH",https://summitacademies.org/schools/dayton-high/,"SUMMIT ACADEMY TRANSITION HIGH SCHOOL DAYTON 1407 EAST 3RD ST, DAYTON, OH",OH621,
9,WESTCHESTER ACADEMY FOR INTERNATIONAL STUDIES,"901 YORKCHESTER, HOUSTON, TX",https://cms.springbranchisd.com/wais/,"WESTCHESTER ACADEMY FOR INTERNATIONAL STUDIES 901 YORKCHESTER, HOUSTON, TX",TX101920014,
10,CITY ACADEMY,"958 JESSIE ST, SAINT PAUL, MN",https://cityacademy.org/,"CITY ACADEMY 958 JESSIE ST, SAINT PAUL, MN",MN74000010,
