SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
Albertville Middle School,"600 E Alabama Ave, Albertville, AL 35950",10000500870,https://ams.albertk12.org/apps/contact/,1
Albertville High School,"402 E McCord Ave, Albertville, AL 35950",10000500871,https://ahs.albertk12.org/,5
Albertville Primary School,"1100 Horton Road, Albertville, AL 35950",10000502150,https://aps.albertk12.org/,1
Asbury High School,"1990 Asbury Rd, Albertville, AL 35951",10000600872,http://asburyhigh.marshallk12.org/,1
Claysville School,"140 Claysville School Rd, Guntersville, AL 35976",10000600876,http://claysville.marshallk12.org/,1
Douglas High School,"225 Eagle Drive, Douglas, AL 35964",10000600878,http://douglashigh.marshallk12.org/,1
Brindlee Mountain Elementary School,"2233 Shoal Creek Rd, Arab, AL 35016",10000600880,http://bmes.marshallk12.org/,1
Brindlee Mountain Primary School,"3685 Union Grove Rd, Union Grove, AL 35175",10000600887,http://bmps.marshallk12.org/staff,1
Marshall Technical School,"12312 US Highway 431 S, Guntersville, AL 35976",10000600987,http://mts.marshallk12.org/,1
Brindlee Mountain High School,"994 Scant City Road, Guntersville, AL 35976",10000601585,http://brindleemountainhigh.marshallk12.org/,1
Douglas Middle School,"Highway 75, Douglas, AL 35964",10000601812,http://douglasmiddle.marshallk12.org/our_school,1
Asbury Elementary School,"1966 Asbury Road, Albertville, AL 35951",10000602209,http://aes.marshallk12.org/our_school,1
Horizon Elementary School,"7855 Old Madison Pike, Madison, AL 35758",10000800303,https://www.madisoncity.k12.al.us/horizon,1
Discovery Middle School,"1304 Hughes Rd, Madison, AL 35758",10000800495,https://www.madisoncity.k12.al.us/discovery,1
Bob Jones High School,"650 Hughes Rd, Madison, AL 35758",10000800831,https://www.madisoncity.k12.al.us/bjhs,1
Madison Elementary School,"17 College St, Madison, AL 35758",10000800839,https://www.madisoncity.k12.al.us/Madison,1
Heritage Elementary School,"11775 County Line Rd, Madison, AL 35758",10000801423,https://www.madisoncity.k12.al.us/heritage,1
Rainbow Elementary School,"50 Nance Rd, Madison, AL 35758",10000801485,https://www.madisoncity.k12.al.us/domain/268,1
Liberty Middle School,"281 Dock Murphy Dr, Madison, AL 35758",10000801798,https://www.madisoncity.k12.al.us/liberty,1
Columbia Elementary School,"667 Balch Road, Madison, AL 35758",10000802097,https://www.madisoncity.k12.al.us/columbia,1
Mill Creek Elementary School,"847 Mill Road, Madison, AL 35758",10000802133,https://www.madisoncity.k12.al.us/millcreek,1
James Clemens High School,"11306 County Line Road, Madison, AL 35756",10000802198,https://www.madisoncity.k12.al.us/jchs,1
Leeds High School,"1500 Greenwave Drive, Leeds, AL 35094",10001102096,https://en.wikipedia.org/wiki/Leeds_High_School,1
Leeds Primary School,"991 Park Drive, Leeds, AL 35094",10001102430,https://www.leedsk12.org/Domain/8,2
Boaz Middle School,"140 Newt Parker Dr, Boaz, AL 35957",10001200123,https://www.boazk12.org/Domain/11,1
Boaz High School,"907 Brown St, Boaz, AL 35957",10001200874,https://www.boazk12.org/bhs,1
Corley Elementary School,"505 Mount Vernon Rd, Boaz, AL 35957",10001200884,https://www.boazk12.org/ces,1
Boaz Intermediate School,"11 Newt Parker Drive, Boaz, AL 35957",10001201630,https://www.boazk12.org/bis,1
Boaz Elementary School,"362 Collier St, Boaz, AL 35957",10001201781,https://www.boazk12.org/bes,1
Paine Elementary School,"7600 Gadsden Highway, Trussville, AL 35173",10001301498,https://www.trussvillecityschools.com/paine,1
Magnolia Elementary School,"5400 Hidden Way Lane, Trussville, AL 35173",10001302401,https://www.trussvillecityschools.com/magnolia,1
Cahaba Elementary School,"301 Parkway Drive, Trussville, AL 35173",10001302402,https://www.trussvillecityschools.com/cahaba,1
Andalusia High School,"701 Third St, Andalusia, AL 36420",10006000007,https://highandalusiaal.schoolinsites.com/,1
Andalusia Junior High,"408 4th Avenue, Andalusia, AL 36420",10006000008,https://juniorandalusiaal.schoolinsites.com/,2
Anniston High School,"1301 Woodstock Ave, Anniston, AL 36207",10009000011,https://www.annistonschools.com/Domain/82,1
Golden Springs Elementary School,"100 Feary Dr, Anniston, AL 36207",10009000017,https://www.annistonschools.com/goldensprings,1
Randolph Park Elementary School,"2200 W 17th St, Anniston, AL 36201",10009000020,https://www.annistonschools.com/randolphpark,1
Anniston Middle School,"4800 McClellan Blvd, Anniston, AL 36206",10009001725,https://www.annistonschools.com/Domain/224,1
Arab Elementary School,"241 8th Ave NE, Arab, AL 35016",10010000022,https://www.arabcityschools.org/Domain/10,1
Arab Primary School,"121 Mimosa St NE, Arab, AL 35016",10010000025,https://www.arabcityschools.org/domain/640,1
Arab Junior High School,"911 Old Cullman Rd, Arab, AL 35016",10010000027,https://www.arabcityschools.org/Domain/9,1
Arab High School,"511 Arabian Dr NE, Arab, AL 35016",10010000028,https://www.arabcityschools.org/,3
Athens Intermediate School,"1916 Us Hwy 72 W, Athens, AL 35611",10012000522,https://www.acs-k12.org/Domain/12,1
Athens Elementary School,"515 N Madison St, Athens, AL 35611",10012001471,https://www.hisawyer.com/listings/schools/50190-athens-elementary-school,2
Athens High School,"100 Highway 31 N, Athens, AL 35611",10012001472,https://www.acs-k12.org/ahs,1
Athens Middle School,"601 S Clinton St, Athens, AL 35611",10012001473,https://www.acs-k12.org/Page/1637,1
Athens Renaissance School,"405 South Street East, Athens, AL 35611",10012002417,https://www.acs-k12.org/ars,1
Etowah High School,"201 Case Ave, Attalla, AL 35954",10018000033,https://www.attalla.k12.al.us/Domain/10,1
Etowah Middle School,"316Jones Street, Attalla, AL 35954",10018000034,https://www.attalla.k12.al.us/Domain/9,1
Attalla Elementary School,"300 Cullman Avenue, Attalla, AL 35954",10018000035,https://www.attalla.k12.al.us/Domain/8,1
Saraland Elementary School,"229 McKeough Ave, Saraland, AL 36571",10018500952,https://www.saralandboe.org/Domain/9,1
Saraland High School,"1115 Industrial Parkway, Saraland, AL 36571",10018502137,https://www.saralandboe.org/Domain/11,1
Saraland Early Education Center,"4000 Lil Spartan Drive, Saraland, AL 36571",10018502427,https://www.saralandboe.org/Domain/8,1
Satsuma High School,"1 Gator Circle, Satsuma, AL 36572",10018902195,https://www.satsumaschools.com/Domain/9,1
Robert E Lee Elementary,"251 Baker Rd, Satsuma, AL 36572",10018902196,https://www.satsumaschools.com/Domain/8,1
Thompson High School,"100 Warrior Dr, Alabaster, AL 35007",10019001183,https://www.acsboe.org/ths,1
Creek View Elementary School,"8568 Highway 17, Maylene, AL 35114",10019001815,https://www.acsboe.org/Domain/8,1
Pelham Oaks,"2200 Highway 33, Pelham, AL 35124",10019402395,https://poes.pelhamcityschools.org/about_us/contact_us,3
Pelham Ridge,"251 Applegate Parkway, Pelham, AL 35124",10019402396,https://www.pelhamcityschools.org/about_us/our_schools/pelham_ridge_elementary_school,1
Pelham Park Middle School,"2016 Pelham Park Boulevard, Pelham, AL 35124",10019402398,https://ppms.pelhamcityschools.org/,1
Pelham High School,"2500 Panther Cir, Pelham, AL 35124",10019402399,https://phs.pelhamcityschools.org/,1
Pike Road Elementary School,"500 Avenue of Learning, Pike Road, AL 36064",10019502407,https://elementary.pikeroadschools.org/,1
Auburn High School,"1701 E Samford Avenue, Auburn, AL 36830",10021000036,https://www.auburnschools.org/domain/322,2
Auburn Junior High School,"405 S Dean Rd, Auburn, AL 36830",10021000037,https://www.auburnschools.org/Page/1095,2
Cary Woods Elementary School,"715 Sanders St, Auburn, AL 36830",10021000039,https://www.auburnschools.org/cwes,1
Dean Road Elementary School,"335 S Dean Rd, Auburn, AL 36830",10021000040,https://www.auburnschools.org/dres,1
Drake Middle School,"655 Spencer Ave, Auburn, AL 36832",10021000041,https://www.auburnschools.org/domain/320,1
Wrights Mill Road Elementary School,"807 Wrights Mill Rd, Auburn, AL 36830",10021000042,https://www.auburnschools.org/wmres,1
Auburn Early Education Center,"721 E University Dr, Auburn, AL 36830",10021000053,https://www.auburnschools.org/aeec,1
Ogletree Elementary School,"737 Ogletree Rd, Auburn, AL 36830",10021001254,https://www.auburnschools.org/ogletree/,1
Pick Elementary School,"1320 N College St, Auburn, AL 36830",10021002363,https://www.auburnschools.org/domain/315,1
East Samford School,"332 E Samford Avenue, Auburn, AL 36830",10021002440,https://www.auburnschools.org/ess,1
Marbury High School,"2360 Highway 31 North, Deatsville, AL 36022",10024000046,https://www.marburyhighschool.org/contact,1
Prattville Elementary School,"134 Patrick St, Prattville, AL 36067",10024000047,https://www.pesbobcats.com/,1
Prattville High School,"1315 Upper Kingston Rd, Prattville, AL 36067",10024000048,https://www.gophslions.com/contact,1
Prattville Intermediate School,"1020 Honeysuckle Dr, Prattville, AL 36067",10024000050,https://pisautaugaal.schoolinsites.com/,1
Prattville Primary School,"216 Wetumpka St, Prattville, AL 36067",10024000051,https://www.prattvilleprimary.com/,1
Pine Level Elementary School,"2040 Highway 31 N, Deatsville, AL 36022",10024000543,https://www.pinelevelelem.com/,1
Daniel Pratt Elementary School,"420 Harvest Loop, Prattville, AL 36066",10024000546,https://www.dpeseagles.com/,1
Autauga County Technology Center,"1301 Upper Kingston Rd, Prattville, AL 36067",10024000590,https://www.autaugatech.com/,1
Autaugaville School,"2708 Dutch Bend St, Autaugaville, AL 36003",10024001408,https://www.autaugavilleschool.com/,1
Prattville Kindergarten School,"338 1st St, Prattville, AL 36067",10024001639,https://www.prattvillekindergarten.com/,1
Marbury Middle School,"210 County Road 20 East, Marbury, AL 36051",10024002159,https://www.marburymiddle.com/contact,1
Daphne Middle School,"One Jody Davis Cir, Daphne, AL 36526",10027000013,https://www.bcbe.org/dms,1
Gulf Shores Middle School,"450 E 15th Ave, Gulf Shores, AL 36542",10027000023,https://www.gsboe.org/gsms,1
Robertsdale High School,"21630 Highway 59 South, Robertsdale, AL 36567",10027000024,https://www.bcbe.org/rhs,5
W J Carroll Intermediate School,"1000 Main St, Daphne, AL 36526",10027000056,https://www.bcbe.org/carroll,1
Elberta High School,"13355main Street, Elberta, AL 36530",10027000057,https://www.bcbe.org/elbertahigh,1
Fairhope Middle School,"Two Pirate Drive, Fairhope, AL 36532",10027000059,https://www.bcbe.org/fms,1
Foley Middle School,"200 N Oak St, Foley, AL 36535",10027000060,https://www.bcbe.org/Domain/86,1
Rosinton School,"19757 County Road 64, Robertsdale, AL 36567",10027000065,https://www.bcbe.org/rosinton,1
Summerdale School,"400 E Broadway, Summerdale, AL 36580",10027000069,https://www.bcbe.org/summerdale,1
Central Baldwin Middle School,"24545 State Highway 59, Robertsdale, AL 36576",10027000162,https://www.bcbe.org/cbms,1
Orange Beach Elementary School,"4900 Wilson Blvd, Orange Beach, AL 36561",10027000549,https://www.bcbe.org/orangebeach,1
Rockwell Elementary School,"10183 US Highway 31, Spanish Fort, AL 36527",10027000550,https://www.bcbe.org/rockwell,1
Magnolia School,"1 Jaguar Loop, Foley, AL 36535",10027000648,https://www.bcbe.org/magnolia,1
North Baldwin Center For Technology,"505 Dr Martin Luther King Blvd, Bay Minette, AL 36507",10027000664,https://www.bcbe.org/nbct,1
South Baldwin Center For Technology,"19200 Carolina Street, Robertsdale, AL 36567",10027000665,https://www.bcbe.org/sbct,1
Gulf Shores Elementary School,"1600 East 3rd St, Gulf Shores, AL 36542",10027001477,https://www.gsboe.org/gses,1
Daphne Elementary School,"2307 Main St, Daphne, AL 36526",10027001709,https://www.bcbe.org/de,1
Foley Elementary School,"450 N Cedar Street, Foley, AL 36535",10027001712,https://www.bcbe.org/Domain/103,1
