SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
Copper Basin High School,"205 Cougar DR, Copperhill, TN 37317",470345001440,https://www.polk-schools.com/copper-basin-high-school,4
South Polk Elementary,"964 Old Federal RD, Old Fort, TN 37362",470345001445,https://south-polk.weebly.com/,3
Polk County High School,"7200 Highway 411 North, Benton, TN 37307",470345001900,https://www.polk-schools.com/polk-county-high-school,1
Cane Creek Elementary,"1500 West Jackson ST, Cookeville, TN 38501",470348000413,http://www.canecreekcubs.com/,1
Avery Trace Middle School,"230 Raider DR, Cookeville, TN 38501",470348000497,http://www.averytraceraiders.com/,1
Cornerstone Elementary,"371 First Avenue South, Baxter, TN 38544",470348001449,http://www.cesstingers.com/,1
Capshaw Elementary,"1 Cougar LN, Cookeville, TN 38501",470348001451,http://www.capshawcougars.com/,1
Jere Whitson Elementary,"178 East Jere Whitson RD, Cookeville, TN 38501",470348001453,http://www.jerewhitsonwildcats.com/,1
Northeast Elementary,"575 N Old Kentucky RD, Cookeville, TN 38501",470348001455,https://elementary-schools.cmac.ws/northeast-elementary-school/117010/,4
Park View Elementary,"545 Scott AVE, Cookeville, TN 38501",470348001456,http://www.parkviewpandas.com/,1
Cookeville High School,"1 Cavalier DR, Cookeville, TN 38501",470348001457,http://cookevillecavs.org/,1
Sycamore Elementary,"452 Ellis AVE, Cookeville, TN 38501",470348001459,http://www.sycamorestars.com/,1
Upperman Middle School,"6700 Nashville HWY, Baxter, TN 38544",470348001461,http://www.umsyellowjackets.com/,1
Burks Elementary,"300 Crossville ST, Monterey, TN 38574",470348001487,http://www.burkspanthers.com/,1
Algood Middle School,"540 Dry Valley RD, Cookeville, TN 38506",470348001901,http://www.algoodredskins.com/,1
Upperman High School,"6950 Nashville HWY, Baxter, TN 38544",470348001903,http://www.uppermanbees.com/,1
Algood Elementary,"2525 Old Walton RD, Algood, TN 38506",470348002195,http://www.aesbraves.com/,1
White Plains Academy,"288 E Main ST, Algood, TN 38506",470348002196,http://www.wpaeagles.com/,1
Prescott South Elementary,"115 W Cemetery RD, Cookeville, TN 38506",470348002226,https://putnamcsdpses.ss19.sharpschool.com/,1
Prescott South Middle School,"1859 S Jefferson ST, Cookeville, TN 38506",470348002230,http://www.prescottbulldogs.com/,1
Baxter Primary,"125 Elmore Town Road, Baxter, TN 38544",470348002475,http://www.bpshoneybees.com/,1
Frazier Elementary,"3900 Double S RD, Dayton, TN 37321",470351001463,https://fes.rheacounty.org/,1
Graysville Elementary School,"606 Long ST, Dayton, TN 37321",470351001465,https://ges.rheacounty.org/,1
Rhea County High School,"885 Eagle LN, Evensville, TN 37332",470351001467,https://rchs.rheacounty.org/,1
Spring City Elementary,"270 East Jackson AVE, Spring City, TN 37381",470351001469,https://sces.rheacounty.org/,2
