SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING,VALIDITY_CONFIRMED,EXPLANATIONS
Holmes Elementary School,"1175 NW 67TH ST, MIAMI, FL 33150",120039000435,https://www.realtyhop.com/schools/k12/fl/miami/holmes-elementary-school-33150,13,False,Query Ranking > 5
Thena Crowder Early Childhood Diagnostic Special Education C,"757 NW 66TH ST, MIAMI, FL 33150",120039000436,https://www.hisawyer.com/listings/schools/68080-thena-crowder-early-childhood-diagnostic-special-education-c,10,False,Query Ranking > 5
Howard Drive Elementary School,"7750 SW 136TH ST, MIAMI, FL 33156",120039000437,https://www.howarddriveelementary.com/,1,False,School String not found in website.
Madie Ives K-8 Preparatory Academy,"20770 NE 14TH AVE, NORTH MIAMI BEACH, FL 33179",120039000438,https://mik8.net/,1,True,Validity is confirmed according to current tests.
Kendale Elementary School,"10693 SW 93RD ST, MIAMI, FL 33176",120039000440,https://www.kendaletigers.org/apps/contact/,4,True,Validity is confirmed according to current tests.
Kendale Lakes Elementary School,"8000 SW 142ND AVE, MIAMI, FL 33183",120039000441,https://kendalelakeselementary.net/,1,True,Validity is confirmed according to current tests.
Kensington Park Elementary School,"711 NW 30TH AVE, MIAMI, FL 33125",120039000442,https://kpelions.com/,1,True,Validity is confirmed according to current tests.
Kenwood K-8 Center,"9300 SW 79TH AVE, MIAMI, FL 33156",120039000443,https://www.bestplaces.net/schools/florida/miami/kenwood_k-8_center,17,False,Query Ranking > 5
Key Biscayne K-8 Center,"150 W MCINTYRE ST, KEY BISCAYNE, FL 33149",120039000444,https://www.k12jobspot.com/School/23224,13,False,Query Ranking > 5
Kinloch Park Elementary School,"4275 NW 1ST ST, MIAMI, FL 33126",120039000446,https://www.hisawyer.com/listings/schools/68071-kinloch-park-elementary-school,13,False,Query Ranking > 5
Lake Stevens Elementary School,"5101 NW 183RD ST, MIAMI GARDENS, FL 33055",120039000447,https://www.lakestevelem.net/,11,False,Query Ranking > 5
Lakeview Elementary School,"1290 NW 115TH ST, MIAMI, FL 33167",120039000448,https://www.hisawyer.com/listings/schools/68069-lakeview-elementary-school,9,False,Query Ranking > 5
Leewood K-8 Center,"10343 SW 124TH ST, MIAMI, FL 33176",120039000450,https://leewoodk8.wixsite.com/leewoodk8center,3,True,Validity is confirmed according to current tests.
Leisure City K-8 Center,"14950 SW 288TH ST, HOMESTEAD, FL 33033",120039000451,https://lck8.org/,1,True,Validity is confirmed according to current tests.
Laura C. Saunders Elementary School,"505 SW 8TH ST, HOMESTEAD, FL 33030",120039000452,https://www.hisawyer.com/listings/schools/68059-laura-c-saunders-elementary-school,8,False,Query Ranking > 5
Liberty City Elementary School,"1855 NW 71ST ST, MIAMI, FL 33147",120039000453,https://dataexplorer.agile-ed.com/Lookup/FL/619736-Liberty-City-Elementary-School,10,False,Query Ranking > 5
Jesse J. Mccrary Jr. Elementary School,"514 NW 77TH ST, MIAMI, FL 33150",120039000454,https://pr30216.wixsite.com/jessejelem,9,False,Query Ranking > 5
Lorah Park Elementary School,"5160 NW 31ST AVE, MIAMI, FL 33142",120039000455,https://www.hisawyer.com/listings/schools/68056-lorah-park-elementary-school,11,False,Query Ranking > 5
Ludlam Elementary School,"6639 SW 74TH ST, SOUTH MIAMI, FL 33143",120039000456,https://www.hisawyer.com/listings/schools/68054-ludlam-elementary-school,5,True,Validity is confirmed according to current tests.
Frank Crawford Martin K-8 Center,"14250 BOGGS DR, MIAMI, FL 33176",120039000457,https://www.hisawyer.com/listings/schools/68052-frank-crawford-martin-k-8-center,18,False,Query Ranking > 5
Meadowlane Elementary School,"4280 W 8TH AVE, HIALEAH, FL 33012",120039000458,https://www.meadowlane.org/apps/contact/,8,False,Query Ranking > 5
Melrose Elementary School,"3050 NW 35TH ST, MIAMI, FL 33142",120039000459,https://www.hisawyer.com/listings/schools/68049-melrose-elementary-school,12,False,Query Ranking > 5
Miami Gardens Elementary School,"4444 NW 195TH ST, MIAMI GARDENS, FL 33055",120039000461,https://miamigardenselem.net/contact-us/,3,True,Validity is confirmed according to current tests.
Miami Heights Elementary School,"17661 SW 117TH AVE, MIAMI, FL 33177",120039000462,https://www.realtyhop.com/schools/k12/fl/miami/miami-heights-elementary-school-33177,10,False,Query Ranking > 5
Miami Lakes K-8 Center,"14250 NW 67TH AVE, HIALEAH, FL 33014",120039000463,https://mlk8center.org/,10,False,Query Ranking > 5
Miami Park Elementary School,"2225 NW 103RD ST, MIAMI, FL 33147",120039000464,https://steamsites.wixsite.com/miamipark,11,False,Query Ranking > 5
Miami Shores Elementary School,"10351 NE 5TH AVE, MIAMI SHORES, FL 33138",120039000465,https://miamishoreselementary.net/,1,True,Validity is confirmed according to current tests.
Miami Springs Elementary School,"51 PARK ST, MIAMI SPRINGS, FL 33166",120039000466,https://www.miamisprings-fl.gov/community/schools-and-education,15,False,Query Ranking > 5
Marcus A. Milam K-8 Center,"6020 W 16TH AVE, HIALEAH, FL 33012",120039000467,http://www.milamk8.org/,1,False,School String not found in website.
Morningside K-8 Academy,"6620 NE 5TH AVE, MIAMI, FL 33138",120039000468,https://www.morningsidek8.com/,1,True,Validity is confirmed according to current tests.
Robert Russa Moton Elementary School,"18050 HOMESTEAD AVE, PERRINE, FL 33157",120039000469,"https://florida.hometownlocator.com/schools/profiles,n,robert%20russa%20moton%20elementary%20school,z,33157,t,pb,i,1024671.cfm",14,False,Query Ranking > 5
Myrtle Grove K-8 Center,"3125 NW 176TH ST, OPA LOCKA, FL 33056",120039000470,https://myrtlegrovek8center.org/,10,False,Query Ranking > 5
Coconut Palm K-8 Academy,"24400 SW 124TH AVE, HOMESTEAD, FL 33032",120039000471,https://www.k12jobspot.com/School/23249,15,False,Query Ranking > 5
Natural Bridge Elementary School,"1650 NE 141ST ST, NORTH MIAMI, FL 33181",120039000472,https://www.hisawyer.com/listings/schools/68032-natural-bridge-elementary-school,12,False,Query Ranking > 5
Norland Elementary School,"19340 NW 8TH CT, MIAMI, FL 33169",120039000473,https://norlandbears.com/apps/contact/,2,True,Validity is confirmed according to current tests.
