SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
Argyle Middle,"2400 Bel Pre Rd, Silver Spring, MD 20906",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/argylems/,1
Stephen Knolls School,"10731 St. Margaret's Way, Kensington, MD 20895",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/knolls/,1
Forest Oak Middle,"651 Saybrooke Oaks Blvd, Gaithersburg, MD 20877",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/forestoakms/,1
Rocky Hill Middle,"22401 Brick Haven Way, Clarksburg, MD 20871",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/rockyhillms/,1
Neelsville Middle,"11700 Neelsville Church Rd, Germantown, MD 20876",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/neelsvillems/,2
Albert Einstein High,"11135 Newport Mill Rd, Kensington, MD 20895",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/einsteinhs/,1
Ashburton Elementary,"6314 Lone Oak Dr, Bethesda, MD 20817",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/ashburtones/,1
Bannockburn Elementary,"6520 Dalroy Ln, Bethesda, MD 20817",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/bannockburnes/,1
Bel Pre Elementary,"13801 Rippling Brook Drive, Silver Spring, MD 20906",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/belprees/,1
Bells Mill Elementary,"8225 Bells Mill Rd, Potomac, MD 20854",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/bellsmilles/,1
Belmont Elementary,"19528 Olney Mill Rd, Olney, MD 20832",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/belmontes/,1
Benjamin Banneker Middle,"14800 Perrywood Dr, Burtonsville, MD 20866",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/bannekerms/,1
Bethesda-Chevy Chase High,"4301 East-West Hwy, Bethesda, MD 20814",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/bcchs/,1
Bethesda Elementary,"7600 Arlington Rd, Bethesda, MD 20814",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/bethesdaes/,1
Beverly Farms Elementary,"8501 Post Oak Road, Potomac, MD 20854",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/beverlyfarmses/,1
Bradley Hills Elementary,"8701 Hartsdale Ave, Bethesda, MD 20817",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/bradleyhillses/,1
Brookhaven Elementary,"4610 Renn St, Rockville, MD 20853",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/brookhavenes/,1
Burning Tree Elementary,"7900 Beech Tree Rd, Bethesda, MD 20817",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/burningtreees/,1
Burtonsville Elementary,"15516 Old Columbia Pike, Burtonsville, MD 20866",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/burtonsvillees/,1
Candlewood Elementary,"7210 Osprey Drive, Rockville, MD 20855",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/candlewoodes/,1
Cannon Road Elementary,"901 Cannon Road, Silver Spring, MD 20904",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/cannonroades/,1
Carderock Springs Elementary,"7401 Persimmon Tree Lane, Bethesda, MD 20817",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/carderockspringses/,1
Cashell Elementary,"17101 Cashell Rd, Rockville, MD 20853",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/cashelles/,1
Cedar Grove Elementary,"24001 Ridge Rd, Germantown, MD 20876",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/cedargrovees/,1
Chevy Chase Elementary,"4015 Rosemary St, Chevy Chase, MD 20815",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/chevychasees/,1
Clarksburg Elementary,"13530 Redgrave Pl, Clarksburg, MD 20871",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/clarksburges/,2
Col. E. Brooke Lee Middle,"11800 Monticello Ave, Silver Spring, MD 20902",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/leems/,1
College Gardens Elementary,"1700 Yale Place, Rockville, MD 20850",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/collegegardenses/,1
Damascus Elementary,"10201 Bethesda Church Rd, Damascus, MD 20872",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/damascuses/,1
Darnestown Elementary,"15030 Turkey Foot Rd, Gaithersburg, MD 20878",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/darnestownes/,1
Diamond Elementary,"4 Marquis Dr, Gaithersburg, MD 20878",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/diamondes/,1
Dufief Elementary,"15001 Dufief Dr, Gaithersburg, MD 20878",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/dufiefes/,1
East Silver Spring Elementary,"631 Silver Spring Ave, Silver Spring, MD 20910",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/eastsilverspringes/,1
Fairland Elementary,"14315 Fairdale Rd, Silver Spring, MD 20905",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/fairlandes/,1
Fallsmead Elementary,"1800 Greenplace Ter, Rockville, MD 20850",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/fallsmeades/,1
Farmland Elementary,"7000 Old Gate Road, Rockville, MD 20852",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/farmlandes/,1
Fields Road Elementary,"1 School Dr, Gaithersburg, MD 20878",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/fieldsroades/,1
Flower Valley Elementary,"4615 Sunflower Dr, Rockville, MD 20853",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/flowervalleyes/,1
Forest Knolls Elementary,"10830 Eastwood Ave, Silver Spring, MD 20901",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/forestknollses,1
Fox Chapel Elementary,"19315 Archdale Rd, Germantown, MD 20876",2.40048E+11,https://www2.montgomeryschoolsmd.org/schools/foxchapeles/,1
