SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
Port Richmond High School,"85 ST JOSEPHS AVE, STATEN ISLAND, NY 10302",360010302850,https://www.portrichmondhs.org/apps/maps/,1
Tottenville High School,"100 LUTEN AVE, STATEN ISLAND, NY 10312",360010302883,http://www.tottenvillehs.com/,1
Staten Island Technical High School,"485 CLAWSON ST, STATEN ISLAND, NY 10306",360010304186,https://www.siths.org/,2
Csi High School For International Studies,"100 ESSEX DR, STATEN ISLAND, NY 10314",360010305835,http://www.csihighschool.org/,1
Gaynor Mccown Expeditionary Learning School,"100 ESSEX DR, STATEN ISLAND, NY 10314",360010306024,https://www.gaynormccownels.org/,1
Ps 78,"100 TOMPKINS AVE, STATEN ISLAND, NY 10304",360010306362,https://www.ps78r.com/,1
Naples Street Elementary School,"1055 TARGEE ST, STATEN ISLAND, NY 10304",360010306444,https://www.ps9si.org/,1
Fort Hill Collaborative Elementary School,"80 MONROE AVE, STATEN ISLAND, NY 10301",360010306458,https://insideschools.org/school/31R010,1
Port Richmond School For Visionary Learning,"1625 FOREST AVE, STATEN ISLAND, NY 10302",360010306590,https://www.ps68.org/,1
Buffalo Academy Of Science Charter School,"190 FRANKLIN ST, BUFFALO, NY 14202",360010505602,https://buffsci.org/,1
Western New York Maritime Charter School,"266 GENESEE ST, BUFFALO, NY 14204",360010605603,https://www.wnymcs.com/,1
Westminster Community Charter School,"24 WESTMINSTER AVE, BUFFALO, NY 14215",360010705604,https://www.westminsterccs.org/,1
Opportunity Charter School,"240 W 113TH ST-4TH FL, NEW YORK, NY 10026",360010905641,https://www.ocsny.org/,1
Bronx Lighthouse Charter School,"1001 INTERVALE AVE, BRONX, NY 10459",360011105662,https://insideschools.org/school/84X185,1
Grand Concourse Academy Charter School,"925 HUTCHINSON PARKWAY, BRONX, NY 10465",360011205672,https://www.gcacs.org/,1
Bronx Charter School For Excellence,"1960 BENEDICT AVE, BRONX, NY 10462",360011305688,https://www.excellencecommunityschools.org/bronx-1,1
Williamsburg Charter High School,"198 VARET ST, BROOKLYN, NY 11206",360011505705,https://www.thewcs.org/contact/,1
Brooklyn Excelsior Charter School,"856 QUINCY ST, BROOKLYN, NY 11221",360011605708,https://www.nhaschools.com/schools/brooklyn-excelsior-charter-school/en,1
Peninsula Preparatory Academy Charter School,"611 BEACH 19TH ST, FAR ROCKAWAY, NY 11691",360011805732,https://www.peninsulaprep.org/,1
El Puente Academy For Peace And Justice,"250 HOOPER ST, BROOKLYN, NY 11211",360011900892,https://elpuente.us/el-puente-academy-for-peace-justice,1
Automotive High School,"50 BEDFORD AVE, BROOKLYN, NY 11222",360011901913,https://insideschools.org/school/14K610,1
Ps 18 Edward Bush,"101 MAUJER ST, BROOKLYN, NY 11206",360011902096,https://ps18k.squarespace.com/,1
Juan Morel Campos Secondary School,"215 HEYWARD ST, BROOKLYN, NY 11206",360011902291,https://www.juanmorelcampos.com/,1
