SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING,VALIDITY_CONFIRMED,EXPLANATIONS
BALLARD ELEM.,"10247 NE State Route 18, BUTLER, MO 64730",290417000000.0,https://www.ballardr2.net/vnews/display.v/SEC/Employment,1,False,School String not found in website
BALLARD HIGH,"10247 NE State Route 18, BUTLER, MO 64730",290417000000.0,https://www.ballardr2.net/vnews/display.v/SEC/Employment,1,False,School String not found in website
BAYLESS ELEMENTARY,"4531 WEBER RD, ST LOUIS, MO 63123",290450000000.0,http://el.baylessk12.org/administration.html,1,True,Validity is confirmed according to current tests.
BAYLESS SENIOR HIGH,"4532 WEBER RD, ST LOUIS, MO 63123",290450000000.0,http://hs.baylessk12.org/,1,False,School String not found in website
BAYLESS JUNIOR HIGH,"4530 WEBER RD, ST LOUIS, MO 63123",290450000000.0,http://www.baylessk12.org/,1,True,Validity is confirmed according to current tests.
BELL CITY ELEM.,"25254 WALNUT ST, BELL CITY, MO 63735",290453000000.0,http://www.bellcity.k12.mo.us/,1,False,School String not found in website
BELL CITY HIGH,"25254 WALNUT ST, BELL CITY, MO 63735",290453000000.0,http://www.bellcity.k12.mo.us/,1,False,School String not found in website
BELLEVIEW ELEM.,"27431 HWY 32, BELLEVIEW, MO 63623",290459000000.0,http://www.belleviewbraves.org/,1,False,School String not found in website
CAMBRIDGE ELEM.,"109 W CAMBRIDGE, BELTON, MO 64012",290462000000.0,https://www.beltonschools.org/Page/147,1,False,School String not found in website
GLADDEN ELEM.,"405 WESTOVER RD, BELTON, MO 64012",290462000000.0,https://www.beltonschools.org/Page/145,1,False,School String not found in website
HILLCREST STEAM ACADEMY,"106 S HILLCREST RD, BELTON, MO 64012",290462000000.0,https://www.beltonschools.org/Page/151,1,True,Validity is confirmed according to current tests.
SCOTT ELEM.,"310 S SCOTT, BELTON, MO 64012",290462000000.0,https://www.beltonschools.org/Page/431,2,False,School String not found in website
BELTON HIGH,"801 W. North Avenue, BELTON, MO 64012",290462000000.0,https://www.beltonschools.org/page/79,3,True,Validity is confirmed according to current tests.
MILL CREEK UPPER ELEM.,"308 S CLEVELAND, BELTON, MO 64012",290462000000.0,https://www.beltonschools.org/Page/155,1,False,School String not found in website
GRACE EARLY CHILD.  ED. CTR.,"614 W MILL, BELTON, MO 64012",290462000000.0,https://www.beltonschools.org/Page/404,1,False,School String not found in website
KENTUCKY TRAIL ELEM.,"8301 E 163RD ST, BELTON, MO 64012",290462000000.0,https://www.beltonschools.org/page/153,2,False,School String not found in website
BELTON MIDDLE SCHOOL/FC,"107 W. PIRATE PARKWAY, BELTON, MO 64012",290462000000.0,https://www.beltonschools.org/Page/141,1,False,School String not found in website
SCOTT CO. ELEM.,"4035 STATE HWY 77, BENTON, MO 63736",290489000000.0,https://www.kellyhawks.org/,1,False,School String not found in website
THOMAS W. KELLY HIGH,"4035 STATE HWY 77, BENTON, MO 63736",290489000000.0,https://www.kellyhawks.org/,1,False,School String not found in website
SCOTT CO. MIDDLE,"4035 STATE HWY 77, BENTON, MO 63736",290489000000.0,https://www.kellyhawks.org/,1,False,School String not found in website
BERNIE ELEM.,"121 S SPIKER, BERNIE, MO 63822",290495000000.0,https://www.hisawyer.com/listings/schools/96017-bernie-elem,3,True,Validity is confirmed according to current tests.
BERNIE HIGH,"516 W MAIN, BERNIE, MO 63822",290495000000.0,http://www.bernie.k12.mo.us/,4,False,School String not found in website
BEVIER ELEM.,"400 BLOOMINGTON ST, BEVIER, MO 63532",290498000000.0,https://www.bevierc4.com/,1,False,School String not found in website
BEVIER HIGH,"400 BLOOMINGTON ST, BEVIER, MO 63532",290498000000.0,https://www.realtor.com/realestateandhomes-detail/400-Bloomington-St_Bevier_MO_63532_M86233-84830,1,True,Validity is confirmed according to current tests.
BILLINGS ELEM.,"118 W MT VERNON, BILLINGS, MO 65610",290507000000.0,https://www.billings.k12.mo.us/,1,False,School String not found in website
BILLINGS SR. HIGH,"118 W MT VERNON, BILLINGS, MO 65610",290507000000.0,https://www.billings.k12.mo.us/,1,False,School String not found in website
BISMARCK R-V ELEM.,"165 Campus Drive, BISMARCK, MO 63624",290513000000.0,https://bismarckindians.org/,1,False,School String not found in website
BISMARCK R-V HIGH,"165 Campus Drive, BISMARCK, MO 63624",290513000000.0,https://bismarckindians.org/,1,False,School String not found in website
BLACKWATER ELEM.,"300 DODDRIDGE, BLACKWATER, MO 65322",290519000000.0,http://www.blackwater.k12.mo.us/,1,False,School String not found in website
BLOOMFIELD ELEM.,"505 COURT ST, BLOOMFIELD, MO 63825",290525000000.0,http://www.bps14.org/,1,False,School String not found in website
BLOOMFIELD HIGH,"505 COURT ST, BLOOMFIELD, MO 63825",290525000000.0,http://www.bps14.org/,1,False,School String not found in website
JUVENILE CTR.,"505 COURT ST, BLOOMFIELD, MO 63825",290525000000.0,https://www.schoolsnearme.net/en/public/juvenile-center/49434,1,False,School String not found in website
BLOOMFIELD MIDDLE,"505 COURT ST, BLOOMFIELD, MO 63825",290525000000.0,http://www.bps14.org/,1,False,School String not found in website
