SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING,VALIDITY_CONFIRMED,EXPLANATIONS
Argyle Middle,"2400 Bel Pre Rd, Silver Spring, MD 20906",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/argylems/,1,True,Validity is confirmed according to current tests.
Roberto W. Clemente Middle,"18808 Waring Station Rd, Germantown, MD 20874",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/clementems/,1,False,School String not found in website.
Stephen Knolls School,"10731 St. Margaret's Way, Kensington, MD 20895",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/knolls/,1,True,Validity is confirmed according to current tests.
Forest Oak Middle,"651 Saybrooke Oaks Blvd, Gaithersburg, MD 20877",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/forestoakms/,1,True,Validity is confirmed according to current tests.
Rocky Hill Middle,"22401 Brick Haven Way, Clarksburg, MD 20871",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/rockyhillms/,1,True,Validity is confirmed according to current tests.
Neelsville Middle,"11700 Neelsville Church Rd, Germantown, MD 20876",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/neelsvillems/,2,True,Validity is confirmed according to current tests.
Albert Einstein High,"11135 Newport Mill Rd, Kensington, MD 20895",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/einsteinhs/,1,True,Validity is confirmed according to current tests.
Ashburton Elementary,"6314 Lone Oak Dr, Bethesda, MD 20817",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/ashburtones/,1,True,Validity is confirmed according to current tests.
Bannockburn Elementary,"6520 Dalroy Ln, Bethesda, MD 20817",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/bannockburnes/,1,True,Validity is confirmed according to current tests.
Bel Pre Elementary,"13801 Rippling Brook Drive, Silver Spring, MD 20906",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/belprees/,1,True,Validity is confirmed according to current tests.
Bells Mill Elementary,"8225 Bells Mill Rd, Potomac, MD 20854",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/bellsmilles/,1,True,Validity is confirmed according to current tests.
Belmont Elementary,"19528 Olney Mill Rd, Olney, MD 20832",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/belmontes/,1,True,Validity is confirmed according to current tests.
Benjamin Banneker Middle,"14800 Perrywood Dr, Burtonsville, MD 20866",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/bannekerms/,1,True,Validity is confirmed according to current tests.
Bethesda-Chevy Chase High,"4301 East-West Hwy, Bethesda, MD 20814",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/bcchs/,1,True,Validity is confirmed according to current tests.
Bethesda Elementary,"7600 Arlington Rd, Bethesda, MD 20814",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/bethesdaes/,1,True,Validity is confirmed according to current tests.
Beverly Farms Elementary,"8501 Post Oak Road, Potomac, MD 20854",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/beverlyfarmses/,1,True,Validity is confirmed according to current tests.
Bradley Hills Elementary,"8701 Hartsdale Ave, Bethesda, MD 20817",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/bradleyhillses/,1,True,Validity is confirmed according to current tests.
Joann Leleck At Broad Acres Elementary,"710 Beacon Rd, Silver Spring, MD 20903",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/leleckes/,1,False,School String not found in website.
Brookhaven Elementary,"4610 Renn St, Rockville, MD 20853",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/brookhavenes/,1,True,Validity is confirmed according to current tests.
Brown Station Elementary,"850 Quince Orchard Blvd, Gaithersburg, MD 20878",240048000000.0,https://www2.montgomeryschoolsmd.org/schools/brownstationes/,1,False,School String not found in website.
