SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING,VALIDITY_CONFIRMED,EXPLANATIONS
Ps 39 Francis J Murphy Jr,"71 SAND LN, STATEN ISLAND, NY 10305",360010302174,https://www.ps39r.org/,1,False,School String not found in website.
Stephanie A Vierno School (The),"216 CLAWSON ST, STATEN ISLAND, NY 10306",360010302186,http://www.ps41si.org/,1,False,School String not found in website.
Ps 42 Eltingville,"380 GENESEE AVE, STATEN ISLAND, NY 10312",360010302189,https://www.ps42.org/,1,False,School String not found in website.
Ps 44 Thomas C Brown,"80 MAPLE PKWY, STATEN ISLAND, NY 10303",360010302196,https://r044.echalksites.com/,1,False,School String not found in website.
Ps 45 John Tyler,"58 LAWRENCE AVE, STATEN ISLAND, NY 10310",360010302201,https://insideschools.org/school/31R045,7,False,Query Ranking > 5
Ps 46 Albert V Maniscalco,"41 REID AVE, STATEN ISLAND, NY 10305",360010302206,https://insideschools.org/school/31R046,8,False,Query Ranking > 5
Ps 48 William G Wilcox,"1050 TARGEE ST, STATEN ISLAND, NY 10304",360010302214,https://psis48.echalksites.com/,1,False,School String not found in website.
Is 49 Berta A Dreyfus,"101 WARREN ST, STATEN ISLAND, NY 10304",360010302216,https://www.hisawyer.com/listings/schools/105766-is-49-berta-a-dreyfus,10,False,Query Ranking > 5
Ps 50 Frank Hankinson,"200 ADELAIDE AVE, STATEN ISLAND, NY 10306",360010302220,https://www.ps50si.org/,6,False,Query Ranking > 5
Ps 52 John C Thompson,"450 BUEL AVE, STATEN ISLAND, NY 10305",360010302229,https://insideschools.org/school/31R052,10,False,Query Ranking > 5
Barbara Esselborn School (The),"330 DURANT AVE, STATEN ISLAND, NY 10308",360010302233,https://www.ps53r.org/,1,False,School String not found in website.
Ps 54 Charles W Leng,"1060 WILLOWBROOK RD, STATEN ISLAND, NY 10314",360010302234,https://insideschools.org/school/31R054,6,False,Query Ranking > 5
Ps 55 Henry M Boehm,"54 OSBORNE ST, STATEN ISLAND, NY 10312",360010302239,https://www.ps55.org/,1,False,School String not found in website.
Ps 57 Hubert H Humphrey,"140 PALMA DR, STATEN ISLAND, NY 10304",360010302247,http://www.publicschool57.com/,1,False,School String not found in website.
Ps 60 Alice Austen,"55 MERRILL AVE, STATEN ISLAND, NY 10314",360010302257,https://www.ps60.org/?skipMobile=1,1,False,School String not found in website.
Ps 69 Daniel D Tompkins,"144 KEATING PL, STATEN ISLAND, NY 10314",360010302286,https://www.ps69.org/apps/pages/index.jsp?uREC_ID=385008&type=d,1,False,School String not found in website.
Port Richmond High School,"85 ST JOSEPHS AVE, STATEN ISLAND, NY 10302",360010302850,https://www.portrichmondhs.org/apps/maps/,1,True,Validity is confirmed according to current tests.
Ralph R Mckee Career And Technical Education High School,"290 ST MARKS PL, STATEN ISLAND, NY 10301",360010302861,https://mckeecths.org/,1,False,School String not found in website.
Susan E Wagner High School,"1200 MANOR RD, STATEN ISLAND, NY 10314",360010302878,https://www.wagnerhigh.net/,1,False,School String not found in website.
Tottenville High School,"100 LUTEN AVE, STATEN ISLAND, NY 10312",360010302883,http://www.tottenvillehs.com/,1,True,Validity is confirmed according to current tests.
Ps 56 Louis Desario School (The),"250 KRAMER AVE, STATEN ISLAND, NY 10309",360010303394,https://ps56.org/,1,False,School String not found in website.
Staten Island Technical High School,"485 CLAWSON ST, STATEN ISLAND, NY 10306",360010304186,https://www.siths.org/,2,True,Validity is confirmed according to current tests.
Is 75 Frank D Paulo,"455 HUGUENOT AVE, STATEN ISLAND, NY 10312",360010304526,https://www.is75.org/apps/contact/,1,False,School String not found in website.
Ps 6 Cpl Allan F Kivlehan School,"555 PAGE AVE, STATEN ISLAND, NY 10307",360010304816,https://ps6statenisland.org/,1,False,School String not found in website.
Space Shuttle Columbia School,"77 MARSH AVE, STATEN ISLAND, NY 10314",360010305548,http://www.sscolumbia58si.org/,1,False,School String not found in website.
Csi High School For International Studies,"100 ESSEX DR, STATEN ISLAND, NY 10314",360010305835,http://www.csihighschool.org/,1,True,Validity is confirmed according to current tests.
Marsh Avenue School For Expeditionary Learning,"100 ESSEX DR, STATEN ISLAND, NY 10314",360010306006,https://www.maels.net/,1,False,School String not found in website.
Gaynor Mccown Expeditionary Learning School,"100 ESSEX DR, STATEN ISLAND, NY 10314",360010306024,https://www.gaynormccownels.org/,1,True,Validity is confirmed according to current tests.
Ps 65 Academy Of Innovative Learning (The),"98 GRANT ST, STATEN ISLAND, NY 10301",360010306035,https://insideschools.org/school/31R065,6,False,Query Ranking > 5
Staten Island School Of Civic Leadership,"280 REGIS DR, STATEN ISLAND, NY 10314",360010306149,https://insideschools.org/school/31R861,6,False,Query Ranking > 5
Ps 74 Future Leaders Elementary School,"211 DANIEL LOW TERR, STATEN ISLAND, NY 10301",360010306184,https://insideschools.org/school/31R074,1,False,School String not found in website.
Ps 78,"100 TOMPKINS AVE, STATEN ISLAND, NY 10304",360010306362,https://www.ps78r.com/,1,True,Validity is confirmed according to current tests.
Naples Street Elementary School,"1055 TARGEE ST, STATEN ISLAND, NY 10304",360010306444,https://www.ps9si.org/,1,True,Validity is confirmed according to current tests.
Harbor View School (The),"300 RICHMOND TERR, STATEN ISLAND, NY 10301",360010306445,http://www.theharborviewschool.org/,1,False,School String not found in website.
Fort Hill Collaborative Elementary School,"80 MONROE AVE, STATEN ISLAND, NY 10301",360010306458,https://insideschools.org/school/31R010,1,True,Validity is confirmed according to current tests.
Eagle Academy Of Staten Island (The),"101 WARREN ST, STATEN ISLAND, NY 10304",360010306522,https://insideschools.org/school/31R028,2,False,School String not found in website.
Kathleen Grimm School For Leadership,"644 BLOOMINGDALE RD, STATEN ISLAND, NY 10309",360010306546,http://www.ps62si.org/,1,False,School String not found in website.
Port Richmond School For Visionary Learning,"1625 FOREST AVE, STATEN ISLAND, NY 10302",360010306590,https://www.ps68.org/,1,True,Validity is confirmed according to current tests.
Syracuse Academy Of Science Charter School,"1001 PARK AVE, SYRACUSE, NY 13204",360010405549,https://www.hisawyer.com/listings/schools/105813-syracuse-academy-of-science-charter-school,11,False,Query Ranking > 5
Buffalo Academy Of Science Charter School,"190 FRANKLIN ST, BUFFALO, NY 14202",360010505602,https://buffsci.org/,1,True,Validity is confirmed according to current tests.
Western New York Maritime Charter School,"266 GENESEE ST, BUFFALO, NY 14204",360010605603,https://www.wnymcs.com/,1,True,Validity is confirmed according to current tests.
Westminster Community Charter School,"24 WESTMINSTER AVE, BUFFALO, NY 14215",360010705604,https://www.westminsterccs.org/,1,True,Validity is confirmed according to current tests.
Harlem Children'S Zone Promise Academy Charter School,"245 W 129TH ST, NEW YORK, NY 10027",360010805640,https://hcz.org/locations/,2,False,School String not found in website.
Opportunity Charter School,"240 W 113TH ST-4TH FL, NEW YORK, NY 10026",360010905641,https://www.ocsny.org/,1,True,Validity is confirmed according to current tests.
Bronx Charter School For Children (The),"388 WILLIS AVE, BRONX, NY 10454",360011005651,https://tbcsc.org/,1,False,School String not found in website.
Bronx Lighthouse Charter School,"1001 INTERVALE AVE, BRONX, NY 10459",360011105662,https://insideschools.org/school/84X185,1,True,Validity is confirmed according to current tests.
Grand Concourse Academy Charter School,"925 HUTCHINSON PARKWAY, BRONX, NY 10465",360011205672,https://www.gcacs.org/,1,True,Validity is confirmed according to current tests.
Bronx Charter School For Excellence,"1960 BENEDICT AVE, BRONX, NY 10462",360011305688,https://www.excellencecommunityschools.org/bronx-1,1,True,Validity is confirmed according to current tests.
Excellence Boys Charter School Of Bedford Stuyvesant,"225 PATCHEN AVE, BROOKLYN, NY 11233",360011405700,https://nyc.uncommonschools.org/excellence-boys-elementary-academy/,1,False,School String not found in website.
Williamsburg Charter High School,"198 VARET ST, BROOKLYN, NY 11206",360011505705,https://www.thewcs.org/contact/,1,True,Validity is confirmed according to current tests.
Brooklyn Excelsior Charter School,"856 QUINCY ST, BROOKLYN, NY 11221",360011605708,https://www.nhaschools.com/schools/brooklyn-excelsior-charter-school/en,1,True,Validity is confirmed according to current tests.
Peninsula Preparatory Academy Charter School,"611 BEACH 19TH ST, FAR ROCKAWAY, NY 11691",360011805732,https://www.peninsulaprep.org/,1,True,Validity is confirmed according to current tests.
El Puente Academy For Peace And Justice,"250 HOOPER ST, BROOKLYN, NY 11211",360011900892,https://elpuente.us/el-puente-academy-for-peace-justice,1,True,Validity is confirmed according to current tests.
Automotive High School,"50 BEDFORD AVE, BROOKLYN, NY 11222",360011901913,https://insideschools.org/school/14K610,1,True,Validity is confirmed according to current tests.
Ps 16 Leonard Dunkly,"157 WILSON ST, BROOKLYN, NY 11211",360011902091,https://insideschools.org/school/14K016,6,False,Query Ranking > 5
Ps 17 Henry D Woodworth,"208 N 5TH ST, BROOKLYN, NY 11211",360011902095,https://insideschools.org/school/14K017,6,False,Query Ranking > 5
Ps 18 Edward Bush,"101 MAUJER ST, BROOKLYN, NY 11206",360011902096,https://ps18k.squarespace.com/,1,True,Validity is confirmed according to current tests.
Ps 23 Carter G Woodson,"545 WILLOUGHBY AVE, BROOKLYN, NY 11206",360011902116,https://insideschools.org/school/14K023,1,False,School String not found in website.
Ps 31 Samuel F Dupont,"75 MESEROLE AVE, BROOKLYN, NY 11222",360011902144,https://www.ps31brooklyn.com/,1,False,School String not found in website.
Ps 34 Oliver H Perry,"131 NORMAN AVE, BROOKLYN, NY 11222",360011902156,http://www.ps34.org/,1,False,School String not found in website.
Jhs 50 John D Wells,"183 S 3RD ST, BROOKLYN, NY 11211",360011902221,https://insideschools.org/school/14K050,6,False,Query Ranking > 5
Ps 59 William Floyd,"211 THROOP AVE, BROOKLYN, NY 11206",360011902255,https://insideschools.org/school/14K059,1,False,School String not found in website.
Juan Morel Campos Secondary School,"215 HEYWARD ST, BROOKLYN, NY 11206",360011902291,https://www.juanmorelcampos.com/,1,True,Validity is confirmed according to current tests.
Ps 84 Jose De Diego,"250 BERRY ST, BROOKLYN, NY 11211",360011902326,https://www.ps84k.org/,1,True,Validity is confirmed according to current tests.
Ps 110 Monitor (The),"124 MONITOR ST, BROOKLYN, NY 11222",360011902412,https://insideschools.org/school/14K110,1,False,School String not found in website.
Ps 120 Carlos Tapia,"18 BEAVER ST, BROOKLYN, NY 11206",360011902445,https://insideschools.org/school/14K120,1,False,School String not found in website.
John Ericsson Middle School 126,"424 LEONARD ST, BROOKLYN, NY 11222",360011902467,https://ms126.org/,1,False,School String not found in website.
