SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING,VALIDITY_CONFIRMED,EXPLANATIONS
Albertville Middle School,"600 E Alabama Ave, Albertville, AL 35950",10000500870,https://ams.albertk12.org/apps/contact/,1,True,Validity is confirmed according to current tests.
Albertville High School,"402 E McCord Ave, Albertville, AL 35950",10000500871,https://ahs.albertk12.org/,5,True,Validity is confirmed according to current tests.
Evans Elementary School,"901 W McKinney Ave, Albertville, AL 35950",10000500879,https://ees.albertk12.org/,1,False,School String not found in website.
Albertville Elementary School,"1100 Horton Rd, Albertville, AL 35950",10000500889,https://aps.albertk12.org/,1,False,School String not found in website.
Big Spring Lake Kindergarten School,"257 Country Club Rd, Albertville, AL 35951",10000501616,https://akpk.albertk12.org/,1,False,School String not found in website.
Albertville Primary School,"1100 Horton Road, Albertville, AL 35950",10000502150,https://aps.albertk12.org/,1,True,Validity is confirmed according to current tests.
Kate Duncan Smith Dar Middle,"6077 Main St, Grant, AL 35747",10000600193,https://kdsdar.org/,1,False,School String not found in website.
Asbury High School,"1990 Asbury Rd, Albertville, AL 35951",10000600872,http://asburyhigh.marshallk12.org/,1,True,Validity is confirmed according to current tests.
Claysville School,"140 Claysville School Rd, Guntersville, AL 35976",10000600876,http://claysville.marshallk12.org/,1,True,Validity is confirmed according to current tests.
Douglas Elementary School,"Highway 75, Douglas, AL 35964",10000600877,http://douglaselementary.marshallk12.org/,6,False,Query Ranking > 5
Douglas High School,"225 Eagle Drive, Douglas, AL 35964",10000600878,http://douglashigh.marshallk12.org/,1,True,Validity is confirmed according to current tests.
Brindlee Mountain Elementary School,"2233 Shoal Creek Rd, Arab, AL 35016",10000600880,http://bmes.marshallk12.org/,1,True,Validity is confirmed according to current tests.
Kate D Smith Dar High School,"6077 Main St, Grant, AL 35747",10000600883,http://darhigh.marshallk12.org/,1,False,School String not found in website.
Brindlee Mountain Primary School,"3685 Union Grove Rd, Union Grove, AL 35175",10000600887,http://bmps.marshallk12.org/staff,1,True,Validity is confirmed according to current tests.
Marshall Alternative School,"140 Claysville School Rd, Guntersville, AL 35976",10000600986,http://claysville.marshallk12.org/,2,False,School String not found in website.
Marshall Technical School,"12312 US Highway 431 S, Guntersville, AL 35976",10000600987,http://mts.marshallk12.org/,1,True,Validity is confirmed according to current tests.
Robert D Sloman Primary,"200 Bethlehem Rd, Douglas, AL 35964",10000601413,http://slomanprimary.marshallk12.org/,1,False,School String not found in website.
Brindlee Mountain High School,"994 Scant City Road, Guntersville, AL 35976",10000601585,http://brindleemountainhigh.marshallk12.org/,1,True,Validity is confirmed according to current tests.
Kate D Smith Dar Elementary School,"6077 Main St, Grant, AL 35747",10000601685,http://darelementary.marshallk12.org/,1,False,School String not found in website.
Douglas Middle School,"Highway 75, Douglas, AL 35964",10000601812,http://douglasmiddle.marshallk12.org/our_school,1,True,Validity is confirmed according to current tests.
Asbury Elementary School,"1966 Asbury Road, Albertville, AL 35951",10000602209,http://aes.marshallk12.org/our_school,1,True,Validity is confirmed according to current tests.
Trace Crossings Elementary School,"5454 Learning Lane, Hoover, AL 35244",10000700091,https://al02204985.schoolwires.net/Page/2782,15,False,Query Ranking > 5
Greystone Elementary School,"300 Village Street, Hoover, AL 35242",10000700248,"https://alabama.hometownlocator.com/schools/profiles,n,greystone%20elementary%20school,z,35242,t,pb,i,1001176.cfm",10,False,Query Ranking > 5
Hoover High School,"1000 Buccaneer Drive, Hoover, AL 35244",10000700251,https://en.wikipedia.org/wiki/Hoover_High_School_(Alabama),13,False,Query Ranking > 5
Berry Middle School,"4500 Jaguar Dr, Hoover, AL 35242",10000700337,https://www.homesnap.com/schools/AL/Birmingham/Berry_Middle_School,16,False,Query Ranking > 5
South Shades Crest Elementary School,"3770 South Shades Crest Rd, Hoover, AL 35244",10000700342,https://www.realtor.com/local/schools/South-Shades-Crest-Elementary-School-071429011,13,False,Query Ranking > 5
Robert F Bumpus Middle School,"6055 Flemming Parkway, Hoover, AL 35244",10000701422,https://www.homesnap.com/schools/AL/Birmingham/Robert_F_Bumpus_Middle_School,14,False,Query Ranking > 5
Spain Park High School,"4700 Jaguar Drive, Hoover, AL 35242",10000701456,https://en.wikipedia.org/wiki/Spain_Park_High_School,6,False,Query Ranking > 5
Deer Valley Elementary School,"4990 Ross Bridge Parkway, Hoover, AL 35226",10000701483,https://www.homesnap.com/schools/AL/Birmingham/Deer_Valley_Elementary_School,15,False,Query Ranking > 5
Bluff Park Elementary School,"569 Park Avenue, Hoover, AL 35226",10000701738,https://al02204985.schoolwires.net/site/default.aspx?PageType=3&DomainID=1064&ModuleInstanceID=6962&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=19291&PageID=1194&Comments=true,13,False,Query Ranking > 5
Green Valley Elementary School,"3200 Old Columbiana Rd, Hoover, AL 35226",10000701739,https://www.areavibes.com/hoover-al/schools/green+valley+elementary+school-010000701739/,13,False,Query Ranking > 5
Gwin Elementary School,"1580 Patton Chapel Road, Hoover, AL 35226",10000701740,https://al02204985.schoolwires.net/site/Default.aspx?PageID=1201&DomainID=1067,11,False,Query Ranking > 5
Ira F Simmons Middle School,"1575 Patton Chapel Road, Hoover, AL 35226",10000701741,http://www.schoolmap.org/School/Ira-F-Simmons-Middle-School/,12,False,Query Ranking > 5
Rocky Ridge Elementary School,"2876 Old Rocky Ridge Rd, Hoover, AL 35243",10000701742,https://www.homesnap.com/schools/AL/Birmingham/Rocky_Ridge_Elementary_School,14,False,Query Ranking > 5
Shades Mountain Elementary School,"2250 Sumpter St, Hoover, AL 35226",10000701743,http://www.findglocal.com/US/Birmingham/1221773281209006/Shades-Mountain-Elementary-School,12,False,Query Ranking > 5
Riverchase Elementary School,"1950 Old Montgomery Highway, Hoover, AL 35244",10000702091,"https://alabama.hometownlocator.com/schools/profiles,n,riverchase%20elementary%20school,z,35244,t,pb,i,1000078.cfm",13,False,Query Ranking > 5
Brocks Gap Intermediate School,"1730 Lake Cyrus Club Drive, Hoover, AL 35244",10000702186,https://www.homesnap.com/schools/AL/Hoover/Brocks_Gap_Intermediate_School,12,False,Query Ranking > 5
Crossroads School,"1085 Buccaneer Drive, Hoover, AL 35244",10000702359,http://wikimapia.org/6118141/Crossroads-School,7,False,Query Ranking > 5
Horizon Elementary School,"7855 Old Madison Pike, Madison, AL 35758",10000800303,https://www.madisoncity.k12.al.us/horizon,1,True,Validity is confirmed according to current tests.
Discovery Middle School,"1304 Hughes Rd, Madison, AL 35758",10000800495,https://www.madisoncity.k12.al.us/discovery,1,True,Validity is confirmed according to current tests.
Bob Jones High School,"650 Hughes Rd, Madison, AL 35758",10000800831,https://www.madisoncity.k12.al.us/bjhs,1,True,Validity is confirmed according to current tests.
Madison Elementary School,"17 College St, Madison, AL 35758",10000800839,https://www.madisoncity.k12.al.us/Madison,1,True,Validity is confirmed according to current tests.
West Madison Elementary School,"4976 Wall Triana Hwy, Madison, AL 35758",10000800851,https://www.madisoncity.k12.al.us/WestMadison,1,False,School String not found in website.
Heritage Elementary School,"11775 County Line Rd, Madison, AL 35758",10000801423,https://www.madisoncity.k12.al.us/heritage,1,True,Validity is confirmed according to current tests.
Rainbow Elementary School,"50 Nance Rd, Madison, AL 35758",10000801485,https://www.madisoncity.k12.al.us/domain/268,1,True,Validity is confirmed according to current tests.
Liberty Middle School,"281 Dock Murphy Dr, Madison, AL 35758",10000801798,https://www.madisoncity.k12.al.us/liberty,1,True,Validity is confirmed according to current tests.
Columbia Elementary School,"667 Balch Road, Madison, AL 35758",10000802097,https://www.madisoncity.k12.al.us/columbia,1,True,Validity is confirmed according to current tests.
Mill Creek Elementary School,"847 Mill Road, Madison, AL 35758",10000802133,https://www.madisoncity.k12.al.us/millcreek,1,True,Validity is confirmed according to current tests.
James Clemens High School,"11306 County Line Road, Madison, AL 35756",10000802198,https://www.madisoncity.k12.al.us/jchs,1,True,Validity is confirmed according to current tests.
Leeds Elementary School,"950 Ashville Road, Leeds, AL 35094",10001102094,https://www.hisawyer.com/listings/schools/50151-leeds-elementary-school,8,False,Query Ranking > 5
Leeds Middle School,"1771 Whitmire Street, Leeds, AL 35094",10001102095,https://www.hisawyer.com/listings/providers/50150-leeds-middle-school,11,False,Query Ranking > 5
Leeds High School,"1500 Greenwave Drive, Leeds, AL 35094",10001102096,https://en.wikipedia.org/wiki/Leeds_High_School,1,True,Validity is confirmed according to current tests.
Leeds Primary School,"991 Park Drive, Leeds, AL 35094",10001102430,https://www.leedsk12.org/Domain/8,2,True,Validity is confirmed according to current tests.
Boaz Middle School,"140 Newt Parker Dr, Boaz, AL 35957",10001200123,https://www.boazk12.org/Domain/11,1,True,Validity is confirmed according to current tests.
Boaz High School,"907 Brown St, Boaz, AL 35957",10001200874,https://www.boazk12.org/bhs,1,True,Validity is confirmed according to current tests.
Corley Elementary School,"505 Mount Vernon Rd, Boaz, AL 35957",10001200884,https://www.boazk12.org/ces,1,True,Validity is confirmed according to current tests.
Boaz Intermediate School,"11 Newt Parker Drive, Boaz, AL 35957",10001201630,https://www.boazk12.org/bis,1,True,Validity is confirmed according to current tests.
Boaz Elementary School,"362 Collier St, Boaz, AL 35957",10001201781,https://www.boazk12.org/bes,1,True,Validity is confirmed according to current tests.
Hewitttrussville Middle School,"5275 Trussville Clay Road, Trussville, AL 35173",10001300714,https://www.trussvillecityschools.com/htms,1,False,School String not found in website.
Paine Elementary School,"7600 Gadsden Highway, Trussville, AL 35173",10001301498,https://www.trussvillecityschools.com/paine,1,True,Validity is confirmed according to current tests.
Hewitttrussville High School,"6450 Husky Parkway, Trussville, AL 35173",10001301682,https://www.trussvillecityschools.com/HTHS,1,False,School String not found in website.
Magnolia Elementary School,"5400 Hidden Way Lane, Trussville, AL 35173",10001302401,https://www.trussvillecityschools.com/magnolia,1,True,Validity is confirmed according to current tests.
Cahaba Elementary School,"301 Parkway Drive, Trussville, AL 35173",10001302402,https://www.trussvillecityschools.com/cahaba,1,True,Validity is confirmed according to current tests.
Alexander City Middle School,"359 State St, Alexander City, AL 35010",10003000001,"https://alabama.hometownlocator.com/schools/profiles,n,alexander%20city%20middle%20school,z,35010,t,pb,i,1001111.cfm",10,False,Query Ranking > 5
Benjamin Russell High School,"225 Heard Blvd, Alexander City, AL 35010",10003000003,https://www.nfhsnetwork.com/schools/benjamin-russell-high-school-alexander-city-al,13,False,Query Ranking > 5
Jim Pearson Elementary School,"1240 Scott Rd, Alexander City, AL 35010",10003000004,https://www.homesnap.com/schools/AL/Alexander_City/Jim_Pearson_Elementary_School,16,False,Query Ranking > 5
Nathaniel H Stephens Elementary School,"851 Laurel St, Alexander City, AL 35010",10003000005,https://www.homesnap.com/schools/AL/Alexander_City/Nathaniel_H_Stephens_Elementary_School,14,False,Query Ranking > 5
William L Radney Elementary School,"140 Allison Drive, Alexander City, AL 35010",10003000006,https://www.spellingcity.com/william-l-radney-elementary-school-alexander-city-al.html,16,False,Query Ranking > 5
Andalusia High School,"701 Third St, Andalusia, AL 36420",10006000007,https://highandalusiaal.schoolinsites.com/,1,True,Validity is confirmed according to current tests.
Andalusia Junior High,"408 4th Avenue, Andalusia, AL 36420",10006000008,https://juniorandalusiaal.schoolinsites.com/,2,True,Validity is confirmed according to current tests.
Andalusia Elementary School,"1501 West Bypass, Andalusia, AL 36420",10006001467,https://www.andalusiachamber.com/membership-directory/name/andalusia-elementary-school/,1,False,School String not found in website.
Anniston High School,"1301 Woodstock Ave, Anniston, AL 36207",10009000011,https://www.annistonschools.com/Domain/82,1,True,Validity is confirmed according to current tests.
Golden Springs Elementary School,"100 Feary Dr, Anniston, AL 36207",10009000017,https://www.annistonschools.com/goldensprings,1,True,Validity is confirmed according to current tests.
Randolph Park Elementary School,"2200 W 17th St, Anniston, AL 36201",10009000020,https://www.annistonschools.com/randolphpark,1,True,Validity is confirmed according to current tests.
Tenth Street Elementary School,"1525 E 10th St, Anniston, AL 36207",10009000021,https://www.annistonschools.com/tenthstreet,1,False,School String not found in website.
Anniston City Boot Camp School,"4804 McClellan Blvd, Anniston, AL 36206",10009001246,https://www.aspirations.org/school/anniston-city-boot-camp-school,6,False,Query Ranking > 5
Anniston Middle School,"4800 McClellan Blvd, Anniston, AL 36206",10009001725,https://www.annistonschools.com/Domain/224,1,True,Validity is confirmed according to current tests.
Cobb Prek Academy,"1325 Cobb Ave, Anniston, AL 36201",10009001782,https://www.annistonschools.com/cobb,1,False,School String not found in website.
Arab Elementary School,"241 8th Ave NE, Arab, AL 35016",10010000022,https://www.arabcityschools.org/Domain/10,1,True,Validity is confirmed according to current tests.
Arab Primary School,"121 Mimosa St NE, Arab, AL 35016",10010000025,https://www.arabcityschools.org/domain/640,1,True,Validity is confirmed according to current tests.
Arab Junior High School,"911 Old Cullman Rd, Arab, AL 35016",10010000027,https://www.arabcityschools.org/Domain/9,1,True,Validity is confirmed according to current tests.
Arab High School,"511 Arabian Dr NE, Arab, AL 35016",10010000028,https://www.arabcityschools.org/,3,True,Validity is confirmed according to current tests.
Athens Intermediate School,"1916 Us Hwy 72 W, Athens, AL 35611",10012000522,https://www.acs-k12.org/Domain/12,1,True,Validity is confirmed according to current tests.
