SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
Madie Ives K-8 Preparatory Academy,"20770 NE 14TH AVE, NORTH MIAMI BEACH, FL 33179",120039000438,https://mik8.net/,1
Kendale Elementary School,"10693 SW 93RD ST, MIAMI, FL 33176",120039000440,https://www.kendaletigers.org/apps/contact/,4
Kendale Lakes Elementary School,"8000 SW 142ND AVE, MIAMI, FL 33183",120039000441,https://kendalelakeselementary.net/,1
Kensington Park Elementary School,"711 NW 30TH AVE, MIAMI, FL 33125",120039000442,https://kpelions.com/,1
Leewood K-8 Center,"10343 SW 124TH ST, MIAMI, FL 33176",120039000450,https://leewoodk8.wixsite.com/leewoodk8center,3
Leisure City K-8 Center,"14950 SW 288TH ST, HOMESTEAD, FL 33033",120039000451,https://lck8.org/,1
Ludlam Elementary School,"6639 SW 74TH ST, SOUTH MIAMI, FL 33143",120039000456,https://www.hisawyer.com/listings/schools/68054-ludlam-elementary-school,5
Miami Gardens Elementary School,"4444 NW 195TH ST, MIAMI GARDENS, FL 33055",120039000461,https://miamigardenselem.net/contact-us/,3
Miami Shores Elementary School,"10351 NE 5TH AVE, MIAMI SHORES, FL 33138",120039000465,https://miamishoreselementary.net/,1
Morningside K-8 Academy,"6620 NE 5TH AVE, MIAMI, FL 33138",120039000468,https://www.morningsidek8.com/,1
Norland Elementary School,"19340 NW 8TH CT, MIAMI, FL 33169",120039000473,https://norlandbears.com/apps/contact/,2
North Beach Elementary School,"4100 PRAIRIE AVE, MIAMI BEACH, FL 33140",120039000474,https://northbeachelementary.com/,1
North County K-8 Center,"3250 NW 207TH ST, MIAMI GARDENS, FL 33056",120039000476,https://northcountyk8.com/,3
North Hialeah Elementary School,"4251 E 5TH AVE, HIALEAH, FL 33013",120039000478,https://nheschool.org/apps/pages/index.jsp?uREC_ID=266104&type=d,1
North Twin Lakes Elementary School,"625 W 74TH PL, HIALEAH, FL 33014",120039000480,https://ntlelementary.net/,2
Norwood Elementary School,"19810 NW 14TH CT, MIAMI, FL 33169",120039000481,https://norwoodelementary.com/,2
Orchard Villa Elementary School,"5720 NW 13TH AVE, MIAMI, FL 33142",120039000487,https://orchardvillaelementary.net/contact-us/,2
Palmetto Elementary School,"12401 SW 74TH AVE, MIAMI, FL 33156",120039000488,https://palmettoelem.net/contact-us/,1
Palm Springs Elementary School,"6304 E 1ST AVE, HIALEAH, FL 33013",120039000490,https://palmspringses.org/contact-us-2/,4
Parkview Elementary School,"17631 NW 20TH AVE, OPA LOCKA, FL 33056",120039000492,https://www.hisawyer.com/listings/schools/68003-parkview-elementary-school,5
Rainbow Park Elementary School,"15355 NW 19TH AVE, OPA LOCKA, FL 33054",120039000500,https://www.rainbowparkes.org/apps/contact/,5
Redondo Elementary School,"18480 SW 304TH ST, HOMESTEAD, FL 33030",120039000502,https://www.redondoelementary.org/apps/contact/,2
Riverside Elementary Community School,"1190 SW 2ND ST, MIAMI, FL 33130",120039000504,https://www.riversideelem.com/,1
Rockway Elementary School,"2790 SW 93RD CT, MIAMI, FL 33165",120039000505,https://rockwayelementary.net/contact-us/,3
Royal Green Elementary School,"13047 SW 47TH ST, MIAMI, FL 33175",120039000506,https://royalgreenelementary.net/,1
Scott Lake Elementary School,"1160 NW 175TH ST, MIAMI, FL 33169",120039000510,https://www.scottlakevikings.org/apps/pages/index.jsp?uREC_ID=312346&type=d,2
Seminole Elementary School,"121 SW 78TH PL, MIAMI, FL 33144",120039000511,https://seminoleelementary.com/contact-us/,2
Shadowlawn Elementary School,"149 NW 49TH ST, MIAMI, FL 33127",120039000512,https://www.hisawyer.com/listings/schools/67984-shadowlawn-elementary-school,5
Snapper Creek Elementary School,"10151 SW 64TH ST, MIAMI, FL 33173",120039000516,https://www.snappercreekelementary.net/,1
South Miami K-8 Center,"6800 SW 60TH ST, SOUTH MIAMI, FL 33143",120039000518,https://www.smk8center.org/,2
South Miami Heights Elementary,"12231 SW 190TH TER, MIAMI, FL 33177",120039000519,https://southmiamiheightselem.net/contact-us/,2
Sunset Elementary School,"5120 SW 72ND ST, MIAMI, FL 33143",120039000523,https://sunsetinternationalschool.com/,1
Treasure Island Elementary School,"7540 E TREASURE DR, NORTH BAY VILLAGE, FL 33141",120039000526,https://www.treasureislandschool.com/,1
Twin Lakes Elementary School,"6735 W 5TH PL, HIALEAH, FL 33012",120039000529,https://twinlakeselem.org/apps/contact/,5
Henry S. West Laboratory School,"5300 CARILLO ST, CORAL GABLES, FL 33146",120039000534,https://www.westlabschool.org/,1
Carrie P. Meek/Westview K-8 Center,"2101 NW 127TH ST, MIAMI, FL 33167",120039000536,https://www.meekwestviewk8.org/apps/contact/,2
Winston Park K-8 Center,"13200 SW 79TH ST, MIAMI, FL 33183",120039000539,https://wpk8.org/,1
Arvida Middle School,"10900 SW 127TH AVE, MIAMI, FL 33186",120039000542,https://arvidamiddle.net/contact-us/,2
Carol City Middle School,"3737 NW 188TH ST, MIAMI GARDENS, FL 33055",120039000544,https://carolcitymiddle.com/,3
Cutler Bay Senior High School,"8601 SW 212TH ST, CUTLER BAY, FL 33189",120039000547,https://cutlerbayhigh.org/apps/contact/,1
